Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3e-06,21.946524,[20 12] ; [ 5 39],[10.52631579 21.47368421] ; [14.47368421 29.52631579],1
p2,1,0.000299,13.074799,[24  7] ; [15 28],[16.33783784 14.66216216] ; [22.66216216 20.33783784],1
p7,1,0.001881,9.662323,[17 12] ; [10 34],[10.7260274 18.2739726] ; [16.2739726 27.7260274],0
s8,1,0.002564,9.094558,[13 19] ; [ 5 40],[ 7.48051948 24.51948052] ; [10.51948052 34.48051948],0
v2,1,0.003219,8.678976,[19 12] ; [12 32],[12.81333333 18.18666667] ; [18.18666667 25.81333333],0
s3,1,0.003786,8.383863,[18 13] ; [11 33],[11.98666667 19.01333333] ; [17.01333333 26.98666667],0
s5,1,0.004156,8.214305,[10 21] ; [ 3 41],[ 5.37333333 25.62666667] ; [ 7.62666667 36.37333333],0
p11,1,0.00431,8.14826,[24  8] ; [19 26],[17.87012987 14.12987013] ; [25.12987013 19.87012987],0
r3,1,0.005767,7.621813,[23  8] ; [18 25],[17.17567568 13.82432432] ; [23.82432432 19.17567568],0
b3,1,0.007052,7.259763,[ 3 19] ; [14 14],[ 7.48 14.52] ; [ 9.52 18.48],0
b2,1,0.007052,7.259763,[ 3 19] ; [14 14],[ 7.48 14.52] ; [ 9.52 18.48],0
p9,1,0.007846,7.068223,[26  6] ; [21 20],[20.60273973 11.39726027] ; [26.39726027 14.60273973],0
b5,1,0.010014,6.632338,[23  9] ; [19 26],[17.45454545 14.54545455] ; [24.54545455 20.45454545],0
p4,1,0.01671,5.726536,[19 13] ; [14 30],[13.89473684 18.10526316] ; [19.10526316 24.89473684],0
p6,1,0.041826,4.142249,[11 21] ; [ 6 36],[ 7.35135135 24.64864865] ; [ 9.64864865 32.35135135],0
p10,1,0.06987,3.286069,[21 10] ; [20 23],[17.17567568 13.82432432] ; [23.82432432 19.17567568],0
a4,1,0.073816,3.196054,[13 19] ; [27 17],[16.84210526 15.15789474] ; [23.15789474 20.84210526],0
p3,1,0.078917,3.08707,[14 17] ; [11 32],[10.47297297 20.52702703] ; [14.52702703 28.47297297],0
n6,1,0.089155,2.889557,[23  8] ; [23 19],[19.53424658 11.46575342] ; [26.46575342 15.53424658],0
a3,1,0.113066,2.510831,[22 10] ; [37  7],[24.84210526  7.15789474] ; [34.15789474  9.84210526],0
a2,1,0.13105,2.28002,[ 4 28] ; [12 33],[ 6.64935065 25.35064935] ; [ 9.35064935 35.64935065],0
n3,1,0.134328,2.241758,[9 4] ; [ 9 12],[6.88235294 6.11764706] ; [11.11764706  9.88235294],0
v4,1,0.155357,2.018849,[20 10] ; [22 22],[17.02702703 12.97297297] ; [24.97297297 19.02702703],0
d5,1,0.192158,1.700992,[28  4] ; [34 11],[25.76623377  6.23376623] ; [36.23376623  8.76623377],0
p1,1,0.1976,1.660024,[ 1 31] ; [ 5 40],[ 2.49350649 29.50649351] ; [ 3.50649351 41.49350649],0
s7,1,0.201589,1.630824,[15 16] ; [13 26],[12.4 18.6] ; [15.6 23.4],0
u1,1,0.210371,1.568868,[ 2 30] ; [ 7 38],[ 3.74025974 28.25974026] ; [ 5.25974026 39.74025974],0
n2,1,0.266636,1.233974,[9 4] ; [11 11],[7.42857143 5.57142857] ; [12.57142857  9.42857143],0
d2,1,0.291475,1.112797,[15 17] ; [26 18],[17.26315789 14.73684211] ; [23.73684211 20.26315789],0
v1,1,0.311422,1.024636,[14 16] ; [15 28],[11.91780822 18.08219178] ; [17.08219178 25.91780822],0
a7,1,0.323735,0.973797,[16 16] ; [27 17],[18.10526316 13.89473684] ; [24.89473684 19.10526316],0
a6,1,0.327448,0.958966,[22 10] ; [26 19],[19.94805195 12.05194805] ; [28.05194805 16.94805195],0
b1,1,0.383826,0.758413,[16 16] ; [27 18],[17.87012987 14.12987013] ; [25.12987013 19.87012987],0
p12,1,0.391,0.735828,[ 2 30] ; [ 1 42],[ 1.28 30.72] ; [ 1.72 41.28],0
n5,1,0.391313,0.734858,[19 11] ; [32 12],[20.67567568  9.32432432] ; [30.32432432 13.67567568],0
a1,1,0.426561,0.632169,[ 3 29] ; [ 7 38],[ 4.15584416 27.84415584] ; [ 5.84415584 39.15584416],0
v3,1,0.437414,0.603056,[ 9 23] ; [ 9 35],[ 7.57894737 24.42105263] ; [10.42105263 33.57894737],0
p8,1,0.438744,0.599564,[10 22] ; [10 33],[ 8.53333333 23.46666667] ; [11.46666667 31.53333333],0
d1,1,0.452441,0.564529,[15 17] ; [25 20],[16.62337662 15.37662338] ; [23.37662338 21.62337662],0
d3,1,0.486505,0.484246,[21 11] ; [26 19],[19.53246753 12.46753247] ; [27.46753247 17.53246753],0
n4,1,0.654727,0.199993,[21 11] ; [31 13],[21.89473684 10.10526316] ; [30.10526316 13.89473684],0
n1,1,0.686254,0.16317,[5 8] ; [10 12],[5.57142857 7.42857143] ; [ 9.42857143 12.57142857],0
u2,1,0.70663,0.141667,[3 6] ; [2 6],[2.64705882 6.35294118] ; [2.35294118 5.64705882],0
r2,1,0.750203,0.101361,[16 12] ; [25 16],[16.63768116 11.36231884] ; [24.36231884 16.63768116],0
u3,1,0.771519,0.084325,[4 5] ; [3 5],[3.70588235 5.29411765] ; [3.29411765 4.70588235],0
d4,1,0.776539,0.080561,[24  8] ; [35 10],[24.51948052  7.48051948] ; [34.48051948 10.51948052],0
s4,1,0.777015,0.080208,[ 5 27] ; [ 6 39],[ 4.57142857 27.42857143] ; [ 6.42857143 38.57142857],0
p5,1,0.815798,0.054267,[ 3 28] ; [ 5 39],[ 3.30666667 27.69333333] ; [ 4.69333333 39.30666667],0
b4,1,0.923435,0.009237,[16 16] ; [22 23],[15.79220779 16.20779221] ; [22.20779221 22.79220779],0
a8,1,0.956241,0.003011,[ 3 29] ; [ 4 37],[ 3.06849315 28.93150685] ; [ 3.93150685 37.06849315],0
r1,1,0.958041,0.002768,[10 22] ; [14 30],[10.10526316 21.89473684] ; [13.89473684 30.10526316],0
