Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5.8e-05,16.170668,[ 5 32] ; [11  5],[11.16981132 25.83018868] ; [ 4.83018868 11.16981132],1
a5,1,0.004318,8.145198,[28  9] ; [ 6 11],[23.2962963 13.7037037] ; [10.7037037  6.2962963],0
v3,1,0.025156,5.013148,[12 21] ; [ 1 15],[ 8.75510204 24.24489796] ; [ 4.24489796 11.75510204],0
s5,1,0.030111,4.702961,[10 26] ; [9 6],[13.41176471 22.58823529] ; [5.58823529 9.41176471],0
s3,1,0.066271,3.373045,[23 13] ; [15  2],[25.81132075 10.18867925] ; [12.18867925  4.81132075],0
s2,1,0.067354,3.346364,[21 16] ; [14  3],[23.98148148 13.01851852] ; [11.01851852  5.98148148],0
r1,1,0.094793,2.79103,[28  9] ; [9 8],[25.35185185 11.64814815] ; [11.64814815  5.35185185],0
v2,1,0.129621,2.297035,[21 12] ; [ 7 10],[18.48 14.52] ; [9.52 7.48],0
n4,1,0.149477,2.077583,[23 14] ; [ 7 10],[20.55555556 16.44444444] ; [9.44444444 7.55555556],0
d2,1,0.198724,1.651726,[15 21] ; [ 4 13],[12.90566038 23.09433962] ; [ 6.09433962 10.90566038],0
d5,1,0.267436,1.229851,[27  9] ; [15  2],[28.52830189  7.47169811] ; [13.47169811  3.52830189],0
p4,1,0.271739,1.207947,[19 18] ; [ 6 11],[17.12962963 19.87037037] ; [7.87037037 9.12962963],0
r4,1,0.286958,1.133841,[29  8] ; [11  6],[27.40740741  9.59259259] ; [12.59259259  4.40740741],0
b4,1,0.287228,1.132567,[21 16] ; [ 7 10],[19.18518519 17.81481481] ; [8.81481481 8.18518519],0
a3,1,0.298448,1.081116,[27 10] ; [10  7],[25.35185185 11.64814815] ; [11.64814815  5.35185185],0
n5,1,0.315416,1.00786,[18 18] ; [ 6 11],[16.30188679 19.69811321] ; [7.69811321 9.30188679],0
v1,1,0.335314,0.928266,[22 14] ; [8 9],[20.37735849 15.62264151] ; [9.62264151 7.37735849],0
n3,1,0.357197,0.847724,[10  4] ; [3 3],[9.1 4.9] ; [3.9 2.1],0
d4,1,0.363743,0.824928,[28  8] ; [15  2],[29.20754717  6.79245283] ; [13.79245283  3.20754717],0
d1,1,0.379397,0.772655,[20 17] ; [ 7 10],[18.5 18.5] ; [8.5 8.5],0
v4,1,0.385744,0.752315,[34  2] ; [14  2],[33.23076923  2.76923077] ; [14.76923077  1.23076923],0
a8,1,0.390724,0.736687,[ 5 29] ; [ 1 15],[ 4.08 29.92] ; [ 1.92 14.08],0
b1,1,0.394366,0.725437,[22 15] ; [8 9],[20.55555556 16.44444444] ; [9.44444444 7.55555556],0
p3,1,0.403848,0.696839,[13 24] ; [8 9],[14.38888889 22.61111111] ; [ 6.61111111 10.38888889],0
s8,1,0.506823,0.440621,[21 16] ; [8 9],[19.87037037 17.12962963] ; [9.12962963 7.87037037],0
p11,1,0.532025,0.390523,[25 12] ; [10  7],[23.98148148 13.01851852] ; [11.01851852  5.98148148],0
s6,1,0.534023,0.38673,[29  8] ; [12  5],[28.09259259  8.90740741] ; [12.90740741  4.09259259],0
p8,1,0.556638,0.345558,[14 23] ; [7 8],[14.94230769 22.05769231] ; [6.05769231 8.94230769],0
p10,1,0.599579,0.275632,[28  9] ; [11  5],[27.22641509  9.77358491] ; [11.77358491  4.22641509],0
r3,1,0.602034,0.271938,[33  4] ; [15  1],[33.50943396  3.49056604] ; [14.49056604  1.50943396],0
a4,1,0.636604,0.223211,[11 26] ; [ 4 13],[10.27777778 26.72222222] ; [ 4.72222222 12.27777778],0
p1,1,0.666801,0.185367,[ 3 34] ; [ 2 15],[ 3.42592593 33.57407407] ; [ 1.57407407 15.42592593],0
r2,1,0.714062,0.134254,[32  3] ; [15  2],[31.63461538  3.36538462] ; [15.36538462  1.63461538],0
b5,1,0.743224,0.107313,[20 17] ; [10  7],[20.55555556 16.44444444] ; [9.44444444 7.55555556],0
u1,1,0.771772,0.084134,[ 3 34] ; [ 1 16],[ 2.74074074 34.25925926] ; [ 1.25925926 15.74074074],0
p2,1,0.785318,0.074199,[27 10] ; [13  4],[27.40740741  9.59259259] ; [12.59259259  4.40740741],0
u3,1,0.787221,0.072857,[9 1] ; [6 1],[8.82352941 1.17647059] ; [6.17647059 0.82352941],0
p9,1,0.812929,0.056003,[29  8] ; [13  3],[29.32075472  7.67924528] ; [12.67924528  3.32075472],0
u2,1,0.848936,0.036281,[8 1] ; [6 1],[7.875 1.125] ; [6.125 0.875],0
b3,1,0.849853,0.035837,[ 8 16] ; [3 7],[ 7.76470588 16.23529412] ; [3.23529412 6.76470588],0
b2,1,0.849853,0.035837,[ 8 16] ; [3 7],[ 7.76470588 16.23529412] ; [3.23529412 6.76470588],0
n1,1,0.875975,0.024359,[7 6] ; [3 3],[6.84210526 6.15789474] ; [3.15789474 2.84210526],0
a6,1,0.901901,0.015193,[26 10] ; [12  5],[25.81132075 10.18867925] ; [12.18867925  4.81132075],0
d3,1,0.932528,0.007168,[25 11] ; [12  5],[25.13207547 10.86792453] ; [11.86792453  5.13207547],0
p7,1,0.940968,0.005484,[22 14] ; [9 6],[21.88235294 14.11764706] ; [9.11764706 5.88235294],0
a7,1,0.990935,0.000129,[24 13] ; [11  6],[23.98148148 13.01851852] ; [11.01851852  5.98148148],0
