Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6e-06,20.380273,[17  4] ; [16 47],[ 8.25 12.75] ; [24.75 38.25],1
s3,1,1.9e-05,18.285714,[15  6] ; [13 50],[ 7. 14.] ; [21. 42.],1
v1,1,0.008768,6.869417,[10 11] ; [12 52],[ 5.43529412 15.56470588] ; [16.56470588 47.43529412],0
p3,1,0.01796,5.6,[ 9 12] ; [11 52],[ 5. 16.] ; [15. 48.],0
s1,1,0.030754,4.666667,[ 6 15] ; [ 6 57],[ 3. 18.] ; [ 9. 54.],0
r3,1,0.032509,4.571429,[18  3] ; [38 25],[14.  7.] ; [42. 21.],0
r4,1,0.086564,2.93713,[15  6] ; [32 32],[11.61176471  9.38823529] ; [35.38823529 28.61176471],0
a6,1,0.089438,2.884468,[ 7 14] ; [35 29],[10.37647059 10.62352941] ; [31.62352941 32.37647059],0
p8,1,0.090969,2.857143,[ 6 15] ; [ 8 55],[ 3.5 17.5] ; [10.5 52.5],0
s8,1,0.092841,2.824408,[ 5 16] ; [ 6 57],[ 2.75 18.25] ; [ 8.25 54.75],0
v3,1,0.104952,2.628641,[ 9 11] ; [16 46],[ 6.09756098 13.90243902] ; [18.90243902 43.09756098],0
p7,1,0.126303,2.337361,[ 8 12] ; [14 48],[ 5.36585366 14.63414634] ; [16.63414634 45.36585366],0
u2,1,0.126787,2.331414,[5 2] ; [11 17],[3.2 3.8] ; [12.8 15.2],0
s4,1,0.146509,2.108227,[ 4 17] ; [ 5 59],[ 2.22352941 18.77647059] ; [ 6.77647059 57.22352941],0
b2,1,0.146722,2.106007,[2 9] ; [18 25],[4.07407407 6.92592593] ; [15.92592593 27.07407407],0
b3,1,0.146722,2.106007,[2 9] ; [18 25],[4.07407407 6.92592593] ; [15.92592593 27.07407407],0
a2,1,0.155907,2.013485,[ 1 20] ; [11 53],[ 2.96470588 18.03529412] ; [ 9.03529412 54.96470588],0
a7,1,0.165667,1.921724,[ 8 13] ; [35 28],[10.75 10.25] ; [32.25 30.75],0
d1,1,0.17618,1.82956,[ 6 15] ; [29 35],[ 8.64705882 12.35294118] ; [26.35294118 37.64705882],0
n2,1,0.180521,1.793331,[5 2] ; [13 17],[3.40540541 3.59459459] ; [14.59459459 15.40540541],0
p4,1,0.187582,1.736506,[ 7 14] ; [12 50],[ 4.80722892 16.19277108] ; [14.19277108 47.80722892],0
n4,1,0.250153,1.322449,[10 11] ; [39 24],[12.25  8.75] ; [36.75 26.25],0
r1,1,0.299387,1.076923,[15  6] ; [37 26],[13.  8.] ; [39. 24.],0
a4,1,0.299387,1.076923,[ 6 15] ; [26 37],[ 8. 13.] ; [24. 39.],0
s5,1,0.310494,1.028571,[ 5 16] ; [ 9 54],[ 3.5 17.5] ; [10.5 52.5],0
a1,1,0.317294,1.00007,[ 1 20] ; [ 8 56],[ 2.22352941 18.77647059] ; [ 6.77647059 57.22352941],0
a3,1,0.371093,0.8,[14  7] ; [35 28],[12.25  8.75] ; [36.75 26.25],0
s7,1,0.371387,0.79902,[ 5 12] ; [12 50],[ 3.65822785 13.34177215] ; [13.34177215 48.65822785],0
n5,1,0.374415,0.788959,[10 11] ; [37 26],[11.75  9.25] ; [35.25 27.75],0
p6,1,0.403765,0.697085,[ 3 18] ; [ 5 57],[ 2.02409639 18.97590361] ; [ 5.97590361 56.02409639],0
d2,1,0.449692,0.571429,[ 9 12] ; [33 30],[10.5 10.5] ; [31.5 31.5],0
v2,1,0.458794,0.548835,[ 9 12] ; [21 41],[ 7.59036145 13.40963855] ; [22.40963855 39.59036145],0
d3,1,0.482564,0.493063,[ 8 13] ; [30 34],[ 9.38823529 11.61176471] ; [28.61176471 35.38823529],0
n3,1,0.484123,0.48956,[4 3] ; [11 15],[3.18181818 3.81818182] ; [11.81818182 14.18181818],0
p1,1,0.504596,0.445257,[ 1 20] ; [ 6 58],[ 1.72941176 19.27058824] ; [ 5.27058824 58.72941176],0
a5,1,0.562696,0.335058,[13  8] ; [35 29],[11.85882353  9.14117647] ; [36.14117647 27.85882353],0
d5,1,0.570096,0.322522,[12  9] ; [41 23],[13.09411765  7.90588235] ; [39.90588235 24.09411765],0
b4,1,0.573541,0.316794,[11 10] ; [38 26],[12.10588235  8.89411765] ; [36.89411765 27.10588235],0
n1,1,0.582804,0.301724,[3 3] ; [11 18],[2.4 3.6] ; [11.6 17.4],0
p11,1,0.657713,0.196314,[ 8 13] ; [21 43],[ 7.16470588 13.83529412] ; [21.83529412 42.16470588],0
b5,1,0.661277,0.191976,[11 10] ; [30 34],[10.12941176 10.87058824] ; [30.87058824 33.12941176],0
a8,1,0.66699,0.185143,[ 2 19] ; [ 4 56],[ 1.55555556 19.44444444] ; [ 4.44444444 55.55555556],0
u3,1,0.673669,0.17734,[4 3] ; [14 15],[3.5 3.5] ; [14.5 14.5],0
p10,1,0.735317,0.114286,[ 3 18] ; [11 52],[ 3.5 17.5] ; [10.5 52.5],0
n6,1,0.838251,0.04167,[12  9] ; [37 25],[12.39759036  8.60240964] ; [36.60240964 25.39759036],0
v4,1,0.894593,0.017555,[14  7] ; [41 22],[13.75  7.25] ; [41.25 21.75],0
r2,1,0.950335,0.00388,[17  4] ; [49 12],[16.90243902  4.09756098] ; [49.09756098 11.90243902],0
b1,1,0.957023,0.002904,[12  9] ; [37 27],[12.10588235  8.89411765] ; [36.89411765 27.10588235],0
d4,1,0.968543,0.001555,[15  6] ; [46 18],[15.07058824  5.92941176] ; [45.92941176 18.07058824],0
u1,1,0.983832,0.000411,[ 2 19] ; [ 6 58],[ 1.97647059 19.02352941] ; [ 6.02352941 57.97647059],0
p5,1,1.0,0.0,[ 1 20] ; [ 3 60],[ 1. 20.] ; [ 3. 60.],0
