Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000131,14.627406,[35 46] ; [101  45],[48.52863436 32.47136564] ; [87.47136564 58.52863436],1
s8,1,0.00027,13.267669,[37 45] ; [103  45],[49.91304348 32.08695652] ; [90.08695652 57.91304348],1
d4,1,0.000574,11.858473,[61 21] ; [135  13],[69.87826087 12.12173913] ; [126.12173913  21.87826087],1
a3,1,0.001044,10.747516,[57 26] ; [129  20],[66.54310345 16.45689655] ; [119.45689655  29.54310345],0
p8,1,0.001207,10.480031,[40 41] ; [105  43],[51.28820961 29.71179039] ; [93.71179039 54.28820961],0
s2,1,0.001418,10.18288,[50 33] ; [118  30],[60.36363636 22.63636364] ; [107.63636364  40.36363636],0
v3,1,0.001928,9.617327,[27 54] ; [81 67],[38.20087336 42.79912664] ; [69.79912664 78.20087336],0
d5,1,0.00202,9.53115,[61 22] ; [132  16],[69.34632035 13.65367965] ; [123.65367965  24.34632035],0
d1,1,0.003065,8.768275,[45 38] ; [110  40],[55.21459227 27.78540773] ; [99.78540773 50.21459227],0
p7,1,0.003753,8.399836,[52 28] ; [120  26],[60.88495575 19.11504425] ; [111.11504425  34.88495575],0
r4,1,0.008471,6.931096,[75  8] ; [147   3],[79.08154506  3.91845494] ; [142.91845494   7.08154506],0
p10,1,0.013522,6.099548,[68 14] ; [139  10],[73.48051948  8.51948052] ; [133.51948052  15.48051948],0
r3,1,0.018077,5.58871,[72  9] ; [145   5],[76.09090909  4.90909091] ; [140.90909091   9.09090909],0
p9,1,0.048817,3.881629,[69 11] ; [140   9],[73.01310044  6.98689956] ; [135.98689956  13.01310044],0
s1,1,0.050443,3.826679,[ 5 78] ; [  2 143],[ 2.54824561 80.45175439] ; [  4.45175439 140.54824561],0
d3,1,0.052471,3.760694,[53 30] ; [113  36],[59.38793103 23.61206897] ; [106.61206897  42.38793103],0
a5,1,0.072947,3.215438,[63 20] ; [128  22],[68.03862661 14.96137339] ; [122.96137339  27.03862661],0
s3,1,0.073702,3.198583,[52 30] ; [109  37],[57.90350877 24.09649123] ; [103.09649123  42.90350877],0
p5,1,0.091377,2.849942,[15 68] ; [ 42 108],[20.30472103 62.69527897] ; [ 36.69527897 113.30472103],0
p6,1,0.091824,2.842097,[35 48] ; [79 68],[41.13913043 41.86086957] ; [72.86086957 74.13913043],0
v4,1,0.106212,2.609694,[78  5] ; [147   3],[80.15021459  2.84978541] ; [144.84978541   5.15021459],0
b5,1,0.111022,2.539612,[38 45] ; [85 65],[43.81545064 39.18454936] ; [79.18454936 70.81545064],0
b4,1,0.208018,1.585168,[45 38] ; [94 56],[49.51502146 33.48497854] ; [89.48497854 60.51502146],0
p3,1,0.21253,1.554105,[46 37] ; [95 54],[50.44396552 32.55603448] ; [90.55603448 58.44396552],0
