Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.673832,[86  4] ; [26 14],[77.53846154 12.46153846] ; [34.46153846  5.53846154],1
v4,1,1.2e-05,19.175921,[86  4] ; [27 13],[78.23076923 11.76923077] ; [34.76923077  5.23076923],1
r4,1,1.4e-05,18.806873,[78 13] ; [20 20],[68.07633588 22.92366412] ; [29.92366412 10.07633588],1
p11,1,5e-05,16.437746,[62 29] ; [12 28],[51.40458015 39.59541985] ; [22.59541985 17.40458015],1
p4,1,0.000879,11.065992,[49 42] ; [ 9 31],[40.29007634 50.70992366] ; [17.70992366 22.29007634],1
p7,1,0.001108,10.637325,[51 37] ; [10 28],[42.6031746 45.3968254] ; [18.3968254 19.6031746],0
p10,1,0.001427,10.170432,[61 28] ; [15 24],[52.84375 36.15625] ; [23.15625 15.84375],0
r1,1,0.002796,8.935836,[74 16] ; [23 17],[67.15384615 22.84615385] ; [29.84615385 10.15384615],0
p8,1,0.00288,8.881828,[42 46] ; [ 8 32],[34.375 53.625] ; [15.625 24.375],0
p3,1,0.006493,7.408065,[39 52] ; [ 7 32],[32.2 58.8] ; [13.8 25.2],0
s6,1,0.006548,7.39308,[54 37] ; [13 26],[46.9 44.1] ; [20.1 18.9],0
a4,1,0.012394,6.253655,[29 62] ; [22 18],[35.42748092 55.57251908] ; [15.57251908 24.42748092],0
a1,1,0.01575,5.830593,[ 2 89] ; [ 5 35],[ 4.86259542 86.13740458] ; [ 2.13740458 37.86259542],0
p9,1,0.016617,5.736424,[63 26] ; [19 20],[57.015625 31.984375] ; [24.984375 14.015625],0
p6,1,0.021423,5.292075,[26 62] ; [ 4 34],[20.95238095 67.04761905] ; [ 9.04761905 28.95238095],0
a7,1,0.022736,5.188587,[72 19] ; [24 16],[66.6870229 24.3129771] ; [29.3129771 10.6870229],0
v1,1,0.030067,4.705482,[44 43] ; [12 28],[38.36220472 48.63779528] ; [17.63779528 22.36220472],0
d2,1,0.030581,4.676341,[36 55] ; [24 16],[41.67938931 49.32061069] ; [18.32061069 21.67938931],0
a6,1,0.033335,4.52847,[71 20] ; [24 16],[65.99236641 25.00763359] ; [29.00763359 10.99236641],0
s8,1,0.038226,4.294942,[35 56] ; [ 8 32],[29.87022901 61.12977099] ; [13.12977099 26.87022901],0
r2,1,0.038238,4.29439,[83  7] ; [31  8],[79.53488372 10.46511628] ; [34.46511628  4.53488372],0
s1,1,0.050443,3.826669,[ 2 86] ; [ 4 35],[ 4.15748031 83.84251969] ; [ 1.84251969 37.15748031],0
n4,1,0.070512,3.271068,[52 39] ; [16 24],[47.23664122 43.76335878] ; [20.76335878 19.23664122],0
n2,1,0.084661,2.973062,[19  6] ; [12 11],[16.14583333  8.85416667] ; [14.85416667  8.14583333],0
d3,1,0.097174,2.751323,[67 23] ; [24 16],[63. 27.] ; [28. 12.],0
b5,1,0.109972,2.554624,[59 32] ; [20 20],[54.8778626 36.1221374] ; [24.1221374 15.8778626],0
u1,1,0.142363,2.152232,[ 9 82] ; [ 1 39],[ 6.94656489 84.05343511] ; [ 3.05343511 36.94656489],0
v2,1,0.158167,1.991668,[48 36] ; [16 21],[44.42975207 39.57024793] ; [19.57024793 17.42975207],0
p1,1,0.170245,1.880787,[ 5 85] ; [ 5 35],[ 6.92307692 83.07692308] ; [ 3.07692308 36.92307692],0
a3,1,0.206077,1.598772,[58 33] ; [30 10],[61.12977099 29.87022901] ; [26.87022901 13.12977099],0
a5,1,0.250941,1.318057,[59 32] ; [30 10],[61.82442748 29.17557252] ; [27.17557252 12.82442748],0
