Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2e-05,18.226015,[18 12] ; [ 1 23],[10.55555556 19.44444444] ; [ 8.44444444 15.55555556],1
d5,1,0.002254,9.330166,[25  5] ; [11 14],[19.63636364 10.36363636] ; [16.36363636  8.63636364],0
n6,1,0.002682,9.012414,[20  9] ; [ 7 18],[14.5 14.5] ; [12.5 12.5],0
p10,1,0.002735,8.976623,[17 13] ; [ 4 20],[11.66666667 18.33333333] ; [ 9.33333333 14.66666667],0
n3,1,0.006745,7.339627,[8 2] ; [ 3 10],[4.7826087 5.2173913] ; [6.2173913 6.7826087],0
p11,1,0.011289,6.419234,[16 14] ; [ 5 20],[11.45454545 18.54545455] ; [ 9.54545455 15.45454545],0
d4,1,0.012286,6.269092,[25  5] ; [13 12],[20.72727273  9.27272727] ; [17.27272727  7.72727273],0
p9,1,0.013962,6.042954,[17 12] ; [ 6 18],[12.58490566 16.41509434] ; [10.41509434 13.58490566],0
a7,1,0.014463,5.980752,[17 13] ; [ 6 19],[12.54545455 17.45454545] ; [10.45454545 14.54545455],0
s6,1,0.016243,5.776424,[12 17] ; [ 3 22],[ 8.05555556 20.94444444] ; [ 6.94444444 18.05555556],0
a1,1,0.022028,5.243552,[ 1 29] ; [ 6 19],[ 3.81818182 26.18181818] ; [ 3.18181818 21.81818182],0
b5,1,0.023313,5.145004,[20 10] ; [ 9 16],[15.81818182 14.18181818] ; [13.18181818 11.81818182],0
b4,1,0.027552,4.855856,[24  6] ; [13 12],[20.18181818  9.81818182] ; [16.81818182  8.18181818],0
p1,1,0.069445,3.296099,[ 2 28] ; [ 6 19],[ 4.36363636 25.63636364] ; [ 3.63636364 21.36363636],0
s2,1,0.107532,2.590116,[ 9 21] ; [ 3 22],[ 6.54545455 23.45454545] ; [ 5.45454545 19.54545455],0
r2,1,0.109038,2.56811,[19  9] ; [11 13],[16.15384615 11.84615385] ; [13.84615385 10.15384615],0
p2,1,0.110029,2.553807,[13 16] ; [ 6 19],[10.2037037 18.7962963] ; [ 8.7962963 16.2037037],0
d1,1,0.112176,2.523297,[16 14] ; [ 8 17],[13.09090909 16.90909091] ; [10.90909091 14.09090909],0
s4,1,0.139584,2.18254,[ 2 28] ; [ 5 20],[ 3.81818182 26.18181818] ; [ 3.18181818 21.81818182],0
p4,1,0.141726,2.159117,[10 20] ; [ 4 21],[ 7.63636364 22.36363636] ; [ 6.36363636 18.63636364],0
u2,1,0.189526,1.721296,[3 7] ; [ 1 11],[1.81818182 8.18181818] ; [2.18181818 9.81818182],0
s7,1,0.200243,1.640604,[ 9 18] ; [ 4 19],[ 7.02 19.98] ; [ 5.98 17.02],0
n2,1,0.219064,1.51049,[7 4] ; [5 8],[5.5 5.5] ; [6.5 6.5],0
a8,1,0.230456,1.438043,[ 6 24] ; [ 2 22],[ 4.44444444 25.55555556] ; [ 3.55555556 20.44444444],0
d3,1,0.324035,0.972591,[16 14] ; [10 15],[14.18181818 15.81818182] ; [11.81818182 13.18181818],0
a3,1,0.349128,0.876623,[20 10] ; [13 11],[18.33333333 11.66666667] ; [14.66666667  9.33333333],0
a5,1,0.373496,0.792,[18 12] ; [12 13],[16.36363636 13.63636364] ; [13.63636364 11.36363636],0
r1,1,0.389001,0.742063,[13 17] ; [ 8 17],[11.45454545 18.54545455] ; [ 9.54545455 15.45454545],0
d2,1,0.393882,0.726923,[16 14] ; [10 14],[14.44444444 15.55555556] ; [11.55555556 12.44444444],0
s3,1,0.407472,0.686165,[12 18] ; [ 7 17],[10.55555556 19.44444444] ; [ 8.44444444 15.55555556],0
s1,1,0.447942,0.575855,[ 1 29] ; [ 2 23],[ 1.63636364 28.36363636] ; [ 1.36363636 23.63636364],0
n5,1,0.495197,0.465215,[19 11] ; [18  7],[20.18181818  9.81818182] ; [16.81818182  8.18181818],0
a6,1,0.521503,0.41092,[13 17] ; [13 12],[14.18181818 15.81818182] ; [11.81818182 13.18181818],0
s5,1,0.552114,0.353544,[ 5 23] ; [ 3 22],[ 4.22641509 23.77358491] ; [ 3.77358491 21.22641509],0
p7,1,0.562278,0.335775,[ 8 22] ; [ 5 20],[ 7.09090909 22.90909091] ; [ 5.90909091 19.09090909],0
b1,1,0.58042,0.305556,[17 13] ; [16  9],[18. 12.] ; [15. 10.],0
a2,1,0.624988,0.238918,[ 5 25] ; [ 3 22],[ 4.36363636 25.63636364] ; [ 3.63636364 21.36363636],0
v3,1,0.658225,0.195687,[ 6 23] ; [ 4 21],[ 5.37037037 23.62962963] ; [ 4.62962963 20.37037037],0
p5,1,0.664558,0.188034,[ 2 28] ; [ 1 24],[ 1.63636364 28.36363636] ; [ 1.36363636 23.63636364],0
n1,1,0.682046,0.167832,[6 5] ; [6 7],[5.5 5.5] ; [6.5 6.5],0
p3,1,0.720612,0.127907,[ 6 24] ; [ 6 19],[ 6.54545455 23.45454545] ; [ 5.45454545 19.54545455],0
v1,1,0.76429,0.089911,[ 8 21] ; [ 6 19],[ 7.51851852 21.48148148] ; [ 6.48148148 18.51851852],0
n4,1,0.821154,0.051103,[22  8] ; [19  6],[22.36363636  7.63636364] ; [18.63636364  6.36363636],0
a4,1,0.901427,0.015341,[12 18] ; [10 14],[12.22222222 17.77777778] ; [ 9.77777778 14.22222222],0
b3,1,0.904587,0.014368,[ 7 13] ; [ 7 12],[ 7.17948718 12.82051282] ; [ 6.82051282 12.17948718],0
b2,1,0.904587,0.014368,[ 7 13] ; [ 7 12],[ 7.17948718 12.82051282] ; [ 6.82051282 12.17948718],0
