Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1.1e-05,19.338102,[57  9] ; [13 17],[48.125 17.875] ; [21.875  8.125],1
s2,1,0.000365,12.701771,[51 15] ; [12 18],[43.3125 22.6875] ; [19.6875 10.3125],1
s7,1,0.001315,10.32074,[39 26] ; [ 7 22],[31.80851064 33.19148936] ; [14.19148936 14.80851064],0
p10,1,0.001485,10.097233,[54 11] ; [15 14],[47.71276596 17.28723404] ; [21.28723404  7.71276596],0
p9,1,0.002753,8.964138,[58  7] ; [19 11],[52.68421053 12.31578947] ; [24.31578947  5.68421053],0
r3,1,0.00466,8.006926,[62  4] ; [22  8],[57.75  8.25] ; [26.25  3.75],0
s8,1,0.004956,7.895526,[38 28] ; [ 8 22],[31.625 34.375] ; [14.375 15.625],0
n4,1,0.008371,6.952433,[49 17] ; [14 16],[43.3125 22.6875] ; [19.6875 10.3125],0
s5,1,0.008908,6.841243,[27 35] ; [ 4 23],[21.59550562 40.40449438] ; [ 9.40449438 17.59550562],0
u1,1,0.015712,5.834805,[ 1 65] ; [ 4 26],[ 3.4375 62.5625] ; [ 1.5625 28.4375],0
s4,1,0.030753,4.666674,[20 46] ; [ 3 27],[15.8125 50.1875] ; [ 7.1875 22.8125],0
v2,1,0.033751,4.507273,[31 31] ; [ 8 22],[26.2826087 35.7173913] ; [12.7173913 17.2826087],0
p8,1,0.037964,4.306655,[30 34] ; [ 7 22],[25.46236559 38.53763441] ; [11.53763441 17.46236559],0
d4,1,0.054853,3.686553,[52 14] ; [18 12],[48.125 17.875] ; [21.875  8.125],0
n6,1,0.054853,3.686553,[52 14] ; [18 12],[48.125 17.875] ; [21.875  8.125],0
v3,1,0.062518,3.4693,[20 42] ; [ 4 25],[16.35164835 45.64835165] ; [ 7.64835165 21.35164835],0
v1,1,0.073876,3.194728,[33 30] ; [ 9 19],[29.07692308 33.92307692] ; [12.92307692 15.07692308],0
p6,1,0.081662,3.031519,[25 39] ; [ 6 23],[21.33333333 42.66666667] ; [ 9.66666667 19.33333333],0
p2,1,0.082831,3.008467,[54 12] ; [19 10],[50.71578947 15.28421053] ; [22.28421053  6.71578947],0
d5,1,0.085058,2.96551,[49 17] ; [17 13],[45.375 20.625] ; [20.625  9.375],0
v4,1,0.092664,2.82748,[58  7] ; [22  7],[55.31914894  9.68085106] ; [24.68085106  4.31914894],0
u2,1,0.109281,2.56459,[14 10] ; [4 9],[11.67567568 12.32432432] ; [6.32432432 6.67567568],0
r4,1,0.119895,2.41869,[44 22] ; [15 15],[40.5625 25.4375] ; [18.4375 11.5625],0
p3,1,0.135808,2.22483,[36 30] ; [11 18],[32.65263158 33.34736842] ; [14.34736842 14.65263158],0
p4,1,0.144539,2.128954,[37 29] ; [12 18],[33.6875 32.3125] ; [15.3125 14.6875],0
d3,1,0.150932,2.06281,[39 27] ; [13 17],[35.75 30.25] ; [16.25 13.75],0
a5,1,0.155929,2.013272,[41 25] ; [14 16],[37.8125 28.1875] ; [17.1875 12.8125],0
n5,1,0.158927,1.98441,[49 17] ; [18 12],[46.0625 19.9375] ; [20.9375  9.0625],0
d1,1,0.165416,1.924002,[32 34] ; [10 20],[28.875 37.125] ; [13.125 16.875],0
p5,1,0.256127,1.289571,[ 7 58] ; [ 1 27],[ 5.59139785 59.40860215] ; [ 2.40860215 25.59139785],0
s1,1,0.284553,1.145213,[ 3 63] ; [ 3 26],[ 4.16842105 61.83157895] ; [ 1.83157895 27.16842105],0
u3,1,0.361535,0.832555,[13 11] ; [5 8],[11.67567568 12.32432432] ; [6.32432432 6.67567568],0
r2,1,0.396662,0.718421,[54  9] ; [22  6],[52.61538462 10.38461538] ; [23.38461538  4.61538462],0
b3,1,0.40952,0.680193,[13 33] ; [ 7 11],[14.375 31.625] ; [ 5.625 12.375],0
b2,1,0.40952,0.680193,[13 33] ; [ 7 11],[14.375 31.625] ; [ 5.625 12.375],0
a7,1,0.416441,0.660336,[41 25] ; [16 14],[39.1875 26.8125] ; [17.8125 12.1875],0
b4,1,0.426061,0.633535,[43 23] ; [17 13],[41.25 24.75] ; [18.75 11.25],0
b5,1,0.426061,0.633535,[43 23] ; [17 13],[41.25 24.75] ; [18.75 11.25],0
a6,1,0.594449,0.28345,[38 28] ; [19 11],[39.1875 26.8125] ; [17.8125 12.1875],0
p7,1,0.604243,0.268643,[38 26] ; [15 13],[36.86956522 27.13043478] ; [16.13043478 11.86956522],0
n3,1,0.608757,0.261988,[13  6] ; [7 2],[13.57142857  5.42857143] ; [6.42857143 2.57142857],0
a3,1,0.642597,0.215362,[42 24] ; [17 12],[40.98947368 25.01052632] ; [18.01052632 10.98947368],0
