Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,34.391591,[134  45] ; [27 48],[113.46062992  65.53937008] ; [47.53937008 27.46062992],1
d3,1,3e-06,21.688955,[139  40] ; [36 39],[123.32677165  55.67322835] ; [51.67322835 23.32677165],1
d4,1,0.000514,12.065217,[153  26] ; [49 25],[142.91699605  36.08300395] ; [59.08300395 14.91699605],1
s6,1,0.00263,9.047848,[150  29] ; [48 24],[141.20318725  37.79681275] ; [56.79681275 15.20318725],0
a2,1,0.004666,8.004381,[ 45 135] ; [ 7 68],[ 36.70588235 143.29411765] ; [15.29411765 59.70588235],0
d1,1,0.009586,6.71025,[104  76] ; [30 45],[94.58823529 85.41176471] ; [39.41176471 35.58823529],0
a5,1,0.010501,6.547879,[124  56] ; [39 36],[115.05882353  64.94117647] ; [47.94117647 27.05882353],0
r1,1,0.012306,6.266287,[151  28] ; [53 22],[143.76377953  35.23622047] ; [60.23622047 14.76377953],0
u1,1,0.019474,5.458402,[ 29 151] ; [ 4 71],[ 23.29411765 156.70588235] ; [ 9.70588235 65.29411765],0
v2,1,0.024474,5.060726,[93 75] ; [28 43],[85.05439331 82.94560669] ; [35.94560669 35.05439331],0
s2,1,0.029974,4.710789,[141  39] ; [49 26],[134.11764706  45.88235294] ; [55.88235294 19.11764706],0
r4,1,0.043226,4.086538,[161  19] ; [60 15],[156.  24.] ; [65. 10.],0
b5,1,0.052272,3.767045,[117  63] ; [39 36],[110.11764706  69.88235294] ; [45.88235294 29.11764706],0
p9,1,0.052422,3.762243,[148  29] ; [54 20],[142.44621514  34.55378486] ; [59.55378486 14.44621514],0
d5,1,0.053185,3.738086,[140  39] ; [50 25],[133.8976378  45.1023622] ; [56.1023622 18.8976378],0
p2,1,0.054415,3.69992,[146  33] ; [53 22],[140.24015748  38.75984252] ; [58.75984252 16.24015748],0
p8,1,0.10354,2.650155,[ 69 107] ; [21 53],[ 63.36 112.64] ; [26.64 47.36],0
p10,1,0.1805,1.793503,[140  37] ; [52 21],[135.936  41.064] ; [56.064 16.936],0
v1,1,0.220262,1.502664,[80 93] ; [40 33],[84.3902439 88.6097561] ; [35.6097561 37.3902439],0
a8,1,0.236469,1.401522,[ 32 132] ; [ 9 60],[ 28.8583691 135.1416309] ; [12.1416309 56.8583691],0
r2,1,0.238749,1.387963,[170   6] ; [69  5],[168.256   7.744] ; [70.744  3.256],0
n6,1,0.259669,1.270521,[142  36] ; [55 20],[138.60079051  39.39920949] ; [58.39920949 16.60079051],0
r3,1,0.26537,1.240524,[170   8] ; [69  6],[168.15019763   9.84980237] ; [70.84980237  4.15019763],0
u2,1,0.310361,1.02914,[33 26] ; [10 13],[30.93902439 28.06097561] ; [12.06097561 10.93902439],0
v4,1,0.323145,0.976173,[169   9] ; [66  6],[167.32  10.68] ; [67.68  4.32],0
a1,1,0.33987,0.910922,[  7 173] ; [ 5 70],[  8.47058824 171.52941176] ; [ 3.52941176 71.47058824],0
u3,1,0.346014,0.88802,[35 24] ; [11 12],[33.09756098 25.90243902] ; [12.90243902 10.09756098],0
b1,1,0.367427,0.812347,[ 59 121] ; [29 46],[ 62.11764706 117.88235294] ; [25.88235294 49.11764706],0
p11,1,0.376806,0.781097,[127  53] ; [57 18],[129.88235294  50.11764706] ; [54.11764706 20.88235294],0
a4,1,0.382562,0.762452,[ 72 108] ; [34 40],[ 75.11811024 104.88188976] ; [30.88188976 43.11811024],0
n2,1,0.447469,0.577055,[39 11] ; [23  4],[40.25974026  9.74025974] ; [21.74025974  5.25974026],0
v3,1,0.448021,0.575652,[ 58 114] ; [21 52],[ 55.46122449 116.53877551] ; [23.53877551 49.46122449],0
s1,1,0.498575,0.457969,[ 11 164] ; [ 3 70],[  9.87903226 165.12096774] ; [ 4.12096774 68.87903226],0
a3,1,0.520775,0.412358,[119  61] ; [52 22],[121.18110236  58.81889764] ; [49.81889764 24.18110236],0
p7,1,0.583296,0.300937,[91 76] ; [42 30],[92.93305439 74.06694561] ; [40.06694561 31.93305439],0
p6,1,0.616943,0.250188,[ 46 133] ; [21 52],[ 47.59126984 131.40873016] ; [19.40873016 53.59126984],0
b2,1,0.673785,0.177206,[30 66] ; [16 30],[31.09859155 64.90140845] ; [14.90140845 31.09859155],0
b3,1,0.673785,0.177206,[30 66] ; [16 30],[31.09859155 64.90140845] ; [14.90140845 31.09859155],0
p4,1,0.696646,0.151984,[ 70 109] ; [27 47],[ 68.6284585 110.3715415] ; [28.3715415 45.6284585],0
p5,1,0.739746,0.11035,[  8 170] ; [ 4 69],[  8.50996016 169.49003984] ; [ 3.49003984 69.50996016],0
n4,1,0.796846,0.066271,[126  53] ; [54 21],[126.8503937  52.1496063] ; [53.1496063 21.8503937],0
n5,1,0.813541,0.05563,[128  51] ; [54 20],[128.76679842  50.23320158] ; [53.23320158 20.76679842],0
b4,1,0.81836,0.052742,[106  74] ; [43 32],[105.17647059  74.82352941] ; [43.82352941 31.17647059],0
n1,1,0.842961,0.039246,[20 29] ; [10 16],[19.6 29.4] ; [10.4 15.6],0
s8,1,0.865792,0.028563,[88 91] ; [36 39],[87.38582677 91.61417323] ; [36.61417323 38.38582677],0
s7,1,0.866081,0.028439,[99 76] ; [41 30],[99.59349593 75.40650407] ; [40.40650407 30.59349593],0
d2,1,0.919278,0.01027,[80 99] ; [33 42],[79.63385827 99.36614173] ; [33.36614173 41.63385827],0
n3,1,0.92066,0.009921,[36 14] ; [19  7],[36.18421053 13.81578947] ; [18.81578947  7.18421053],0
s5,1,0.923455,0.009232,[ 61 111] ; [26 46],[ 61.32786885 110.67213115] ; [25.67213115 46.32786885],0
p12,1,0.954273,0.003288,[ 10 169] ; [ 4 70],[  9.90513834 169.09486166] ; [ 4.09486166 69.90513834],0
s4,1,0.961592,0.002319,[ 38 140] ; [16 58],[ 38.14285714 139.85714286] ; [15.85714286 58.14285714],0
p1,1,0.979948,0.000632,[  7 171] ; [ 3 72],[  7.03557312 170.96442688] ; [ 2.96442688 72.03557312],0
