Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.030754,4.666667,[1 6] ; [5 2],[3. 4.] ; [3. 4.],0
r2,1,0.030754,4.666667,[5 2] ; [1 6],[3. 4.] ; [3. 4.],0
a7,1,0.030754,4.666667,[6 1] ; [2 5],[4. 3.] ; [4. 3.],0
a5,1,0.094264,2.8,[3 4] ; [6 1],[4.5 2.5] ; [4.5 2.5],0
d3,1,0.094264,2.8,[4 3] ; [1 6],[2.5 4.5] ; [2.5 4.5],0
d1,1,0.094264,2.8,[4 3] ; [1 6],[2.5 4.5] ; [2.5 4.5],0
p4,1,0.108809,2.571429,[2 5] ; [5 2],[3.5 3.5] ; [3.5 3.5],0
a8,1,0.134802,2.23631,[4 3] ; [1 5],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
d4,1,0.236724,1.4,[6 1] ; [4 3],[5. 2.] ; [5. 2.],0
v2,1,0.280087,1.166667,[3 4] ; [5 2],[4. 3.] ; [4. 3.],0
a6,1,0.280087,1.166667,[5 2] ; [3 4],[4. 3.] ; [4. 3.],0
p3,1,0.280087,1.166667,[2 5] ; [4 3],[3. 4.] ; [3. 4.],0
d2,1,0.280087,1.166667,[5 2] ; [3 4],[4. 3.] ; [4. 3.],0
r1,1,0.280087,1.166667,[5 2] ; [3 4],[4. 3.] ; [4. 3.],0
a4,1,0.280087,1.166667,[2 5] ; [4 3],[3. 4.] ; [3. 4.],0
s5,1,0.416448,0.660317,[2 4] ; [1 6],[1.38461538 4.61538462] ; [1.61538462 5.38461538],0
s2,1,0.428537,0.626786,[2 5] ; [3 3],[2.69230769 4.30769231] ; [2.30769231 3.69230769],0
s3,1,0.428537,0.626786,[5 2] ; [3 3],[4.30769231 2.69230769] ; [3.69230769 2.30769231],0
b2,1,0.477267,0.505102,[2 2] ; [2 5],[1.45454545 2.54545455] ; [2.54545455 4.45454545],0
b3,1,0.477267,0.505102,[2 2] ; [2 5],[1.45454545 2.54545455] ; [2.54545455 4.45454545],0
a2,1,0.514828,0.424242,[1 6] ; [2 5],[1.5 5.5] ; [1.5 5.5],0
b4,1,0.576999,0.311111,[4 3] ; [5 2],[4.5 2.5] ; [4.5 2.5],0
p7,1,0.576999,0.311111,[4 3] ; [5 2],[4.5 2.5] ; [4.5 2.5],0
a3,1,0.576999,0.311111,[5 2] ; [4 3],[4.5 2.5] ; [4.5 2.5],0
p6,1,0.59298,0.285714,[3 4] ; [4 3],[3.5 3.5] ; [3.5 3.5],0
b1,1,0.59298,0.285714,[4 3] ; [3 4],[3.5 3.5] ; [3.5 3.5],0
u2,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
p12,1,0.905581,0.014069,[1 5] ; [1 6],[0.92307692 5.07692308] ; [1.07692308 5.92307692],0
s7,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
p2,1,1.0,0.0,[5 2] ; [5 2],[5. 2.] ; [5. 2.],0
n4,1,1.0,0.0,[6 1] ; [6 1],[6. 1.] ; [6. 1.],0
v3,1,1.0,0.0,[4 3] ; [4 3],[4. 3.] ; [4. 3.],0
p5,1,1.0,0.0,[1 6] ; [1 6],[1. 6.] ; [1. 6.],0
b5,1,1.0,0.0,[4 3] ; [4 3],[4. 3.] ; [4. 3.],0
p8,1,1.0,0.0,[4 3] ; [4 3],[4. 3.] ; [4. 3.],0
