Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.005169,7.819264,[10  5] ; [1 9],[6.6 8.4] ; [4.4 5.6],0
p4,1,0.014266,6.004902,[13  2] ; [4 6],[10.2  4.8] ; [6.8 3.2],0
p3,1,0.038597,4.278519,[8 7] ; [1 8],[5.625 9.375] ; [3.375 5.625],0
d1,1,0.095581,2.777778,[ 4 11] ; [6 4],[6. 9.] ; [4. 6.],0
a3,1,0.101707,2.678571,[9 6] ; [9 1],[10.8  4.2] ; [7.2 2.8],0
a7,1,0.141326,2.163462,[6 9] ; [7 3],[7.8 7.2] ; [5.2 4.8],0
r1,1,0.173568,1.851852,[7 8] ; [2 8],[5.4 9.6] ; [3.6 6.4],0
r4,1,0.180812,1.790936,[ 5 10] ; [1 9],[ 3.6 11.4] ; [2.4 7.6],0
p9,1,0.202134,1.626891,[12  3] ; [5 4],[10.625  4.375] ; [6.375 2.625],0
p10,1,0.202134,1.626891,[12  3] ; [5 4],[10.625  4.375] ; [6.375 2.625],0
d3,1,0.249561,1.325758,[7 8] ; [7 3],[8.4 6.6] ; [5.6 4.4],0
b5,1,0.249561,1.325758,[8 7] ; [3 7],[6.6 8.4] ; [4.4 5.6],0
p2,1,0.275234,1.190476,[12  3] ; [6 4],[10.8  4.2] ; [7.2 2.8],0
p5,1,0.307434,1.041667,[ 4 11] ; [1 9],[ 3. 12.] ; [2. 8.],0
a2,1,0.314879,1.010101,[ 1 14] ; [2 8],[ 1.8 13.2] ; [1.2 8.8],0
s1,1,0.314879,1.010101,[ 1 14] ; [2 8],[ 1.8 13.2] ; [1.2 8.8],0
a4,1,0.404657,0.694444,[7 8] ; [3 7],[6. 9.] ; [4. 6.],0
d2,1,0.404657,0.694444,[ 5 10] ; [5 5],[6. 9.] ; [4. 6.],0
v4,1,0.404657,0.694444,[10  5] ; [5 5],[9. 6.] ; [6. 4.],0
n2,1,0.428537,0.626786,[5 2] ; [3 3],[4.30769231 2.69230769] ; [3.69230769 2.30769231],0
s8,1,0.466985,0.529101,[ 5 10] ; [2 8],[ 4.2 10.8] ; [2.8 7.2],0
s5,1,0.466985,0.529101,[ 5 10] ; [2 8],[ 4.2 10.8] ; [2.8 7.2],0
b4,1,0.48384,0.490196,[ 4 11] ; [4 6],[ 4.8 10.2] ; [3.2 6.8],0
p11,1,0.56628,0.328947,[12  3] ; [7 3],[11.4  3.6] ; [7.6 2.4],0
v3,1,0.609834,0.260417,[6 9] ; [3 7],[5.4 9.6] ; [3.6 6.4],0
a5,1,0.609834,0.260417,[9 6] ; [7 3],[9.6 5.4] ; [6.4 3.6],0
d5,1,0.609834,0.260417,[9 6] ; [7 3],[9.6 5.4] ; [6.4 3.6],0
b3,1,0.610689,0.259174,[3 8] ; [2 3],[3.4375 7.5625] ; [1.5625 3.4375],0
b2,1,0.610689,0.259174,[3 8] ; [2 3],[3.4375 7.5625] ; [1.5625 3.4375],0
n4,1,0.621685,0.243506,[9 6] ; [5 5],[8.4 6.6] ; [5.6 4.4],0
b1,1,0.733701,0.115741,[10  5] ; [6 4],[9.6 5.4] ; [6.4 3.6],0
a6,1,0.742174,0.108225,[8 7] ; [6 4],[8.4 6.6] ; [5.6 4.4],0
s2,1,0.743971,0.106667,[6 9] ; [3 6],[5.625 9.375] ; [3.375 5.625],0
p1,1,0.763441,0.09058,[ 1 14] ; [1 9],[ 1.2 13.8] ; [0.8 9.2],0
n3,1,0.796762,0.066327,[3 4] ; [3 3],[3.23076923 3.76923077] ; [2.76923077 3.23076923],0
a1,1,0.801614,0.063131,[ 2 13] ; [1 9],[ 1.8 13.2] ; [1.2 8.8],0
r3,1,0.807671,0.059259,[11  4] ; [7 2],[11.25  3.75] ; [6.75 2.25],0
s3,1,0.807671,0.059259,[ 4 11] ; [2 7],[ 3.75 11.25] ; [2.25 6.75],0
n6,1,0.830696,0.045714,[9 6] ; [5 4],[8.75 6.25] ; [5.25 3.75],0
v2,1,0.861052,0.030637,[10  5] ; [7 3],[10.2  4.8] ; [6.8 3.2],0
s6,1,0.87018,0.026709,[8 7] ; [5 5],[7.8 7.2] ; [5.2 4.8],0
s7,1,0.906855,0.01369,[6 9] ; [3 5],[5.86956522 9.13043478] ; [3.13043478 4.86956522],0
d4,1,1.0,0.0,[12  3] ; [8 2],[12.  3.] ; [8. 2.],0
n5,1,1.0,0.0,[9 6] ; [6 4],[9. 6.] ; [6. 4.],0
