Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,86.289942,[ 80 110] ; [429 119],[131.04336043  58.95663957] ; [377.95663957 170.04336043],1
d3,1,0.0,70.413174,[ 90 100] ; [435 113],[135.16260163  54.83739837] ; [389.83739837 158.16260163],1
a2,1,0.0,27.329611,[ 19 171] ; [158 391],[ 45.50744249 144.49255751] ; [131.49255751 417.50744249],1
u1,1,4e-06,21.169223,[ 13 177] ; [119 430],[ 33.93775372 156.06224628] ; [ 98.06224628 450.93775372],1
b5,1,4e-06,21.057224,[ 88 102] ; [358 191],[114.66847091  75.33152909] ; [331.33152909 217.66847091],1
u3,1,0.000679,11.547076,[19 34] ; [96 57],[29.58737864 23.41262136] ; [85.41262136 67.58737864],1
b1,1,0.00263,9.047847,[ 85 105] ; [179 370],[ 67.87550744 122.12449256] ; [196.12449256 352.87550744],0
r2,1,0.003571,8.489919,[170  17] ; [524  20],[177.53488372   9.46511628] ; [516.46511628  27.53488372],0
r1,1,0.003682,8.434405,[142  48] ; [458  86],[155.3133515  34.6866485] ; [444.6866485  99.3133515],0
r4,1,0.004495,8.07206,[167  23] ; [517  32],[175.85926928  14.14073072] ; [508.14073072  40.85926928],0
d5,1,0.005312,7.769867,[144  45] ; [467  82],[156.47560976  32.52439024] ; [454.52439024  94.47560976],0
d1,1,0.010819,6.494863,[98 92] ; [341 208],[112.86874154  77.13125846] ; [326.13125846 222.86874154],0
p4,1,0.03271,4.560912,[108  81] ; [360 187],[120.17934783  68.82065217] ; [347.82065217 199.17934783],0
s7,1,0.033636,4.513132,[104  79] ; [250 274],[91.62942008 91.37057992] ; [262.37057992 261.62942008],0
d4,1,0.050653,3.819721,[148  40] ; [466  83],[156.62415197  31.37584803] ; [457.37584803  91.62415197],0
n5,1,0.052347,3.764654,[152  37] ; [399 145],[142.07230559  46.92769441] ; [408.92769441 135.07230559],0
s5,1,0.056513,3.636863,[ 73 110] ; [170 359],[ 62.45646067 120.54353933] ; [180.54353933 348.45646067],0
n4,1,0.063051,3.455244,[157  32] ; [419 128],[147.91304348  41.08695652] ; [428.08695652 118.91304348],0
v2,1,0.067936,3.332187,[96 90] ; [312 214],[106.58426966  79.41573034] ; [301.41573034 224.58426966],0
a1,1,0.090656,2.862681,[ 12 178] ; [ 19 530],[  7.97023004 182.02976996] ; [ 23.02976996 525.97023004],0
n3,1,0.177583,1.817735,[33 15] ; [82 22],[36.31578947 11.68421053] ; [78.68421053 25.31578947],0
b3,1,0.188813,1.726855,[53 72] ; [112 202],[46.98177677 78.01822323] ; [118.01822323 195.98177677],0
b2,1,0.188813,1.726855,[53 72] ; [112 202],[46.98177677 78.01822323] ; [118.01822323 195.98177677],0
a5,1,0.241571,1.371404,[134  56] ; [411 138],[140.1217862  49.8782138] ; [404.8782138 144.1217862],0
b4,1,0.244853,1.352437,[104  86] ; [327 222],[110.81190798  79.18809202] ; [320.18809202 228.81190798],0
s8,1,0.267298,1.23056,[92 98] ; [239 307],[ 85.44836957 104.55163043] ; [245.55163043 300.44836957],0
p10,1,0.27077,1.212843,[152  36] ; [457  85],[156.83835616  31.16164384] ; [452.16164384  89.83835616],0
v4,1,0.27621,1.185642,[178   9] ; [530  17],[180.3760218   6.6239782] ; [527.6239782  19.3760218],0
p12,1,0.284265,1.146586,[ 11 177] ; [ 45 500],[ 14.36289222 173.63710778] ; [ 41.63710778 503.36289222],0
u2,1,0.28568,1.13987,[26 27] ; [88 65],[29.33009709 23.66990291] ; [84.66990291 68.33009709],0
s3,1,0.287312,1.132173,[115  74] ; [304 235],[108.77884615  80.22115385] ; [310.22115385 228.77884615],0
p7,1,0.456423,0.554651,[134  55] ; [363 171],[129.92116183  59.07883817] ; [367.07883817 166.92116183],0
s6,1,0.465123,0.533538,[122  62] ; [373 166],[125.97510373  58.02489627] ; [369.02489627 169.97510373],0
s4,1,0.492859,0.470278,[ 33 156] ; [ 83 458],[ 30.03287671 158.96712329] ; [ 85.96712329 455.03287671],0
p5,1,0.502187,0.450311,[ 25 165] ; [ 62 485],[ 22.42876526 167.57123474] ; [ 64.57123474 482.42876526],0
n1,1,0.534758,0.385341,[18 30] ; [33 69],[16.32 31.68] ; [34.68 67.32],0
a8,1,0.568811,0.324677,[ 24 153] ; [ 75 414],[ 26.31081081 150.68918919] ; [ 72.68918919 416.31081081],0
p1,1,0.59347,0.284957,[ 14 176] ; [ 47 499],[ 15.74728261 174.25271739] ; [ 45.25271739 500.74728261],0
v3,1,0.622998,0.241677,[ 77 110] ; [207 322],[ 74.17318436 112.82681564] ; [209.82681564 319.17318436],0
d2,1,0.629616,0.232582,[94 96] ; [260 288],[91.13821138 98.86178862] ; [262.86178862 285.13821138],0
s2,1,0.664685,0.187882,[94 95] ; [280 263],[96.56557377 92.43442623] ; [277.43442623 265.56557377],0
p9,1,0.674832,0.176001,[163  26] ; [473  68],[164.6630137  24.3369863] ; [471.3369863  69.6630137],0
p8,1,0.73107,0.118131,[105  82] ; [311 229],[107.00412655  79.99587345] ; [308.99587345 231.00412655],0
p11,1,0.778554,0.079076,[154  36] ; [450  99],[155.29093369  34.70906631] ; [448.70906631 100.29093369],0
p3,1,0.780609,0.077576,[100  90] ; [282 266],[98.34688347 91.65311653] ; [283.65311653 264.34688347],0
u4,1,0.804679,0.061156,[  4 186] ; [ 10 539],[  3.59945873 186.40054127] ; [ 10.40054127 538.59945873],0
n2,1,0.809842,0.057903,[35 13] ; [77 26],[35.60264901 12.39735099] ; [76.39735099 26.60264901],0
v1,1,0.839642,0.040946,[102  83] ; [299 235],[103.17802503  81.82197497] ; [297.82197497 236.17802503],0
a3,1,0.865762,0.028576,[137  52] ; [393 154],[136.10054348  52.89945652] ; [393.89945652 153.10054348],0
p6,1,0.881929,0.02206,[ 73 113] ; [209 332],[ 72.14855571 113.85144429] ; [209.85144429 331.14855571],0
a4,1,0.911343,0.012398,[ 84 105] ; [241 307],[ 83.34464043 105.65535957] ; [241.65535957 306.34464043],0
n6,1,0.935717,0.006505,[160  28] ; [466  80],[160.33787466  27.66212534] ; [465.66212534  80.33787466],0
s1,1,0.97153,0.001274,[  5 184] ; [ 14 525],[  4.93269231 184.06730769] ; [ 14.06730769 524.93269231],0
