Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.334494,[81 25] ; [ 1 20],[68.44094488 37.55905512] ; [13.55905512  7.44094488],1
v4,1,2e-06,22.661316,[89 15] ; [ 8 13],[80.704 23.296] ; [16.296  4.704],1
r3,1,4e-06,21.509136,[89 16] ; [ 8 13],[80.83333333 24.16666667] ; [16.16666667  4.83333333],1
r1,1,9.2e-05,15.288627,[81 25] ; [ 7 14],[73.4488189 32.5511811] ; [14.5511811  6.4488189],1
d3,1,0.005754,7.625832,[65 41] ; [ 6 15],[59.25984252 46.74015748] ; [11.74015748  9.25984252],0
d5,1,0.007655,7.112517,[77 29] ; [ 9 12],[71.77952756 34.22047244] ; [14.22047244  6.77952756],0
a5,1,0.009489,6.728449,[63 43] ; [ 6 15],[57.59055118 48.40944882] ; [11.40944882  9.59055118],0
n6,1,0.012627,6.220599,[71 35] ; [ 8 13],[65.93700787 40.06299213] ; [13.06299213  7.93700787],0
v3,1,0.015597,5.847746,[31 72] ; [ 1 20],[26.58064516 76.41935484] ; [ 5.41935484 15.58064516],0
u3,1,0.020877,5.33699,[23 17] ; [2 9],[19.60784314 20.39215686] ; [5.39215686 5.60784314],0
p4,1,0.034294,4.48,[34 71] ; [ 2 19],[30. 75.] ; [ 6. 15.],0
d1,1,0.040429,4.199782,[51 55] ; [ 5 16],[46.74015748 59.25984252] ; [ 9.25984252 11.74015748],0
s8,1,0.057681,3.602851,[24 81] ; [ 1 20],[20.83333333 84.16666667] ; [ 4.16666667 16.83333333],0
s3,1,0.058863,3.569125,[45 61] ; [ 4 16],[41.22222222 64.77777778] ; [ 7.77777778 12.22222222],0
s7,1,0.067636,3.33949,[31 69] ; [ 2 17],[27.73109244 72.26890756] ; [ 5.26890756 13.73109244],0
d4,1,0.092533,2.829738,[74 30] ; [11 10],[70.72 33.28] ; [14.28  6.72],0
d2,1,0.10215,2.671658,[55 49] ; [ 7 14],[51.584 52.416] ; [10.416 10.584],0
a6,1,0.116981,2.45728,[65 41] ; [ 9 12],[61.76377953 44.23622047] ; [12.23622047  8.76377953],0
b4,1,0.127943,2.31729,[62 44] ; [16  5],[65.1023622 40.8976378] ; [12.8976378  8.1023622],0
b1,1,0.140033,2.177594,[52 54] ; [14  7],[55.08661417 50.91338583] ; [10.91338583 10.08661417],0
n4,1,0.155081,2.021545,[68 38] ; [10 11],[65.1023622 40.8976378] ; [12.8976378  8.1023622],0
p2,1,0.163665,1.940029,[58 48] ; [ 8 13],[55.08661417 50.91338583] ; [10.91338583 10.08661417],0
n3,1,0.202193,1.626464,[21 20] ; [8 3],[22.86538462 18.13461538] ; [6.13461538 4.86538462],0
p12,1,0.202284,1.625806,[  1 104] ; [ 1 20],[  1.66666667 103.33333333] ; [ 0.33333333 20.66666667],0
s4,1,0.211236,1.562935,[10 94] ; [ 4 17],[11.648 92.352] ; [ 2.352 18.648],0
v1,1,0.233612,1.418734,[34 72] ; [ 4 17],[31.71653543 74.28346457] ; [ 6.28346457 14.71653543],0
p10,1,0.253148,1.305849,[27 77] ; [ 3 18],[24.96 79.04] ; [ 5.04 15.96],0
s5,1,0.286671,1.135192,[20 84] ; [ 2 19],[18.304 85.696] ; [ 3.696 17.304],0
a3,1,0.303832,1.057299,[66 40] ; [10 10],[63.93650794 42.06349206] ; [12.06349206  7.93650794],0
p8,1,0.313217,1.017064,[27 79] ; [ 3 17],[25.23809524 80.76190476] ; [ 4.76190476 15.23809524],0
p7,1,0.324872,0.969231,[42 63] ; [ 6 15],[40. 65.] ; [ 8. 13.],0
n2,1,0.368961,0.80716,[26 17] ; [5 6],[24.68518519 18.31481481] ; [6.31481481 4.68518519],0
s2,1,0.369416,0.805627,[30 75] ; [ 4 17],[28.33333333 76.66666667] ; [ 5.66666667 15.33333333],0
s1,1,0.391232,0.735109,[ 5 99] ; [ 2 19],[ 5.824 98.176] ; [ 1.176 19.824],0
a7,1,0.415447,0.663158,[65 40] ; [11 10],[63.33333333 41.66666667] ; [12.66666667  8.33333333],0
a4,1,0.436852,0.604539,[39 65] ; [ 6 15],[37.44 66.56] ; [ 7.56 13.44],0
p11,1,0.449594,0.571676,[55 51] ; [ 9 12],[53.41732283 52.58267717] ; [10.58267717 10.41732283],0
s6,1,0.465078,0.533647,[44 61] ; [ 7 14],[42.5 62.5] ; [ 8.5 12.5],0
n1,1,0.472318,0.516548,[16 25] ; [3 8],[14.98076923 26.01923077] ; [4.01923077 6.98076923],0
a1,1,0.505563,0.44324,[  6 100] ; [ 2 19],[ 6.67716535 99.32283465] ; [ 1.32283465 19.67716535],0
p1,1,0.513406,0.427119,[ 6 99] ; [ 2 19],[ 6.66666667 98.33333333] ; [ 1.33333333 19.66666667],0
b3,1,0.533914,0.386936,[19 45] ; [ 3 11],[18.05128205 45.94871795] ; [ 3.94871795 10.05128205],0
b2,1,0.533914,0.386936,[19 45] ; [ 3 11],[18.05128205 45.94871795] ; [ 3.94871795 10.05128205],0
n5,1,0.604882,0.267695,[62 44] ; [11 10],[60.92913386 45.07086614] ; [12.07086614  8.92913386],0
a2,1,0.68728,0.162045,[19 87] ; [ 3 18],[18.36220472 87.63779528] ; [ 3.63779528 17.36220472],0
p6,1,0.827388,0.047547,[18 88] ; [ 3 17],[17.66666667 88.33333333] ; [ 3.33333333 16.66666667],0
b5,1,0.906938,0.013666,[57 49] ; [11 10],[56.75590551 49.24409449] ; [11.24409449  9.75590551],0
v2,1,0.917227,0.010801,[38 65] ; [ 8 13],[38.20967742 64.79032258] ; [ 7.79032258 13.20967742],0
u2,1,0.967217,0.001689,[21 18] ; [6 5],[21.06 17.94] ; [5.94 5.06],0
a8,1,0.989083,0.000187,[10 89] ; [ 2 18],[ 9.98319328 89.01680672] ; [ 2.01680672 17.98319328],0
