Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,5e-06,20.907147,[10  4] ; [20 97],[ 3.20610687 10.79389313] ; [26.79389313 90.20610687],1
p1,1,5.6e-05,16.225962,[7 8] ; [ 11 109],[ 2. 13.] ; [ 16. 104.],1
p6,1,0.000138,14.52734,[11  4] ; [30 89],[ 4.58955224 10.41044776] ; [36.41044776 82.58955224],1
p12,1,0.00252,9.126,[ 4 11] ; [  6 114],[ 1.11111111 13.88888889] ; [  8.88888889 111.11111111],0
p3,1,0.006605,7.377254,[12  3] ; [51 68],[7.05223881 7.94776119] ; [55.94776119 63.05223881],0
p8,1,0.027689,4.847323,[11  3] ; [56 62],[7.10606061 6.89393939] ; [59.89393939 58.10606061],0
b2,1,0.036515,4.372913,[5 4] ; [17 57],[2.38554217 6.61445783] ; [19.61445783 54.38554217],0
b3,1,0.036515,4.372913,[5 4] ; [17 57],[2.38554217 6.61445783] ; [19.61445783 54.38554217],0
p4,1,0.051473,3.792801,[11  4] ; [56 64],[7.44444444 7.55555556] ; [59.55555556 60.44444444],0
s7,1,0.062392,3.472636,[8 5] ; [40 74],[4.91338583 8.08661417] ; [43.08661417 70.91338583],0
a1,1,0.077882,3.108553,[ 1 14] ; [  1 119],[ 0.22222222 14.77777778] ; [  1.77777778 118.22222222],0
a5,1,0.099593,2.712054,[11  4] ; [61 59],[8. 7.] ; [64. 56.],0
n5,1,0.099821,2.708397,[14  1] ; [89 31],[11.44444444  3.55555556] ; [91.55555556 28.44444444],0
r3,1,0.111902,2.527153,[12  3] ; [110   9],[13.65671642  1.34328358] ; [108.34328358  10.65671642],0
s1,1,0.140441,2.173116,[ 2 13] ; [  5 112],[ 0.79545455 14.20454545] ; [  6.20454545 110.79545455],0
s6,1,0.152179,2.050272,[10  3] ; [67 52],[7.58333333 5.41666667] ; [69.41666667 49.58333333],0
v3,1,0.158423,1.989211,[7 8] ; [34 84],[ 4.62406015 10.37593985] ; [36.37593985 81.62406015],0
n6,1,0.189584,1.720845,[14  1] ; [95 25],[12.11111111  2.88888889] ; [96.88888889 23.11111111],0
n1,1,0.192084,1.701562,[3 1] ; [13 19],[1.77777778 2.22222222] ; [14.22222222 17.77777778],0
p9,1,0.220266,1.502637,[13  1] ; [95 25],[11.28358209  2.71641791] ; [96.71641791 23.28358209],0
d3,1,0.262028,1.258008,[ 2 13] ; [32 88],[ 3.77777778 11.22222222] ; [30.22222222 89.77777778],0
p7,1,0.268223,1.225812,[11  4] ; [69 49],[9.02255639 5.97744361] ; [70.97744361 47.02255639],0
