Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,30.403021,[ 52 104] ; [95 51],[75.93377483 80.06622517] ; [71.06622517 74.93377483],1
r3,1,0.000169,14.144079,[133  30] ; [143   7],[143.73162939  19.26837061] ; [132.26837061  17.73162939],1
r4,1,0.00073,11.412341,[121  43] ; [134  17],[132.76190476  31.23809524] ; [122.23809524  28.76190476],1
p3,1,0.000934,10.955026,[ 42 122] ; [65 85],[ 55.88535032 108.11464968] ; [51.11464968 98.88535032],1
p10,1,0.001054,10.730678,[106  56] ; [122  27],[118.76527331  43.23472669] ; [109.23472669  39.76527331],0
p2,1,0.001416,10.18443,[100  63] ; [117  33],[113.00638978  49.99361022] ; [103.99361022  46.00638978],0
s6,1,0.002238,9.342917,[89 74] ; [107  43],[102.07028754  60.92971246] ; [93.92971246 56.07028754],0
s2,1,0.002387,9.225062,[64 98] ; [84 64],[77.34193548 84.65806452] ; [70.65806452 77.34193548],0
p9,1,0.003903,8.328465,[113  48] ; [126  24],[123.7266881  37.2733119] ; [115.2733119  34.7266881],0
p7,1,0.004941,7.901012,[ 55 106] ; [73 73],[67.12703583 93.87296417] ; [60.87296417 85.12703583],0
r1,1,0.007005,7.271577,[109  55] ; [120  30],[119.60509554  44.39490446] ; [109.39490446  40.60509554],0
b5,1,0.007043,7.262061,[91 73] ; [106  45],[102.56507937  61.43492063] ; [94.43492063 56.56507937],0
v3,1,0.007632,7.117764,[ 47 111] ; [65 81],[58.21052632 99.78947368] ; [53.78947368 92.21052632],0
v4,1,0.011768,6.345482,[136  27] ; [140  11],[143.27388535  19.72611465] ; [132.72611465  18.27388535],0
r2,1,0.019436,5.461835,[141  21] ; [143   8],[146.99041534  15.00958466] ; [137.00958466  13.99041534],0
p4,1,0.037837,4.31235,[ 62 101] ; [75 76],[71.11783439 91.88216561] ; [65.88216561 85.11783439],0
s8,1,0.065531,3.39155,[ 51 113] ; [62 89],[ 58.83174603 105.16825397] ; [54.16825397 96.83174603],0
n6,1,0.06918,3.302361,[132  32] ; [132  18],[137.88535032  26.11464968] ; [126.11464968  23.88535032],0
p11,1,0.070034,3.282214,[105  59] ; [111  40],[112.45714286  51.54285714] ; [103.54285714  47.45714286],0
a3,1,0.075627,3.156456,[107  56] ; [113  38],[114.20382166  48.79617834] ; [105.79617834  45.20382166],0
p6,1,0.105612,2.618679,[ 31 131] ; [ 40 109],[ 36.98392283 125.01607717] ; [ 34.01607717 114.98392283],0
u3,1,0.131394,2.275954,[24 33] ; [22 16],[27.6 29.4] ; [18.4 19.6],0
u1,1,0.13425,2.242653,[ 27 137] ; [ 35 116],[ 32.27936508 131.72063492] ; [ 29.72063492 121.27936508],0
u4,1,0.147988,2.092863,[  1 163] ; [  4 147],[  2.6031746 161.3968254] ; [  2.3968254 148.6031746],0
p5,1,0.156712,2.005671,[  7 157] ; [ 12 136],[  9.98717949 154.01282051] ; [  9.01282051 138.98717949],0
a5,1,0.184908,1.757732,[107  57] ; [109  42],[112.45714286  51.54285714] ; [103.54285714  47.45714286],0
a8,1,0.228432,1.450598,[ 16 133] ; [ 21 114],[ 19.41197183 129.58802817] ; [ 17.58802817 117.41197183],0
n3,1,0.246737,1.341687,[40 22] ; [28  9],[42.58585859 19.41414141] ; [25.41414141 11.58585859],0
b1,1,0.261923,1.258566,[71 93] ; [56 95],[66.12063492 97.87936508] ; [60.87936508 90.12063492],0
a7,1,0.29463,1.098342,[102  61] ; [103  48],[106.41719745  56.58280255] ; [98.58280255 52.41719745],0
a6,1,0.321499,0.982837,[107  56] ; [107  44],[111.08917197  51.91082803] ; [102.91082803  48.08917197],0
p1,1,0.350087,0.873142,[ 13 151] ; [  8 143],[ 10.93333333 153.06666667] ; [ 10.06666667 140.93333333],0
s7,1,0.365995,0.817219,[66 91] ; [68 76],[69.89368771 87.10631229] ; [64.10631229 79.89368771],0
n2,1,0.419591,0.65146,[45 19] ; [28  8],[46.72 17.28] ; [26.28  9.72],0
d3,1,0.481153,0.49625,[100  62] ; [99 52],[102.99680511  59.00319489] ; [96.00319489 54.99680511],0
a2,1,0.488988,0.478753,[ 40 124] ; [ 42 109],[ 42.69206349 121.30793651] ; [ 39.30793651 111.69206349],0
s5,1,0.497333,0.460622,[ 41 118] ; [ 43 104],[ 43.64705882 115.35294118] ; [ 40.35294118 106.64705882],0
n1,1,0.500682,0.453491,[28 33] ; [14 22],[26.41237113 34.58762887] ; [15.58762887 20.41237113],0
s3,1,0.521463,0.410999,[85 78] ; [82 65],[87.80967742 75.19032258] ; [79.19032258 67.80967742],0
b2,1,0.529284,0.395767,[39 57] ; [37 65],[36.84848485 59.15151515] ; [39.15151515 62.84848485],0
b3,1,0.529284,0.395767,[39 57] ; [37 65],[36.84848485 59.15151515] ; [39.15151515 62.84848485],0
a4,1,0.579021,0.307821,[79 84] ; [68 82],[76.55271565 86.44728435] ; [70.44728435 79.55271565],0
a1,1,0.599677,0.275483,[ 11 153] ; [  8 143],[  9.89206349 154.10793651] ; [  9.10793651 141.89206349],0
s4,1,0.614837,0.253191,[ 25 137] ; [ 20 129],[ 23.44051447 138.55948553] ; [ 21.55948553 127.44051447],0
u2,1,0.641957,0.216192,[26 30] ; [19 18],[27.09677419 28.90322581] ; [17.90322581 19.09677419],0
d4,1,0.647068,0.209617,[119  42] ; [115  36],[120.75  40.25] ; [113.25  37.75],0
d2,1,0.649393,0.206667,[82 78] ; [73 77],[80. 80.] ; [75. 75.],0
p12,1,0.672588,0.17859,[  9 155] ; [ 10 141],[  9.89206349 154.10793651] ; [  9.10793651 141.89206349],0
s1,1,0.72737,0.12154,[  8 154] ; [  6 140],[  7.36363636 154.63636364] ; [  6.63636364 139.36363636],0
d1,1,0.811746,0.056727,[88 76] ; [79 72],[86.94603175 77.05396825] ; [80.05396825 70.94603175],0
b4,1,0.890137,0.01908,[99 65] ; [90 61],[98.4 65.6] ; [90.6 60.4],0
d5,1,0.951692,0.00367,[128  35] ; [119  32],[128.21974522  34.78025478] ; [118.78025478  32.21974522],0
n4,1,0.993505,6.6e-05,[140  24] ; [128  22],[139.97452229  24.02547771] ; [128.02547771  21.97452229],0
