Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001875,9.667834,[1 5] ; [19  4],[4.13793103 1.86206897] ; [15.86206897  7.13793103],0
a5,1,0.010062,6.623811,[1 5] ; [17  6],[3.72413793 2.27586207] ; [14.27586207  8.72413793],0
a7,1,0.05365,3.723568,[5 1] ; [ 9 14],[2.89655172 3.10344828] ; [11.10344828 11.89655172],0
a3,1,0.062548,3.468497,[2 4] ; [17  6],[3.93103448 2.06896552] ; [15.06896552  7.93103448],0
d3,1,0.081885,3.027088,[5 1] ; [10 13],[3.10344828 2.89655172] ; [11.89655172 11.10344828],0
p9,1,0.132529,2.262626,[4 2] ; [20  2],[5.14285714 0.85714286] ; [18.85714286  3.14285714],0
d2,1,0.167554,1.904696,[1 5] ; [11 12],[2.48275862 3.51724138] ; [ 9.51724138 13.48275862],0
n6,1,0.167792,1.902562,[3 3] ; [18  5],[4.34482759 1.65517241] ; [16.65517241  6.34482759],0
u2,1,0.196706,1.666667,[3 1] ; [2 4],[2. 2.] ; [3. 3.],0
a4,1,0.228052,1.452972,[1 5] ; [10 13],[2.27586207 3.72413793] ; [ 8.72413793 14.27586207],0
p6,1,0.254478,1.298551,[1 4] ; [11 12],[2.14285714 2.85714286] ; [ 9.85714286 13.14285714],0
s7,1,0.264145,1.246904,[4 2] ; [19  3],[4.92857143 1.07142857] ; [18.07142857  3.92857143],0
n2,1,0.287495,1.131313,[2 1] ; [10  1],[2.57142857 0.42857143] ; [9.42857143 1.57142857],0
s1,1,0.288916,1.124665,[1 5] ; [ 1 22],[0.4137931 5.5862069] ; [ 1.5862069 21.4137931],0
s3,1,0.290689,1.116427,[3 3] ; [16  6],[4.07142857 1.92857143] ; [14.92857143  7.07142857],0
v2,1,0.311405,1.024707,[2 4] ; [13 10],[3.10344828 2.89655172] ; [11.89655172 11.10344828],0
s5,1,0.317618,0.99873,[2 3] ; [ 4 17],[1.15384615 3.84615385] ; [ 4.84615385 16.15384615],0
p11,1,0.390614,0.73703,[4 2] ; [19  4],[4.75862069 1.24137931] ; [18.24137931  4.75862069],0
s4,1,0.390614,0.73703,[2 4] ; [ 4 19],[1.24137931 4.75862069] ; [ 4.75862069 18.24137931],0
v3,1,0.39299,0.72967,[1 5] ; [ 8 15],[1.86206897 4.13793103] ; [ 7.13793103 15.86206897],0
r1,1,0.39299,0.72967,[1 5] ; [ 8 15],[1.86206897 4.13793103] ; [ 7.13793103 15.86206897],0
s2,1,0.410004,0.678788,[3 3] ; [15  7],[3.85714286 2.14285714] ; [14.14285714  7.85714286],0
p7,1,0.438058,0.601364,[2 3] ; [13  9],[2.77777778 2.22222222] ; [12.22222222  9.77777778],0
p4,1,0.493886,0.46805,[3 3] ; [15  8],[3.72413793 2.27586207] ; [14.27586207  8.72413793],0
n1,1,0.514828,0.424242,[1 2] ; [6 5],[1.5 1.5] ; [5.5 5.5],0
b1,1,0.524967,0.404125,[2 4] ; [11 12],[2.68965517 3.31034483] ; [10.31034483 12.68965517],0
d1,1,0.524967,0.404125,[2 4] ; [11 12],[2.68965517 3.31034483] ; [10.31034483 12.68965517],0
r3,1,0.554492,0.349332,[4 2] ; [18  5],[4.55172414 1.44827586] ; [17.44827586  5.55172414],0
b5,1,0.630209,0.231777,[3 3] ; [14  9],[3.51724138 2.48275862] ; [13.48275862  9.51724138],0
p3,1,0.653188,0.201904,[2 4] ; [10 13],[2.48275862 3.51724138] ; [ 9.51724138 13.48275862],0
r2,1,0.688921,0.160256,[3 2] ; [10 10],[2.6 2.4] ; [10.4  9.6],0
n3,1,0.706879,0.141414,[2 1] ; [6 5],[1.71428571 1.28571429] ; [6.28571429 4.71428571],0
b4,1,0.774826,0.081835,[3 3] ; [13 10],[3.31034483 2.68965517] ; [12.68965517 10.31034483],0
d4,1,0.78473,0.074617,[5 1] ; [18  5],[4.75862069 1.24137931] ; [18.24137931  4.75862069],0
p5,1,0.818707,0.052536,[1 5] ; [ 3 20],[0.82758621 5.17241379] ; [ 3.17241379 19.82758621],0
d5,1,0.891289,0.01868,[4 2] ; [16  7],[4.13793103 1.86206897] ; [15.86206897  7.13793103],0
s6,1,0.891289,0.01868,[4 2] ; [16  7],[4.13793103 1.86206897] ; [15.86206897  7.13793103],0
v1,1,0.918011,0.010597,[3 3] ; [10 11],[2.88888889 3.11111111] ; [10.11111111 10.88888889],0
a6,1,0.924393,0.009006,[3 3] ; [11 12],[2.89655172 3.10344828] ; [11.10344828 11.89655172],0
p8,1,0.924393,0.009006,[3 3] ; [11 12],[2.89655172 3.10344828] ; [11.10344828 11.89655172],0
p10,1,0.924731,0.008926,[4 1] ; [18  4],[4.07407407 0.92592593] ; [17.92592593  4.07407407],0
b2,1,1.0,0.0,[1 3] ; [ 5 15],[1. 3.] ; [ 5. 15.],0
b3,1,1.0,0.0,[1 3] ; [ 5 15],[1. 3.] ; [ 5. 15.],0
