Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,150.339216,[443  47] ; [59 78],[392.31259968  97.68740032] ; [109.68740032  27.31259968],1
n6,1,0.0,55.07935,[451  39] ; [92 44],[425.03194888  64.96805112] ; [117.96805112  18.03194888],1
p4,1,0.0,28.703831,[341 148] ; [61 75],[314.5248 174.4752] ; [87.4752 48.5248],1
v1,1,3e-05,17.410909,[296 179] ; [56 77],[275. 200.] ; [77. 56.],1
p3,1,0.00053,12.007769,[285 204] ; [57 80],[267.15335463 221.84664537] ; [74.84664537 62.15335463],1
v3,1,0.001045,10.74676,[212 259] ; [37 91],[195.79131886 275.20868114] ; [53.20868114 74.79131886],0
p11,1,0.002736,8.975877,[419  72] ; [102  35],[407.34235669  83.65764331] ; [113.65764331  23.34235669],0
a2,1,0.003879,8.339465,[147 344] ; [ 24 113],[133.69585987 357.30414013] ; [37.30414013 99.69585987],0
s7,1,0.004107,8.235779,[257 209] ; [56 80],[242.28903654 223.71096346] ; [70.71096346 65.28903654],0
a8,1,0.004797,7.954407,[ 74 372] ; [  8 115],[ 64.2741652 381.7258348] ; [ 17.7258348 105.2741652],0
p6,1,0.00498,7.886796,[210 275] ; [40 94],[195.88045234 289.11954766] ; [54.11954766 79.88045234],0
p7,1,0.009504,6.725557,[335 143] ; [78 56],[322.57189542 155.42810458] ; [90.42810458 43.57189542],0
p5,1,0.015103,5.904445,[ 71 416] ; [  9 126],[ 62.63665595 424.36334405] ; [ 17.36334405 117.63665595],0
a3,1,0.018649,5.534118,[386 103] ; [95 42],[375.73322684 113.26677316] ; [105.26677316  31.73322684],0
u1,1,0.020174,5.396779,[113 378] ; [ 19 118],[103.20382166 387.79617834] ; [ 28.79617834 108.20382166],0
b1,1,0.023693,5.116996,[180 311] ; [ 36 101],[168.87898089 322.12101911] ; [47.12101911 89.87898089],0
a4,1,0.02809,4.822555,[263 227] ; [59 78],[251.64274322 238.35725678] ; [70.35725678 66.64274322],0
s8,1,0.028934,4.771561,[251 237] ; [56 81],[239.7056 248.2944] ; [67.2944 69.7056],0
a7,1,0.034018,4.493814,[357 133] ; [112  25],[366.523126 123.476874] ; [102.476874  34.523126],0
d3,1,0.052035,3.774646,[365 125] ; [113  24],[373.55661882 116.44338118] ; [104.44338118  32.55661882],0
p10,1,0.053632,3.724115,[453  36] ; [118  17],[447.46634615  41.53365385] ; [123.53365385  11.46634615],0
s6,1,0.059163,3.560692,[349 129] ; [88 48],[340.20521173 137.79478827] ; [96.79478827 39.20521173],0
n1,1,0.068751,3.312595,[45 53] ; [12 29],[40.18705036 57.81294964] ; [16.81294964 24.18705036],0
p8,1,0.069607,3.292252,[275 208] ; [65 70],[265.72815534 217.27184466] ; [74.27184466 60.72815534],0
s2,1,0.070432,3.272917,[270 217] ; [64 73],[260.66987179 226.33012821] ; [73.33012821 63.66987179],0
p2,1,0.074588,3.179056,[432  55] ; [112  23],[425.92926045  61.07073955] ; [118.07073955  16.92926045],0
p12,1,0.096005,2.770678,[ 47 441] ; [  7 130],[ 42.1632 445.8368] ; [ 11.8368 125.1632],0
u4,1,0.106252,2.609103,[ 16 474] ; [  1 136],[ 13.28548644 476.71451356] ; [  3.71451356 133.28548644],0
n2,1,0.108529,2.575507,[80 19] ; [28 13],[76.37142857 22.62857143] ; [31.62857143  9.37142857],0
b4,1,0.110002,2.554197,[278 213] ; [88 49],[286.15605096 204.84394904] ; [79.84394904 57.15605096],0
d4,1,0.113035,2.51127,[436  55] ; [128   9],[440.96178344  50.03821656] ; [123.03821656  13.96178344],0
a5,1,0.113299,2.507593,[396  95] ; [102  35],[389.35987261 101.64012739] ; [108.64012739  28.35987261],0
s1,1,0.13244,2.263673,[ 10 473] ; [  6 131],[ 12.46451613 470.53548387] ; [  3.53548387 133.46451613],0
s3,1,0.170736,1.876468,[286 200] ; [70 64],[279.05806452 206.94193548] ; [76.94193548 57.05806452],0
u3,1,0.203793,1.614981,[57 48] ; [27 14],[60.4109589 44.5890411] ; [23.5890411 17.4109589],0
d2,1,0.213722,1.546033,[269 221] ; [67 70],[262.58373206 227.41626794] ; [73.41626794 63.58373206],0
r1,1,0.239614,1.382865,[402  86] ; [106  30],[397.28205128  90.71794872] ; [110.71794872  25.28205128],0
v4,1,0.247873,1.335254,[471  18] ; [127   8],[468.625  20.375] ; [129.375   5.625],0
b3,1,0.309378,1.033331,[125 182] ; [25 48],[121.18421053 185.81578947] ; [28.81578947 44.18421053],0
b2,1,0.309378,1.033331,[125 182] ; [25 48],[121.18421053 185.81578947] ; [28.81578947 44.18421053],0
s5,1,0.343943,0.895678,[178 292] ; [43 86],[173.40567613 296.59432387] ; [47.59432387 81.40567613],0
s4,1,0.357682,0.846015,[ 79 404] ; [ 27 110],[ 82.57741935 400.42258065] ; [ 23.42258065 113.57741935],0
a1,1,0.384101,0.757534,[ 27 464] ; [  5 132],[ 25.01910828 465.98089172] ; [  6.98089172 130.01910828],0
r4,1,0.444243,0.585299,[451  40] ; [123  14],[448.78025478  42.21974522] ; [125.21974522  11.78025478],0
a6,1,0.463656,0.537055,[345 145] ; [92 45],[341.51515152 148.48484848] ; [95.48484848 41.51515152],0
r3,1,0.525829,0.402445,[468  20] ; [133   4],[469.2608  18.7392] ; [131.7392   5.2608],0
b5,1,0.582836,0.301672,[303 188] ; [81 56],[300.22929936 190.77070064] ; [83.77070064 53.22929936],0
p1,1,0.734806,0.114744,[ 41 449] ; [ 10 124],[ 40.04807692 449.95192308] ; [ 10.95192308 123.04807692],0
n3,1,0.748385,0.102893,[74 24] ; [32  9],[74.73381295 23.26618705] ; [31.26618705  9.73381295],0
u2,1,0.750563,0.101059,[61 44] ; [25 16],[61.84931507 43.15068493] ; [24.15068493 16.84931507],0
r2,1,0.7598,0.093479,[464  21] ; [129   5],[464.62843296  20.37156704] ; [128.37156704   5.62843296],0
d1,1,0.802133,0.062794,[353 138] ; [97 40],[351.83121019 139.16878981] ; [98.16878981 38.83121019],0
v2,1,0.831774,0.045125,[286 185] ; [77 52],[284.955 186.045] ; [78.045 50.955],0
