Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1.9e-05,18.295432,[12 19] ; [49 10],[21.01111111  9.98888889] ; [39.98888889 19.01111111],1
r3,1,0.000105,15.048462,[15 16] ; [51  8],[22.73333333  8.26666667] ; [43.26666667 15.73333333],1
v4,1,0.000348,12.790977,[18 12] ; [54  5],[24.26966292  5.73033708] ; [47.73033708 11.26966292],1
r4,1,0.000695,11.502235,[12 19] ; [45 15],[19.41758242 11.58241758] ; [37.58241758 22.41758242],1
p3,1,0.00288,8.881903,[ 4 27] ; [26 33],[10.33333333 20.66666667] ; [19.66666667 39.33333333],0
a1,1,0.008421,6.941652,[ 5 26] ; [ 1 59],[ 2.04395604 28.95604396] ; [ 3.95604396 56.04395604],0
p9,1,0.014131,6.021687,[12 18] ; [39 19],[17.38636364 12.61363636] ; [33.61363636 24.38636364],0
p4,1,0.017264,5.669363,[ 7 24] ; [29 31],[12.26373626 18.73626374] ; [23.73626374 36.26373626],0
p11,1,0.020987,5.327903,[14 17] ; [42 18],[19.07692308 11.92307692] ; [36.92307692 23.07692308],0
p10,1,0.023551,5.127389,[11 19] ; [36 22],[16.02272727 13.97727273] ; [30.97727273 27.02272727],0
s1,1,0.027395,4.865725,[ 4 27] ; [ 1 58],[ 1.72222222 29.27777778] ; [ 3.27777778 55.72222222],0
n4,1,0.043402,4.079686,[15 16] ; [42 18],[19.41758242 11.58241758] ; [37.58241758 22.41758242],0
s8,1,0.062311,3.474768,[ 1 30] ; [10 50],[ 3.74725275 27.25274725] ; [ 7.25274725 52.74725275],0
p8,1,0.070819,3.263937,[ 8 22] ; [27 31],[11.93181818 18.06818182] ; [23.06818182 34.93181818],0
b5,1,0.072991,3.21445,[13 18] ; [37 23],[17.03296703 13.96703297] ; [32.96703297 27.03296703],0
p7,1,0.07331,3.207304,[12 19] ; [34 24],[16.02247191 14.97752809] ; [29.97752809 28.02247191],0
a7,1,0.116166,2.468269,[13 18] ; [35 24],[16.53333333 14.46666667] ; [31.46666667 27.53333333],0
n2,1,0.138154,2.198403,[11  8] ; [13  3],[13.02857143  5.97142857] ; [10.97142857  5.02857143],0
n3,1,0.181904,1.782,[12  6] ; [13  2],[13.63636364  4.36363636] ; [11.36363636  3.63636364],0
b1,1,0.232259,1.426971,[17 14] ; [25 35],[14.30769231 16.69230769] ; [27.69230769 32.30769231],0
p6,1,0.236839,1.399311,[ 6 25] ; [18 40],[ 8.35955056 22.64044944] ; [15.64044944 42.35955056],0
b2,1,0.273211,1.200555,[7 8] ; [12 27],[5.27777778 9.72222222] ; [13.72222222 25.27777778],0
b3,1,0.273211,1.200555,[7 8] ; [12 27],[5.27777778 9.72222222] ; [13.72222222 25.27777778],0
r2,1,0.299584,1.076046,[23  8] ; [50 10],[24.86813187  6.13186813] ; [48.13186813 11.86813187],0
a8,1,0.312262,1.021083,[ 1 29] ; [ 5 49],[ 2.14285714 27.85714286] ; [ 3.85714286 50.14285714],0
p1,1,0.336781,0.922648,[ 6 25] ; [ 7 52],[ 4.47777778 26.52222222] ; [ 8.52222222 50.47777778],0
s5,1,0.352127,0.865776,[ 1 30] ; [ 5 55],[ 2.04395604 28.95604396] ; [ 3.95604396 56.04395604],0
a4,1,0.359851,0.838414,[10 21] ; [14 46],[ 8.17582418 22.82417582] ; [15.82417582 44.17582418],0
s2,1,0.366525,0.815412,[ 3 28] ; [10 50],[ 4.42857143 26.57142857] ; [ 8.57142857 51.42857143],0
r1,1,0.381867,0.764682,[12 19] ; [29 31],[13.96703297 17.03296703] ; [27.03296703 32.96703297],0
u2,1,0.39332,0.728653,[ 7 10] ; [ 9 22],[ 5.66666667 11.33333333] ; [10.33333333 20.66666667],0
s7,1,0.393513,0.728061,[ 3 25] ; [10 46],[ 4.33333333 23.66666667] ; [ 8.66666667 47.33333333],0
s3,1,0.424921,0.636666,[ 7 24] ; [18 41],[ 8.61111111 22.38888889] ; [16.38888889 42.61111111],0
a6,1,0.45993,0.546066,[14 17] ; [32 28],[15.67032967 15.32967033] ; [30.32967033 29.67032967],0
v2,1,0.482776,0.492587,[ 8 20] ; [21 37],[ 9.44186047 18.55813953] ; [19.55813953 38.44186047],0
d2,1,0.553275,0.351482,[ 9 22] ; [14 46],[ 7.83516484 23.16483516] ; [15.16483516 44.83516484],0
d3,1,0.568909,0.324512,[ 6 24] ; [15 44],[ 7.07865169 22.92134831] ; [13.92134831 45.07865169],0
s4,1,0.571032,0.320958,[ 2 29] ; [ 6 54],[ 2.72527473 28.27472527] ; [ 5.27472527 54.72527473],0
n5,1,0.594677,0.2831,[20 11] ; [42 18],[21.12087912  9.87912088] ; [40.87912088 19.12087912],0
u3,1,0.654415,0.20038,[ 6 11] ; [ 9 22],[ 5.3125 11.6875] ; [ 9.6875 21.3125],0
b4,1,0.667267,0.184816,[13 18] ; [28 32],[13.96703297 17.03296703] ; [27.03296703 32.96703297],0
a5,1,0.667267,0.184816,[13 18] ; [28 32],[13.96703297 17.03296703] ; [27.03296703 32.96703297],0
d1,1,0.69559,0.153101,[ 1 30] ; [ 3 57],[ 1.36263736 29.63736264] ; [ 2.63736264 57.36263736],0
a2,1,0.74953,0.101927,[ 2 29] ; [ 5 55],[ 2.38461538 28.61538462] ; [ 4.61538462 55.38461538],0
v3,1,0.761347,0.092241,[ 8 22] ; [14 45],[ 7.41573034 22.58426966] ; [14.58426966 44.41573034],0
d5,1,0.77064,0.084994,[12 19] ; [21 38],[11.36666667 19.63333333] ; [21.63333333 37.36666667],0
a3,1,0.881381,0.022266,[14 16] ; [29 31],[14.33333333 15.66666667] ; [28.66666667 31.33333333],0
v1,1,0.911435,0.012372,[11 20] ; [22 38],[11.24175824 19.75824176] ; [21.75824176 38.24175824],0
n1,1,0.967531,0.001657,[ 8 10] ; [7 9],[ 7.94117647 10.05882353] ; [7.05882353 8.94117647],0
p5,1,0.988862,0.000195,[ 1 29] ; [ 2 57],[ 1.01123596 28.98876404] ; [ 1.98876404 57.01123596],0
