Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.5e-05,17.781405,[27 62] ; [24  9],[37.20491803 51.79508197] ; [13.79508197 19.20491803],1
p4,1,5.1e-05,16.422077,[27 62] ; [24 10],[36.90243902 52.09756098] ; [14.09756098 19.90243902],1
v4,1,0.00225,9.333841,[64 25] ; [33  1],[70.18699187 18.81300813] ; [26.81300813  7.18699187],0
p8,1,0.002403,9.213055,[26 63] ; [20 14],[33.28455285 55.71544715] ; [12.71544715 21.28455285],0
r4,1,0.003997,8.285213,[37 52] ; [24 10],[44.13821138 44.86178862] ; [16.86178862 17.13821138],0
p2,1,0.012913,6.181014,[49 40] ; [27  7],[54.99186992 34.00813008] ; [21.00813008 12.99186992],0
p11,1,0.022809,5.183001,[51 38] ; [27  7],[56.43902439 32.56097561] ; [21.56097561 12.43902439],0
p3,1,0.023733,5.114019,[23 66] ; [16 18],[28.2195122 60.7804878] ; [10.7804878 23.2195122],0
s8,1,0.032035,4.596611,[ 8 81] ; [ 8 26],[11.57723577 77.42276423] ; [ 4.42276423 29.57723577],0
s5,1,0.032178,4.589009,[10 78] ; [ 9 24],[13.81818182 74.18181818] ; [ 5.18181818 27.81818182],0
s7,1,0.032559,4.568841,[14 69] ; [11 20],[18.20175439 64.79824561] ; [ 6.79824561 24.20175439],0
r3,1,0.040872,4.181311,[62 26] ; [30  4],[66.36065574 21.63934426] ; [25.63934426  8.36065574],0
u2,1,0.046405,3.966825,[13 26] ; [10  6],[16.30909091 22.69090909] ; [6.69090909 9.30909091],0
r2,1,0.062069,3.481229,[59 28] ; [28  5],[63.075 23.925] ; [23.925  9.075],0
s2,1,0.08683,2.932179,[14 75] ; [10 24],[17.36585366 71.63414634] ; [ 6.63414634 27.36585366],0
v2,1,0.099631,2.711433,[26 62] ; [15 18],[29.81818182 58.18181818] ; [11.18181818 21.81818182],0
a5,1,0.119417,2.424945,[48 41] ; [13 21],[44.13821138 44.86178862] ; [16.86178862 17.13821138],0
p10,1,0.124832,2.355628,[50 37] ; [24  9],[53.65 33.35] ; [20.35 12.65],0
p9,1,0.136495,2.21704,[55 29] ; [27  7],[58.37288136 25.62711864] ; [23.62711864 10.37288136],0
n3,1,0.147653,2.096327,[20 17] ; [10  3],[22.2 14.8] ; [7.8 5.2],0
a2,1,0.149376,2.07861,[10 79] ; [ 1 33],[ 7.95934959 81.04065041] ; [ 3.04065041 30.95934959],0
d3,1,0.16833,1.897753,[43 46] ; [20 12],[46.33884298 42.66115702] ; [16.66115702 15.33884298],0
b4,1,0.18176,1.783171,[43 46] ; [21 13],[46.30894309 42.69105691] ; [17.69105691 16.30894309],0
s6,1,0.188489,1.729387,[29 60] ; [15 18],[32.09836066 56.90163934] ; [11.90163934 21.09836066],0
n1,1,0.203463,1.617341,[10 27] ; [6 7],[11.84 25.16] ; [4.16 8.84],0
u3,1,0.247006,1.340156,[12 28] ; [7 8],[13.81818182 26.18181818] ; [5.18181818 9.81818182],0
b5,1,0.294653,1.09824,[51 38] ; [23 11],[53.54471545 35.45528455] ; [20.45528455 13.54471545],0
d5,1,0.311237,1.02542,[56 33] ; [24  9],[58.36065574 30.63934426] ; [21.63934426 11.36065574],0
d2,1,0.320333,0.987588,[34 53] ; [10 24],[31.63636364 55.36363636] ; [12.36363636 21.63636364],0
d4,1,0.425165,0.635995,[56 33] ; [24 10],[57.88617886 31.11382114] ; [22.11382114 11.88617886],0
n6,1,0.447031,0.578169,[64 24] ; [27  7],[65.63934426 22.36065574] ; [25.36065574  8.63934426],0
a7,1,0.458239,0.550194,[50 39] ; [21 12],[51.79508197 37.20491803] ; [19.20491803 13.79508197],0
p12,1,0.481519,0.495421,[ 1 87] ; [ 1 33],[ 1.44262295 86.55737705] ; [ 0.55737705 33.44262295],0
a8,1,0.485973,0.48543,[ 5 79] ; [ 3 28],[ 5.84347826 78.15652174] ; [ 2.15652174 28.84347826],0
