Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,47.922754,[109   8] ; [ 9 16],[97.22535211 19.77464789] ; [20.77464789  4.22535211],1
p11,1,0.000229,13.575574,[103  14] ; [15 11],[96.54545455 20.45454545] ; [21.45454545  4.54545455],1
n5,1,0.000297,13.086867,[91 26] ; [11 15],[83.45454545 33.54545455] ; [18.54545455  7.45454545],1
v4,1,0.001656,9.896729,[115   2] ; [22  4],[112.09090909   4.90909091] ; [24.90909091  1.09090909],0
p4,1,0.006292,7.464832,[78 38] ; [10 16],[71.88732394 44.11267606] ; [16.11267606  9.88732394],0
p3,1,0.01059,6.532852,[72 44] ; [ 9 17],[66.16901408 49.83098592] ; [14.83098592 11.16901408],0
d5,1,0.039551,4.237037,[94 23] ; [16 10],[90. 27.] ; [20.  6.],0
b5,1,0.044734,4.028623,[65 52] ; [20  6],[69.54545455 47.45454545] ; [15.45454545 10.54545455],0
d4,1,0.051824,3.781436,[93 24] ; [16 10],[89.18181818 27.81818182] ; [19.81818182  6.18181818],0
r1,1,0.075871,3.151197,[94 23] ; [16  9],[90.63380282 26.36619718] ; [19.36619718  5.63380282],0
p2,1,0.103964,2.643652,[104  13] ; [20  6],[101.45454545  15.54545455] ; [22.54545455  3.45454545],0
n4,1,0.10518,2.625191,[90 27] ; [16 10],[86.72727273 30.27272727] ; [19.27272727  6.72727273],0
s5,1,0.116913,2.458192,[18 99] ; [ 1 25],[ 15.54545455 101.45454545] ; [ 3.45454545 22.54545455],0
u3,1,0.124283,2.3625,[21 21] ; [3 9],[18.66666667 23.33333333] ; [5.33333333 6.66666667],0
a5,1,0.132476,2.263243,[85 32] ; [15 11],[81.81818182 35.18181818] ; [18.18181818  7.81818182],0
v1,1,0.132555,2.262329,[63 52] ; [10 16],[59.53900709 55.46099291] ; [13.46099291 12.53900709],0
v3,1,0.166609,1.913196,[49 65] ; [ 7 18],[45.92805755 68.07194245] ; [10.07194245 14.92805755],0
n6,1,0.167543,1.904794,[98 19] ; [18  7],[95.57746479 21.42253521] ; [20.42253521  4.57746479],0
s1,1,0.184322,1.762428,[  3 113] ; [ 2 23],[  4.11347518 111.88652482] ; [ 0.88652482 24.11347518],0
b3,1,0.200772,1.636753,[28 43] ; [ 3 11],[25.89411765 45.10588235] ; [5.10588235 8.89411765],0
b2,1,0.200772,1.636753,[28 43] ; [ 3 11],[25.89411765 45.10588235] ; [5.10588235 8.89411765],0
a4,1,0.207532,1.588558,[47 70] ; [ 7 19],[44.18181818 72.81818182] ; [ 9.81818182 16.18181818],0
r4,1,0.283263,1.151369,[100  17] ; [20  6],[98.18181818 18.81818182] ; [21.81818182  4.18181818],0
a8,1,0.286326,1.136816,[12 93] ; [ 1 23],[10.58139535 94.41860465] ; [ 2.41860465 21.58139535],0
a3,1,0.303037,1.060782,[75 41] ; [14 12],[72.70422535 43.29577465] ; [16.29577465  9.70422535],0
