Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.561404,[ 9 48] ; [19  8],[19. 38.] ; [ 9. 18.],1
p10,1,0.010962,6.471391,[43 15] ; [28  1],[47.33333333 10.66666667] ; [23.66666667  5.33333333],0
a5,1,0.026021,4.954607,[40 19] ; [26  3],[44.25 14.75] ; [21.75  7.25],0
b2,1,0.035084,4.441091,[13 25] ; [11  6],[16.58181818 21.41818182] ; [7.41818182 9.58181818],0
b3,1,0.035084,4.441091,[13 25] ; [11  6],[16.58181818 21.41818182] ; [7.41818182 9.58181818],0
r1,1,0.035817,4.405789,[47 12] ; [28  1],[50.28409091  8.71590909] ; [24.71590909  4.28409091],0
v3,1,0.036562,4.37069,[15 43] ; [14 15],[19.33333333 38.66666667] ; [ 9.66666667 19.33333333],0
p7,1,0.055271,3.6739,[37 22] ; [24  5],[40.89772727 18.10227273] ; [20.10227273  8.89772727],0
p6,1,0.055628,3.663158,[16 42] ; [14 15],[20. 38.] ; [10. 19.],0
n4,1,0.064661,3.4136,[40 19] ; [25  4],[43.57954545 15.42045455] ; [21.42045455  7.57954545],0
a2,1,0.065245,3.39878,[ 7 52] ; [ 8 21],[10.05681818 48.94318182] ; [ 4.94318182 24.05681818],0
r4,1,0.071851,3.24021,[49 10] ; [28  1],[51.625  7.375] ; [25.375  3.625],0
p9,1,0.072238,3.231423,[43 16] ; [26  3],[46.26136364 12.73863636] ; [22.73863636  6.26136364],0
p8,1,0.110406,2.548402,[28 31] ; [19 10],[31.51136364 27.48863636] ; [15.48863636 13.51136364],0
a7,1,0.165954,1.919118,[31 27] ; [20  9],[34. 24.] ; [17. 12.],0
d5,1,0.181435,1.78583,[46 13] ; [26  3],[48.27272727 10.72727273] ; [23.72727273  5.27272727],0
u1,1,0.2148,1.538777,[ 8 51] ; [ 7 22],[10.05681818 48.94318182] ; [ 4.94318182 24.05681818],0
s6,1,0.234593,1.412792,[36 22] ; [21  7],[38.44186047 19.55813953] ; [18.55813953  9.44186047],0
v1,1,0.245053,1.351286,[22 35] ; [15 14],[24.52325581 32.47674419] ; [12.47674419 16.52325581],0
n1,1,0.256299,1.288636,[7 5] ; [3 6],[5.71428571 6.28571429] ; [4.28571429 4.71428571],0
n5,1,0.260271,1.267315,[40 19] ; [23  6],[42.23863636 16.76136364] ; [20.76136364  8.23863636],0
r3,1,0.264921,1.242857,[52  6] ; [28  1],[53.33333333  4.66666667] ; [26.66666667  2.33333333],0
a6,1,0.389998,0.738949,[33 26] ; [19 10],[34.86363636 24.13636364] ; [17.13636364 11.86363636],0
d1,1,0.389998,0.738949,[33 26] ; [19 10],[34.86363636 24.13636364] ; [17.13636364 11.86363636],0
u2,1,0.395416,0.722222,[ 8 10] ; [5 3],[9. 9.] ; [4. 4.],0
a4,1,0.397767,0.715068,[28 31] ; [11 18],[26.14772727 32.85227273] ; [12.85227273 16.14772727],0
p12,1,0.405697,0.691376,[ 5 54] ; [ 4 24],[ 6.10344828 52.89655172] ; [ 2.89655172 25.10344828],0
b1,1,0.406485,0.689057,[23 36] ; [14 15],[24.80681818 34.19318182] ; [12.19318182 16.80681818],0
p1,1,0.411809,0.673573,[10 49] ; [ 3 26],[ 8.71590909 50.28409091] ; [ 4.28409091 24.71590909],0
