Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002608,9.062937,[3 1] ; [ 6 38],[0.75 3.25] ; [ 8.25 35.75],0
s8,1,0.005334,7.762679,[3 1] ; [ 7 37],[0.83333333 3.16666667] ; [ 9.16666667 34.83333333],0
s1,1,0.017854,5.61039,[2 2] ; [ 4 40],[0.5 3.5] ; [ 5.5 38.5],0
s6,1,0.048644,3.887603,[3 1] ; [12 32],[1.25 2.75] ; [13.75 30.25],0
p8,1,0.061707,3.490909,[2 2] ; [ 6 38],[0.66666667 3.33333333] ; [ 7.33333333 36.66666667],0
p2,1,0.064838,3.409091,[3 1] ; [13 31],[1.33333333 2.66666667] ; [14.66666667 29.33333333],0
p4,1,0.094429,2.797203,[2 2] ; [ 7 37],[0.75 3.25] ; [ 8.25 35.75],0
s4,1,0.094429,2.797203,[2 2] ; [ 7 37],[0.75 3.25] ; [ 8.25 35.75],0
d1,1,0.105645,2.618182,[3 1] ; [15 29],[1.5 2.5] ; [16.5 27.5],0
u1,1,0.105645,2.618182,[1 3] ; [ 2 42],[0.25 3.75] ; [ 2.75 41.25],0
p10,1,0.114406,2.492281,[3 1] ; [15 28],[1.53191489 2.46808511] ; [16.46808511 26.53191489],0
p1,1,0.133552,2.250718,[2 2] ; [ 8 36],[0.83333333 3.16666667] ; [ 9.16666667 34.83333333],0
p11,1,0.178277,1.811928,[2 2] ; [ 9 35],[0.91666667 3.08333333] ; [10.08333333 33.91666667],0
p5,1,0.207787,1.586777,[1 3] ; [ 3 41],[0.33333333 3.66666667] ; [ 3.66666667 40.33333333],0
d2,1,0.237463,1.395592,[3 1] ; [19 24],[1.87234043 2.12765957] ; [20.12765957 22.87234043],0
a6,1,0.382431,0.762873,[3 1] ; [23 21],[2.16666667 1.83333333] ; [23.83333333 20.16666667],0
a5,1,0.382431,0.762873,[3 1] ; [23 21],[2.16666667 1.83333333] ; [23.83333333 20.16666667],0
d4,1,0.429795,0.623377,[3 1] ; [24 20],[2.25 1.75] ; [24.75 19.25],0
d5,1,0.480071,0.498701,[3 1] ; [25 19],[2.33333333 1.66666667] ; [25.66666667 18.33333333],0
b4,1,0.480071,0.498701,[3 1] ; [25 19],[2.33333333 1.66666667] ; [25.66666667 18.33333333],0
a3,1,0.488256,0.480368,[3 1] ; [24 18],[2.34782609 1.65217391] ; [24.65217391 17.34782609],0
a2,1,0.537546,0.380108,[1 3] ; [ 6 38],[0.58333333 3.41666667] ; [ 6.41666667 37.58333333],0
a4,1,0.544506,0.367252,[1 3] ; [17 25],[1.56521739 2.43478261] ; [16.43478261 25.56521739],0
v2,1,0.568642,0.324961,[1 3] ; [ 6 36],[0.60869565 3.39130435] ; [ 6.39130435 35.60869565],0
b2,1,0.621498,0.243768,[1 2] ; [14 15],[1.40625 1.59375] ; [13.59375 15.40625],0
b3,1,0.621498,0.243768,[1 2] ; [14 15],[1.40625 1.59375] ; [13.59375 15.40625],0
b1,1,0.724018,0.124675,[2 2] ; [26 18],[2.33333333 1.66666667] ; [25.66666667 18.33333333],0
p3,1,0.738005,0.111888,[1 3] ; [ 8 36],[0.75 3.25] ; [ 8.25 35.75],0
r1,1,0.792411,0.069264,[2 2] ; [19 25],[1.75 2.25] ; [19.25 24.75],0
d3,1,0.861327,0.030515,[2 2] ; [20 24],[1.83333333 2.16666667] ; [20.16666667 23.83333333],0
v1,1,0.921987,0.00959,[1 3] ; [12 32],[1.08333333 2.91666667] ; [11.91666667 32.08333333],0
v3,1,0.937187,0.00621,[1 3] ; [10 33],[0.93617021 3.06382979] ; [10.06382979 32.93617021],0
n1,1,0.959668,0.002557,[1 1] ; [13 14],[0.96551724 1.03448276] ; [13.03448276 13.96551724],0
