Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,53.509315,[190  75] ; [31 72],[159.14402174 105.85597826] ; [61.85597826 41.14402174],1
p6,1,0.0,25.268114,[149 116] ; [26 72],[127.75482094 137.24517906] ; [47.24517906 50.75482094],1
d3,1,5.6e-05,16.236982,[208  58] ; [59 44],[192.47154472  73.52845528] ; [74.52845528 28.47154472],1
p5,1,9.9e-05,15.165035,[ 58 207] ; [ 5 98],[ 45.36684783 219.63315217] ; [17.63315217 85.36684783],1
p7,1,0.000267,13.288841,[211  52] ; [59 37],[197.7994429  65.2005571] ; [72.2005571 23.7994429],1
n5,1,0.000757,11.344492,[228  36] ; [72 29],[216.98630137  47.01369863] ; [83.01369863 17.98630137],1
p8,1,0.000816,11.204696,[178  87] ; [47 51],[164.25619835 100.74380165] ; [60.74380165 37.25619835],1
d1,1,0.002532,9.117103,[177  89] ; [51 52],[164.35772358 101.64227642] ; [63.64227642 39.35772358],0
d2,1,0.006464,7.416071,[153 113] ; [43 60],[141.2899729 124.7100271] ; [54.7100271 48.2899729],0
a2,1,0.013979,6.040744,[ 83 183] ; [19 84],[ 73.52845528 192.47154472] ; [28.47154472 74.52845528],0
p12,1,0.020272,5.388292,[ 32 234] ; [ 4 97],[ 26.09264305 239.90735695] ; [ 9.90735695 91.09264305],0
n6,1,0.02402,5.093157,[241  23] ; [83 17],[234.98901099  29.01098901] ; [89.01098901 10.98901099],0
n4,1,0.047583,3.924645,[230  35] ; [80 22],[223.84196185  41.15803815] ; [86.15803815 15.84196185],0
a4,1,0.054831,3.687211,[135 130] ; [41 62],[126.73913043 138.26086957] ; [49.26086957 53.73913043],0
a5,1,0.060336,3.528116,[215  51] ; [74 29],[208.33062331  57.66937669] ; [80.66937669 22.33062331],0
s5,1,0.110573,2.546017,[124 130] ; [39 60],[117.28611898 136.71388102] ; [45.71388102 53.28611898],0
u2,1,0.121597,2.396627,[33 13] ; [11 10],[30.20895522 15.79104478] ; [13.79104478  7.20895522],0
a6,1,0.127461,2.323156,[179  87] ; [60 42],[172.75543478  93.24456522] ; [66.24456522 35.75543478],0
p1,1,0.139643,2.181887,[ 32 233] ; [ 7 96],[ 28.08423913 236.91576087] ; [10.91576087 92.08423913],0
v3,1,0.148008,2.092657,[124 134] ; [40 61],[117.86072423 140.13927577] ; [46.13927577 54.86072423],0
u1,1,0.148517,2.087413,[ 68 198] ; [19 84],[ 62.71544715 203.28455285] ; [24.28455285 78.71544715],0
n1,1,0.14916,2.080823,[26 24] ; [ 9 17],[23.02631579 26.97368421] ; [11.97368421 14.02631579],0
d4,1,0.161971,1.955727,[229  36] ; [83 20],[224.67391304  40.32608696] ; [87.32608696 15.67391304],0
b1,1,0.164839,1.929267,[106 160] ; [33 70],[100.20054201 165.79945799] ; [38.79945799 64.20054201],0
d5,1,0.210571,1.567497,[223  42] ; [81 22],[218.91304348  46.08695652] ; [85.08695652 17.91304348],0
v1,1,0.218206,1.51613,[159 103] ; [53 46],[153.86149584 108.13850416] ; [58.13850416 40.86149584],0
v4,1,0.254741,1.297114,[259   5] ; [97  4],[257.49041096   6.50958904] ; [98.50958904  2.49041096],0
r4,1,0.256762,1.28613,[245  21] ; [91 12],[242.21138211  23.78861789] ; [93.78861789  9.21138211],0
s6,1,0.285609,1.140205,[221  39] ; [82 20],[217.62430939  42.37569061] ; [85.37569061 16.62430939],0
s4,1,0.287894,1.129443,[ 54 211] ; [26 76],[ 57.76566757 207.23433243] ; [22.23433243 79.76566757],0
