Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.026055,4.952381,[10 18] ; [16  8],[14. 14.] ; [12. 12.],0
b3,1,0.069385,3.297514,[ 4 14] ; [7 6],[ 6.38709677 11.61290323] ; [4.61290323 8.38709677],0
b2,1,0.069385,3.297514,[ 4 14] ; [7 6],[ 6.38709677 11.61290323] ; [4.61290323 8.38709677],0
a5,1,0.122654,2.383101,[10 18] ; [ 4 20],[ 7.53846154 20.46153846] ; [ 6.46153846 17.53846154],0
u3,1,0.164269,1.934484,[ 1 13] ; [ 4 11],[ 2.4137931 11.5862069] ; [ 2.5862069 12.4137931],0
p6,1,0.164309,1.934118,[ 2 25] ; [ 5 19],[ 3.70588235 23.29411765] ; [ 3.29411765 20.70588235],0
a4,1,0.191977,1.702381,[ 6 22] ; [ 2 22],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
s8,1,0.191977,1.702381,[ 6 22] ; [ 2 22],[ 4.30769231 23.69230769] ; [ 3.69230769 20.30769231],0
a7,1,0.201513,1.631373,[ 7 21] ; [10 14],[ 9.15384615 18.84615385] ; [ 7.84615385 16.15384615],0
b1,1,0.283235,1.151502,[17 11] ; [11 13],[15.07692308 12.92307692] ; [12.92307692 11.07692308],0
v3,1,0.283889,1.148378,[ 2 26] ; [ 4 20],[ 3.23076923 24.76923077] ; [ 2.76923077 21.23076923],0
p4,1,0.359358,0.840136,[ 9 19] ; [ 5 19],[ 7.53846154 20.46153846] ; [ 6.46153846 17.53846154],0
a3,1,0.368365,0.809172,[14 13] ; [ 9 14],[12.42 14.58] ; [10.58 12.42],0
s3,1,0.445504,0.582065,[ 7 21] ; [ 8 15],[ 8.23529412 19.76470588] ; [ 6.76470588 16.23529412],0
r1,1,0.463236,0.538064,[ 7 21] ; [ 4 20],[ 5.92307692 22.07692308] ; [ 5.07692308 18.92307692],0
r3,1,0.467001,0.529064,[14 13] ; [10 14],[12.70588235 14.29411765] ; [11.29411765 12.70588235],0
s1,1,0.503008,0.448585,[ 4 24] ; [ 2 22],[ 3.23076923 24.76923077] ; [ 2.76923077 21.23076923],0
a6,1,0.508459,0.437237,[ 7 21] ; [ 8 16],[ 8.07692308 19.92307692] ; [ 6.92307692 17.07692308],0
s7,1,0.51965,0.414588,[ 5 22] ; [ 6 17],[ 5.94 21.06] ; [ 5.06 17.94],0
s6,1,0.520603,0.412698,[ 6 22] ; [ 7 17],[ 7. 21.] ; [ 6. 18.],0
d2,1,0.52952,0.395312,[ 5 23] ; [ 6 18],[ 5.92307692 22.07692308] ; [ 5.07692308 18.92307692],0
p8,1,0.551764,0.354167,[ 8 19] ; [ 9 15],[ 9. 18.] ; [ 8. 16.],0
b5,1,0.577973,0.309524,[13 15] ; [13 11],[14. 14.] ; [12. 12.],0
v1,1,0.594032,0.284091,[ 7 21] ; [ 7 15],[ 7.84 20.16] ; [ 6.16 15.84],0
u2,1,0.662521,0.190476,[ 3 11] ; [ 4 10],[ 3.5 10.5] ; [ 3.5 10.5],0
p2,1,0.694696,0.154049,[16 12] ; [15  9],[16.69230769 11.30769231] ; [14.30769231  9.69230769],0
n3,1,0.701122,0.147308,[9 7] ; [7 4],[9.48148148 6.51851852] ; [6.51851852 4.48148148],0
p11,1,0.730342,0.118798,[13 15] ; [10 14],[12.38461538 15.61538462] ; [10.61538462 13.38461538],0
d3,1,0.760576,0.092857,[ 6 22] ; [ 6 18],[ 6.46153846 21.53846154] ; [ 5.53846154 18.46153846],0
n4,1,0.764334,0.089877,[14 14] ; [13 11],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
a1,1,0.771558,0.084296,[ 3 25] ; [ 2 22],[ 2.69230769 25.30769231] ; [ 2.30769231 21.69230769],0
p3,1,0.786029,0.073696,[ 5 23] ; [ 5 19],[ 5.38461538 22.61538462] ; [ 4.61538462 19.38461538],0
v2,1,0.804383,0.061345,[ 4 23] ; [ 4 19],[ 4.32 22.68] ; [ 3.68 19.32],0
s5,1,0.837384,0.042124,[ 2 26] ; [ 2 21],[ 2.19607843 25.80392157] ; [ 1.80392157 21.19607843],0
p1,1,0.840754,0.040373,[ 3 25] ; [ 3 21],[ 3.23076923 24.76923077] ; [ 2.76923077 21.23076923],0
d4,1,0.86152,0.030429,[11 17] ; [10 14],[11.30769231 16.69230769] ; [ 9.69230769 14.30769231],0
n6,1,0.868699,0.027328,[14 13] ; [13 11],[14.29411765 12.70588235] ; [12.70588235 11.29411765],0
n5,1,0.893948,0.017772,[18 10] ; [15  9],[17.76923077 10.23076923] ; [15.23076923  8.76923077],0
p10,1,0.894949,0.017436,[13 14] ; [12 12],[13.23529412 13.76470588] ; [11.76470588 12.23529412],0
n1,1,0.952092,0.00361,[ 6 10] ; [4 7],[ 5.92592593 10.07407407] ; [4.07407407 6.92592593],0
n2,1,0.952092,0.00361,[10  6] ; [7 4],[10.07407407  5.92592593] ; [6.92592593 4.07407407],0
s4,1,0.958214,0.002745,[ 6 22] ; [ 5 19],[ 5.92307692 22.07692308] ; [ 5.07692308 18.92307692],0
p7,1,0.964454,0.001986,[12 16] ; [10 13],[12.07843137 15.92156863] ; [ 9.92156863 13.07843137],0
p9,1,0.981875,0.000516,[14 13] ; [12 11],[14.04 12.96] ; [11.96 11.04],0
s2,1,1.0,0.0,[ 7 21] ; [ 6 18],[ 7. 21.] ; [ 6. 18.],0
b4,1,1.0,0.0,[14 14] ; [12 12],[14. 14.] ; [12. 12.],0
