Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,8.8e-05,15.373797,[35  9] ; [15 25],[26.19047619 17.80952381] ; [23.80952381 16.19047619],1
p9,1,0.002348,9.255393,[28 16] ; [11 26],[21.18518519 22.81481481] ; [17.81481481 19.18518519],0
p10,1,0.002782,8.945211,[27 16] ; [12 28],[20.20481928 22.79518072] ; [18.79518072 21.20481928],0
p7,1,0.003463,8.545921,[18 25] ; [ 5 34],[12.06097561 30.93902439] ; [10.93902439 28.06097561],0
p11,1,0.005721,7.635992,[26 18] ; [12 29],[19.67058824 24.32941176] ; [18.32941176 22.67058824],0
p6,1,0.006226,7.483636,[12 32] ; [ 2 38],[ 7.33333333 36.66666667] ; [ 6.66666667 33.33333333],0
d2,1,0.010522,6.544272,[ 9 34] ; [19 21],[14.5060241 28.4939759] ; [13.4939759 26.5060241],0
p4,1,0.013449,6.109091,[20 24] ; [ 8 32],[14.66666667 29.33333333] ; [13.33333333 26.66666667],0
a1,1,0.019536,5.452858,[ 1 43] ; [ 7 34],[ 4.14117647 39.85882353] ; [ 3.85882353 37.14117647],0
p3,1,0.030012,4.708595,[14 30] ; [ 5 36],[ 9.83529412 34.16470588] ; [ 9.16470588 31.83529412],0
n6,1,0.030232,4.696052,[31 12] ; [19 20],[26.2195122 16.7804878] ; [23.7804878 15.2195122],0
a2,1,0.060692,3.518383,[ 2 42] ; [ 7 34],[ 4.65882353 39.34117647] ; [ 4.34117647 36.65882353],0
v3,1,0.067935,3.332231,[ 6 38] ; [12 28],[ 9.42857143 34.57142857] ; [ 8.57142857 31.42857143],0
a6,1,0.069032,3.305893,[15 29] ; [22 19],[19.15294118 24.84705882] ; [17.84705882 23.15294118],0
r3,1,0.075023,3.169563,[24 18] ; [15 25],[19.97560976 22.02439024] ; [19.02439024 20.97560976],0
b3,1,0.084011,2.985538,[ 5 16] ; [13 14],[ 7.875 13.125] ; [10.125 16.875],0
b2,1,0.084011,2.985538,[ 5 16] ; [13 14],[ 7.875 13.125] ; [10.125 16.875],0
p8,1,0.084595,2.974325,[16 28] ; [ 8 33],[12.42352941 31.57647059] ; [11.57647059 29.42352941],0
v1,1,0.094538,2.795353,[17 26] ; [ 9 31],[13.46987952 29.53012048] ; [12.53012048 27.46987952],0
p1,1,0.111443,2.533637,[ 2 42] ; [ 6 35],[ 4.14117647 39.85882353] ; [ 3.85882353 37.14117647],0
a3,1,0.123536,2.371907,[19 25] ; [24 16],[22.52380952 21.47619048] ; [20.47619048 19.52380952],0
s1,1,0.13493,2.234845,[ 1 43] ; [ 4 36],[ 2.61904762 41.38095238] ; [ 2.38095238 37.61904762],0
a5,1,0.157111,2.001816,[19 25] ; [24 17],[22.25882353 21.74117647] ; [20.74117647 20.25882353],0
s6,1,0.175554,1.834865,[13 31] ; [ 7 34],[10.35294118 33.64705882] ; [ 9.64705882 31.35294118],0
s7,1,0.185096,1.756226,[10 31] ; [ 5 34],[ 7.6875 33.3125] ; [ 7.3125 31.6875],0
p5,1,0.192782,1.696231,[ 4 40] ; [ 1 40],[ 2.58823529 41.41176471] ; [ 2.41176471 38.58823529],0
u2,1,0.227603,1.455779,[10 14] ; [ 4 13],[ 8.19512195 15.80487805] ; [ 5.80487805 11.19512195],0
b1,1,0.239297,1.384731,[26 18] ; [19 22],[23.29411765 20.70588235] ; [21.70588235 19.29411765],0
d1,1,0.249367,1.326848,[12 32] ; [16 25],[14.49411765 29.50588235] ; [13.50588235 27.49411765],0
a8,1,0.269131,1.22117,[ 1 40] ; [ 3 35],[ 2.07594937 38.92405063] ; [ 1.92405063 36.07594937],0
n3,1,0.287094,1.133201,[12  9] ; [ 9 13],[10.25581395 10.74418605] ; [10.74418605 11.25581395],0
r1,1,0.312951,1.018182,[13 31] ; [ 8 32],[11. 33.] ; [10. 30.],0
b5,1,0.334091,0.932974,[25 19] ; [19 22],[22.77647059 21.22352941] ; [21.22352941 19.77647059],0
s5,1,0.344063,0.895233,[ 6 38] ; [ 3 38],[ 4.65882353 39.34117647] ; [ 4.34117647 36.65882353],0
s8,1,0.344063,0.895233,[ 6 38] ; [ 3 38],[ 4.65882353 39.34117647] ; [ 4.34117647 36.65882353],0
u1,1,0.348658,0.878334,[ 2 42] ; [ 4 37],[ 3.10588235 40.89411765] ; [ 2.89411765 38.10588235],0
r2,1,0.360687,0.8355,[20 23] ; [21 16],[22.0375 20.9625] ; [18.9625 18.0375],0
n2,1,0.432004,0.617429,[13  8] ; [11 11],[11.72093023  9.27906977] ; [12.27906977  9.72093023],0
n4,1,0.476168,0.507627,[23 21] ; [24 16],[24.61904762 19.38095238] ; [22.38095238 17.61904762],0
