Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000441,12.348749,[33  7] ; [ 5 10],[27.63636364 12.36363636] ; [10.36363636  4.63636364],1
p9,1,0.001956,9.59051,[34  6] ; [6 8],[29.62962963 10.37037037] ; [10.37037037  3.62962963],0
n6,1,0.007873,7.062153,[33  7] ; [7 8],[29.09090909 10.90909091] ; [10.90909091  4.09090909],0
p10,1,0.008381,6.950094,[34  6] ; [7 7],[30.37037037  9.62962963] ; [10.62962963  3.37037037],0
n2,1,0.011864,6.331081,[12  1] ; [5 6],[9.20833333 3.79166667] ; [7.79166667 3.20833333],0
d2,1,0.013107,6.154675,[17 23] ; [12  3],[21.09090909 18.90909091] ; [7.90909091 7.09090909],0
r3,1,0.015514,5.857159,[37  3] ; [10  5],[34.18181818  5.81818182] ; [12.81818182  2.18181818],0
v4,1,0.017517,5.643813,[36  3] ; [10  5],[33.22222222  5.77777778] ; [12.77777778  2.22222222],0
n4,1,0.027542,4.856489,[31  9] ; [7 8],[27.63636364 12.36363636] ; [10.36363636  4.63636364],0
p2,1,0.027542,4.856489,[31  9] ; [7 8],[27.63636364 12.36363636] ; [10.36363636  4.63636364],0
d1,1,0.041638,4.149857,[17 23] ; [11  4],[20.36363636 19.63636364] ; [7.63636364 7.36363636],0
b1,1,0.041638,4.149857,[17 23] ; [11  4],[20.36363636 19.63636364] ; [7.63636364 7.36363636],0
p8,1,0.062631,3.466313,[24 15] ; [ 5 10],[20.94444444 18.05555556] ; [8.05555556 6.94444444],0
a6,1,0.089205,2.888655,[18 22] ; [ 3 12],[15.27272727 24.72727273] ; [5.72727273 9.27272727],0
s7,1,0.091957,2.839773,[29 11] ; [5 6],[26.66666667 13.33333333] ; [7.33333333 3.66666667],0
d3,1,0.120188,2.414875,[20 20] ; [11  4],[22.54545455 17.45454545] ; [8.45454545 6.54545455],0
v1,1,0.120188,2.414875,[20 20] ; [ 4 11],[17.45454545 22.54545455] ; [6.54545455 8.45454545],0
p7,1,0.136213,2.220227,[29 10] ; [8 7],[26.72222222 12.27777778] ; [10.27777778  4.72222222],0
r1,1,0.177283,1.820258,[29 11] ; [8 7],[26.90909091 13.09090909] ; [10.09090909  4.90909091],0
a4,1,0.184625,1.76,[16 24] ; [9 6],[18.18181818 21.81818182] ; [6.81818182 8.18181818],0
s1,1,0.197396,1.661538,[ 3 36] ; [ 3 12],[ 4.33333333 34.66666667] ; [ 1.66666667 13.33333333],0
s6,1,0.222883,1.485714,[33  6] ; [9 4],[31.5  7.5] ; [10.5  2.5],0
v3,1,0.228716,1.448829,[10 29] ; [6 8],[11.77358491 27.22641509] ; [4.22641509 9.77358491],0
s8,1,0.268925,1.222222,[20 20] ; [ 5 10],[18.18181818 21.81818182] ; [6.81818182 8.18181818],0
s3,1,0.300662,1.071255,[29 10] ; [9 6],[27.44444444 11.55555556] ; [10.55555556  4.44444444],0
d4,1,0.363338,0.826322,[27 13] ; [12  3],[28.36363636 11.63636364] ; [10.63636364  4.36363636],0
b5,1,0.371638,0.798181,[11 29] ; [6 9],[12.36363636 27.63636364] ; [ 4.63636364 10.36363636],0
n1,1,0.391741,0.733532,[7 6] ; [4 7],[5.95833333 7.04166667] ; [5.04166667 5.95833333],0
r2,1,0.4183,0.655085,[35  5] ; [11  3],[34.07407407  5.92592593] ; [11.92592593  2.07407407],0
s2,1,0.467166,0.528671,[25 14] ; [8 7],[23.83333333 15.16666667] ; [9.16666667 5.83333333],0
p1,1,0.482289,0.493684,[ 5 35] ; [ 3 12],[ 5.81818182 34.18181818] ; [ 2.18181818 12.81818182],0
v2,1,0.5598,0.34005,[12 26] ; [6 9],[12.90566038 25.09433962] ; [5.09433962 9.90566038],0
d5,1,0.569578,0.323389,[29 11] ; [12  3],[29.81818182 10.18181818] ; [11.18181818  3.81818182],0
r4,1,0.593937,0.284238,[32  8] ; [11  4],[31.27272727  8.72727273] ; [11.72727273  3.27272727],0
p4,1,0.69994,0.148534,[21 19] ; [7 8],[20.36363636 19.63636364] ; [7.63636364 7.36363636],0
n3,1,0.772059,0.083916,[9 4] ; [7 4],[8.66666667 4.33333333] ; [7.33333333 3.66666667],0
a3,1,0.774812,0.081845,[25 15] ; [10  5],[25.45454545 14.54545455] ; [9.54545455 5.45454545],0
a2,1,0.808466,0.058761,[ 2 38] ; [ 1 14],[ 2.18181818 37.81818182] ; [ 0.81818182 14.18181818],0
a1,1,0.808466,0.058761,[ 2 38] ; [ 1 14],[ 2.18181818 37.81818182] ; [ 0.81818182 14.18181818],0
b4,1,0.825693,0.048501,[20 20] ; [7 8],[19.63636364 20.36363636] ; [7.36363636 7.63636364],0
a5,1,0.865041,0.028887,[25 15] ; [9 6],[24.72727273 15.27272727] ; [9.27272727 5.72727273],0
p3,1,0.867055,0.028023,[23 17] ; [9 6],[23.27272727 16.72727273] ; [8.72727273 6.27272727],0
p6,1,0.917272,0.010789,[15 24] ; [6 9],[15.16666667 23.83333333] ; [5.83333333 9.16666667],0
b2,1,0.956333,0.002998,[ 5 19] ; [2 8],[ 4.94117647 19.05882353] ; [2.05882353 7.94117647],0
b3,1,0.956333,0.002998,[ 5 19] ; [2 8],[ 4.94117647 19.05882353] ; [2.05882353 7.94117647],0
s5,1,0.980179,0.000617,[21 16] ; [8 6],[21.03921569 15.96078431] ; [7.96078431 6.03921569],0
u3,1,1.0,0.0,[9 6] ; [3 2],[9. 6.] ; [3. 2.],0
u2,1,1.0,0.0,[9 6] ; [3 2],[9. 6.] ; [3. 2.],0
