Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,39.428571,[ 6 40] ; [36 10],[21. 25.] ; [21. 25.],1
s7,1,0.000103,15.084021,[ 4 36] ; [22 23],[12.23529412 27.76470588] ; [13.76470588 31.23529412],1
s2,1,0.003236,8.669231,[13 33] ; [27 19],[20. 26.] ; [20. 26.],0
p2,1,0.006095,7.522013,[20 26] ; [33 13],[26.5 19.5] ; [26.5 19.5],0
s8,1,0.013286,6.130596,[ 5 40] ; [15 31],[ 9.89010989 35.10989011] ; [10.10989011 35.89010989],0
s5,1,0.014055,6.03128,[ 7 38] ; [16 25],[12.03488372 32.96511628] ; [10.96511628 30.03488372],0
a7,1,0.016255,5.775025,[26 20] ; [36  9],[31.34065934 14.65934066] ; [30.65934066 14.34065934],0
v4,1,0.027773,4.842105,[34 12] ; [42  4],[38.  8.] ; [38.  8.],0
r2,1,0.042927,4.098278,[34 11] ; [42  4],[37.58241758  7.41758242] ; [38.41758242  7.58241758],0
s6,1,0.046689,3.956543,[19 26] ; [29 17],[23.73626374 21.26373626] ; [24.26373626 21.73626374],0
d3,1,0.050801,3.814833,[27 19] ; [35 10],[31.34065934 14.65934066] ; [30.65934066 14.34065934],0
b5,1,0.087453,2.920635,[24 22] ; [32 14],[28. 18.] ; [28. 18.],0
s3,1,0.090969,2.857143,[17 28] ; [25 20],[21. 24.] ; [21. 24.],0
b1,1,0.095293,2.782609,[27 19] ; [19 27],[23. 23.] ; [23. 23.],0
s4,1,0.164751,1.93007,[10 36] ; [16 30],[13. 33.] ; [13. 33.],0
r4,1,0.18207,1.780645,[28 18] ; [34 12],[31. 15.] ; [31. 15.],0
p6,1,0.19654,1.667902,[ 7 38] ; [12 33],[ 9.5 35.5] ; [ 9.5 35.5],0
a6,1,0.203926,1.614035,[24 22] ; [30 16],[27. 19.] ; [27. 19.],0
p7,1,0.203926,1.614035,[16 30] ; [22 24],[19. 27.] ; [19. 27.],0
p1,1,0.226076,1.465378,[ 2 44] ; [ 5 40],[ 3.53846154 42.46153846] ; [ 3.46153846 41.53846154],0
n3,1,0.237867,1.393189,[11  8] ; [13  4],[12.66666667  6.33333333] ; [11.33333333  5.66666667],0
r3,1,0.245631,1.347985,[37  9] ; [41  5],[39.  7.] ; [39.  7.],0
u2,1,0.295971,1.09226,[ 9 11] ; [10  6],[10.55555556  9.44444444] ; [8.44444444 7.55555556],0
v1,1,0.334268,0.932293,[13 33] ; [17 28],[15.16483516 30.83516484] ; [14.83516484 30.16483516],0
n6,1,0.346926,0.884669,[20 26] ; [24 21],[22.24175824 23.75824176] ; [21.75824176 23.24175824],0
d1,1,0.402464,0.700952,[23 23] ; [27 19],[25. 21.] ; [25. 21.],0
p4,1,0.439662,0.597164,[20 26] ; [16 29],[18.1978022 27.8021978] ; [17.8021978 27.1978022],0
s1,1,0.459292,0.547619,[ 5 41] ; [ 3 43],[ 4. 42.] ; [ 4. 42.],0
p3,1,0.463402,0.537665,[18 27] ; [15 31],[16.31868132 28.68131868] ; [16.68131868 29.31868132],0
u1,1,0.502915,0.44878,[ 4 42] ; [ 6 40],[ 5. 41.] ; [ 5. 41.],0
n1,1,0.509151,0.435812,[ 3 17] ; [ 4 13],[ 3.78378378 16.21621622] ; [ 3.21621622 13.78378378],0
a1,1,0.557204,0.344569,[ 1 45] ; [ 2 44],[ 1.5 44.5] ; [ 1.5 44.5],0
a3,1,0.579919,0.306365,[26 20] ; [28 17],[27.2967033 18.7032967] ; [26.7032967 18.2967033],0
d4,1,0.582237,0.302632,[37  9] ; [39  7],[38.  8.] ; [38.  8.],0
n4,1,0.650431,0.205357,[15 31] ; [13 33],[14. 32.] ; [14. 32.],0
r1,1,0.661533,0.191667,[31 15] ; [29 17],[30. 16.] ; [30. 16.],0
d2,1,0.676369,0.174242,[23 23] ; [21 25],[22. 24.] ; [22. 24.],0
v2,1,0.696794,0.151829,[20 26] ; [20 22],[20.90909091 25.09090909] ; [19.09090909 22.90909091],0
b2,1,0.734777,0.114771,[ 5 21] ; [ 4 13],[ 5.44186047 20.55813953] ; [ 3.55813953 13.44186047],0
b3,1,0.734777,0.114771,[ 5 21] ; [ 4 13],[ 5.44186047 20.55813953] ; [ 3.55813953 13.44186047],0
a2,1,0.788222,0.072157,[ 9 37] ; [ 8 38],[ 8.5 37.5] ; [ 8.5 37.5],0
n2,1,0.815019,0.054736,[11  9] ; [10  7],[11.35135135  8.64864865] ; [9.64864865 7.35135135],0
b4,1,0.83162,0.045209,[27 19] ; [28 18],[27.5 18.5] ; [27.5 18.5],0
d5,1,0.848211,0.036634,[35 11] ; [35 10],[35.38461538 10.61538462] ; [34.61538462 10.38461538],0
p8,1,0.871775,0.026051,[14 32] ; [13 32],[13.64835165 32.35164835] ; [13.35164835 31.64835165],0
v3,1,0.945754,0.004629,[12 30] ; [12 31],[11.85882353 30.14117647] ; [12.14117647 30.85882353],0
a4,1,1.0,0.0,[18 28] ; [18 28],[18. 28.] ; [18. 28.],0
a5,1,1.0,0.0,[28 18] ; [28 18],[28. 18.] ; [28. 18.],0
u3,1,1.0,0.0,[10 10] ; [8 8],[10. 10.] ; [8. 8.],0
