Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.4e-05,16.29256,[105  13] ; [18 13],[97.40939597 20.59060403] ; [25.59060403  5.40939597],1
r3,1,0.002271,9.316321,[111   6] ; [24  7],[106.72297297  10.27702703] ; [28.27702703  2.72297297],0
n5,1,0.004655,8.008784,[90 28] ; [15 15],[83.71621622 34.28378378] ; [21.28378378  8.71621622],0
p10,1,0.007231,7.214587,[106  12] ; [22  9],[101.36912752  16.63087248] ; [26.63087248  4.36912752],0
p8,1,0.008021,7.02887,[69 48] ; [10 21],[62.4527027 54.5472973] ; [16.5472973 14.4527027],0
n4,1,0.008864,6.84994,[83 35] ; [14 17],[76.81879195 41.18120805] ; [20.18120805 10.81879195],0
v2,1,0.009533,6.720069,[54 57] ; [ 7 24],[47.68309859 63.31690141] ; [13.31690141 17.68309859],0
v4,1,0.015443,5.865226,[113   5] ; [25  5],[110.02702703   7.97297297] ; [27.97297297  2.02702703],0
r1,1,0.016738,5.723603,[84 34] ; [15 16],[78.40268456 39.59731544] ; [20.59731544 10.40268456],0
p11,1,0.031029,4.65136,[100  18] ; [21 10],[95.82550336 22.17449664] ; [25.17449664  5.82550336],0
r2,1,0.036034,4.395476,[107  11] ; [23  7],[103.64864865  14.35135135] ; [26.35135135  3.64864865],0
b1,1,0.036755,4.36173,[44 74] ; [18 13],[49.10067114 68.89932886] ; [12.89932886 18.10067114],0
s7,1,0.045405,4.003539,[55 59] ; [ 8 21],[50.22377622 63.77622378] ; [12.77622378 16.22377622],0
s5,1,0.047221,3.93749,[37 77] ; [ 4 25],[32.68531469 81.31468531] ; [ 8.31468531 20.68531469],0
p5,1,0.059507,3.551061,[19 98] ; [ 1 30],[ 15.81081081 101.18918919] ; [ 4.18918919 26.81081081],0
a7,1,0.085507,2.956992,[77 41] ; [15 16],[72.8590604 45.1409396] ; [19.1409396 11.8590604],0
p4,1,0.10189,2.675706,[63 55] ; [11 19],[59. 59.] ; [15. 15.],0
a6,1,0.124256,2.362838,[75 43] ; [15 16],[71.27516779 46.72483221] ; [18.72483221 12.27516779],0
a1,1,0.140931,2.167763,[  4 114] ; [ 3 28],[  5.54362416 112.45637584] ; [ 1.45637584 29.54362416],0
s8,1,0.149885,2.073417,[47 71] ; [ 8 23],[43.55704698 74.44295302] ; [11.44295302 19.55704698],0
b4,1,0.157118,2.001748,[70 48] ; [14 17],[66.52348993 51.47651007] ; [17.47651007 13.52348993],0
p6,1,0.157462,1.998431,[39 78] ; [ 6 24],[35.81632653 81.18367347] ; [ 9.18367347 20.81632653],0
d2,1,0.163657,1.94011,[29 89] ; [ 4 27],[26.13422819 91.86577181] ; [ 6.86577181 24.13422819],0
s6,1,0.168566,1.895647,[72 44] ; [15 16],[68.65306122 47.34693878] ; [18.34693878 12.65306122],0
a5,1,0.192067,1.701687,[65 53] ; [13 18],[61.77181208 56.22818792] ; [16.22818792 14.77181208],0
u2,1,0.224237,1.477046,[27 30] ; [8 4],[28.91304348 28.08695652] ; [6.08695652 5.91304348],0
v3,1,0.22803,1.453109,[39 76] ; [ 7 24],[36.23287671 78.76712329] ; [ 9.76712329 21.23287671],0
a4,1,0.259624,1.270761,[23 94] ; [ 9 22],[25.2972973 91.7027027] ; [ 6.7027027 24.2972973],0
u3,1,0.268821,1.222754,[28 29] ; [8 4],[29.73913043 27.26086957] ; [6.26086957 5.73913043],0
