Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.718615,[18 35] ; [171  80],[32.95065789 20.04934211] ; [156.04934211  94.95065789],1
d5,1,1.9e-05,18.299054,[16 39] ; [156 101],[30.32051282 24.67948718] ; [141.67948718 115.32051282],1
p8,1,4.8e-05,16.53101,[15 40] ; [146 108],[28.65695793 26.34304207] ; [132.34304207 121.65695793],1
p9,1,0.00075,11.360403,[38 17] ; [222  32],[46.27831715  8.72168285] ; [213.72168285  40.27831715],1
s1,1,0.00101,10.808593,[ 6 48] ; [  5 249],[ 1.92857143 52.07142857] ; [  9.07142857 244.92857143],0
a7,1,0.001029,10.775387,[24 31] ; [172  84],[34.66237942 20.33762058] ; [161.33762058  94.66237942],0
p4,1,0.002745,8.969907,[17 37] ; [138 118],[27. 27.] ; [128. 128.],0
a3,1,0.014853,5.933818,[24 31] ; [158  99],[32.08333333 22.91666667] ; [149.91666667 107.08333333],0
s7,1,0.018374,5.560119,[14 38] ; [109 135],[21.60810811 30.39189189] ; [101.39189189 142.60810811],0
p6,1,0.025767,4.971571,[11 44] ; [ 90 163],[18.03571429 36.96428571] ; [ 82.96428571 170.03571429],0
d3,1,0.028993,4.768045,[15 40] ; [111 146],[22.21153846 32.78846154] ; [103.78846154 153.21153846],0
d4,1,0.058962,3.566338,[26 29] ; [157 100],[32.25961538 22.74038462] ; [150.74038462 106.25961538],0
p10,1,0.064735,3.411708,[40 15] ; [211  42],[44.82142857 10.17857143] ; [206.17857143  46.82142857],0
a5,1,0.07102,3.259289,[25 30] ; [151 106],[31.02564103 23.97435897] ; [144.97435897 112.02564103],0
n4,1,0.08367,2.992136,[34 21] ; [188  68],[39.26045016 15.73954984] ; [182.73954984  73.26045016],0
s3,1,0.129302,2.300868,[22 31] ; [134 119],[27.01960784 25.98039216] ; [128.98039216 124.01960784],0
s4,1,0.136621,2.215605,[13 42] ; [ 39 215],[ 9.25566343 45.74433657] ; [ 42.74433657 211.25566343],0
r2,1,0.137873,2.201544,[46  9] ; [228  24],[49.08794788  5.91205212] ; [224.91205212  27.08794788],0
a2,1,0.14441,2.130323,[ 1 54] ; [ 18 239],[ 3.34935897 51.65064103] ; [ 15.65064103 241.34935897],0
p3,1,0.147183,2.101207,[20 35] ; [121 136],[24.85576923 30.14423077] ; [116.14423077 140.85576923],0
d2,1,0.148941,2.083062,[11 43] ; [ 33 224],[ 7.63987138 46.36012862] ; [ 36.36012862 220.63987138],0
n2,1,0.155718,2.01532,[14  1] ; [47 14],[12.03947368  2.96052632] ; [48.96052632 12.03947368],0
b1,1,0.168946,1.892274,[24 31] ; [ 87 170],[19.56730769 35.43269231] ; [ 91.43269231 165.56730769],0
p12,1,0.228067,1.452878,[ 6 49] ; [ 16 238],[ 3.91585761 51.08414239] ; [ 18.08414239 235.91585761],0
v4,1,0.257399,1.282692,[50  5] ; [240  13],[51.78571429  3.21428571] ; [238.21428571  14.78571429],0
s6,1,0.321105,0.984442,[30 24] ; [157  93],[33.21710526 20.78289474] ; [153.78289474  96.21710526],0
u1,1,0.336882,0.922262,[ 1 54] ; [ 12 245],[ 2.29166667 52.70833333] ; [ 10.70833333 246.29166667],0
b2,1,0.372136,0.796519,[ 8 22] ; [53 98],[10.11049724 19.88950276] ; [ 50.88950276 100.11049724],0
b3,1,0.372136,0.796519,[ 8 22] ; [53 98],[10.11049724 19.88950276] ; [ 50.88950276 100.11049724],0
r1,1,0.386744,0.749155,[37 18] ; [187  69],[39.61414791 15.38585209] ; [184.38585209  71.61414791],0
n5,1,0.393676,0.727559,[36 18] ; [184  70],[38.57142857 15.42857143] ; [181.42857143  72.57142857],0
r3,1,0.39546,0.722088,[53  2] ; [238  17],[51.62903226  3.37096774] ; [239.37096774  15.62903226],0
r4,1,0.413753,0.667989,[49  6] ; [218  39],[47.06730769  7.93269231] ; [219.93269231  37.06730769],0
b5,1,0.43134,0.619214,[34 21] ; [144 113],[31.37820513 23.62179487] ; [146.62179487 110.37820513],0
a4,1,0.465204,0.533346,[12 43] ; [ 68 188],[14.14790997 40.85209003] ; [ 65.85209003 190.14790997],0
n6,1,0.468913,0.524536,[43 12] ; [210  45],[44.88709677 10.11290323] ; [208.11290323  46.88709677],0
a8,1,0.470922,0.519811,[ 6 49] ; [ 35 204],[ 7.67006803 47.32993197] ; [ 33.32993197 205.67006803],0
a6,1,0.481118,0.496328,[31 24] ; [158  99],[33.31730769 21.68269231] ; [155.68269231 101.31730769],0
v3,1,0.482883,0.492344,[19 35] ; [ 77 177],[16.83116883 37.16883117] ; [ 79.16883117 174.83116883],0
p1,1,0.523603,0.406791,[ 6 49] ; [ 21 234],[ 4.79032258 50.20967742] ; [ 22.20967742 232.79032258],0
v1,1,0.54398,0.368214,[24 30] ; [122 127],[26.01980198 27.98019802] ; [119.98019802 129.01980198],0
b4,1,0.626426,0.236938,[33 22] ; [145 112],[31.37820513 23.62179487] ; [146.62179487 110.37820513],0
p5,1,0.664684,0.187883,[ 5 49] ; [ 29 228],[ 5.90353698 48.09646302] ; [ 28.09646302 228.90353698],0
s8,1,0.690902,0.158111,[18 37] ; [ 91 165],[19.27652733 35.72347267] ; [ 89.72347267 166.27652733],0
s5,1,0.714723,0.133605,[13 38] ; [ 70 180],[14.06312292 36.93687708] ; [ 68.93687708 181.06312292],0
s2,1,0.756055,0.096513,[22 31] ; [100 155],[20.99350649 32.00649351] ; [101.00649351 153.99350649],0
v2,1,0.761474,0.09214,[24 27] ; [122 125],[24.98657718 26.01342282] ; [121.01342282 125.98657718],0
u2,1,0.772203,0.083807,[18 13] ; [54 44],[17.30232558 13.69767442] ; [54.69767442 43.30232558],0
u3,1,0.862699,0.029908,[17 14] ; [52 46],[16.58139535 14.41860465] ; [52.41860465 45.58139535],0
n3,1,0.911125,0.012459,[12  3] ; [48 13],[11.84210526  3.15789474] ; [48.15789474 12.84210526],0
a1,1,0.928969,0.007946,[ 2 53] ; [ 10 247],[ 2.11538462 52.88461538] ; [  9.88461538 247.11538462],0
n1,1,0.987252,0.000255,[6 8] ; [26 35],[5.97333333 8.02666667] ; [26.02666667 34.97333333],0
