Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.1e-05,19.260852,[39 20] ; [39 84],[25.28571429 33.71428571] ; [52.71428571 70.28571429],1
v1,1,7.9e-05,15.571664,[39 19] ; [45 80],[26.62295082 31.37704918] ; [57.37704918 67.62295082],1
r1,1,0.000172,14.109366,[50 10] ; [70 57],[38.5026738 21.4973262] ; [81.4973262 45.5026738],1
p3,1,0.000447,12.326183,[33 26] ; [37 90],[22.20430108 36.79569892] ; [47.79569892 79.20430108],1
r4,1,0.000651,11.623024,[52  8] ; [79 48],[42.03208556 17.96791444] ; [88.96791444 38.03208556],1
s8,1,0.00077,11.311196,[30 30] ; [32 95],[19.89304813 40.10695187] ; [42.10695187 84.89304813],1
p7,1,0.002339,9.262753,[37 21] ; [50 76],[27.42391304 30.57608696] ; [59.57608696 66.42391304],0
s2,1,0.002397,9.217806,[33 27] ; [40 86],[23.5483871 36.4516129] ; [49.4516129 76.5483871],0
n4,1,0.005824,7.604003,[50 10] ; [80 46],[41.93548387 18.06451613] ; [88.06451613 37.93548387],0
a5,1,0.012019,6.308067,[45 15] ; [71 56],[37.21925134 22.78074866] ; [78.78074866 48.21925134],0
d5,1,0.012019,6.308067,[45 15] ; [71 56],[37.21925134 22.78074866] ; [78.78074866 48.21925134],0
p5,1,0.014823,5.937426,[ 9 50] ; [  6 120],[ 4.78378378 54.21621622] ; [ 10.21621622 115.78378378],0
a3,1,0.015229,5.889789,[47 13] ; [76 50],[39.67741935 20.32258065] ; [83.32258065 42.67741935],0
p4,1,0.017178,5.678078,[31 28] ; [43 83],[23.6 35.4] ; [50.4 75.6],0
s6,1,0.017822,5.613559,[37 22] ; [55 70],[29.5 29.5] ; [62.5 62.5],0
p10,1,0.025687,4.976971,[46 14] ; [75 50],[39.24324324 20.75675676] ; [81.75675676 43.24324324],0
n5,1,0.027923,4.83284,[50 10] ; [85 40],[43.78378378 16.21621622] ; [91.21621622 33.78378378],0
v4,1,0.031836,4.60731,[55  5] ; [98 26],[49.89130435 10.10869565] ; [103.10869565  20.89130435],0
d4,1,0.042042,4.13353,[47 13] ; [80 46],[40.96774194 19.03225806] ; [86.03225806 39.96774194],0
s3,1,0.052912,3.746704,[36 24] ; [56 69],[29.83783784 30.16216216] ; [62.16216216 62.83783784],0
s7,1,0.053024,3.743153,[28 28] ; [42 79],[22.14689266 33.85310734] ; [47.85310734 73.14689266],0
p8,1,0.089244,2.887963,[25 35] ; [37 90],[19.89304813 40.10695187] ; [42.10695187 84.89304813],0
r3,1,0.089341,2.88621,[53  7] ; [99 28],[48.77005348 11.22994652] ; [103.22994652  23.77005348],0
a6,1,0.090482,2.865779,[32 28] ; [51 76],[26.63101604 33.36898396] ; [56.36898396 70.63101604],0
a4,1,0.113395,2.506251,[18 42] ; [53 73],[22.90322581 37.09677419] ; [48.09677419 77.90322581],0
n6,1,0.115201,2.481378,[50 10] ; [91 34],[45.72972973 14.27027027] ; [95.27027027 29.72972973],0
n3,1,0.141503,2.161543,[12  3] ; [29 20],[9.609375 5.390625] ; [31.390625 17.609375],0
b5,1,0.188275,1.731065,[25 35] ; [66 61],[29.19786096 30.80213904] ; [61.80213904 65.19786096],0
r2,1,0.188779,1.727117,[51  7] ; [100  25],[47.8579235 10.1420765] ; [103.1420765  21.8579235],0
a1,1,0.212255,1.555976,[ 5 55] ; [  5 122],[ 3.20855615 56.79144385] ; [  6.79144385 120.20855615],0
a2,1,0.295782,1.093116,[ 3 57] ; [ 12 115],[ 4.81283422 55.18716578] ; [ 10.18716578 116.81283422],0
s1,1,0.327535,0.95862,[ 5 55] ; [  6 121],[ 3.52941176 56.47058824] ; [  7.47058824 119.52941176],0
u2,1,0.368803,0.807692,[7 6] ; [20 30],[5.57142857 7.42857143] ; [21.42857143 28.57142857],0
p11,1,0.376804,0.781103,[44 16] ; [85 42],[41.39037433 18.60962567] ; [87.60962567 39.39037433],0
d1,1,0.410944,0.676067,[25 35] ; [45 82],[22.45989305 37.54010695] ; [47.54010695 79.45989305],0
p9,1,0.419868,0.650685,[44 16] ; [83 40],[41.63934426 18.36065574] ; [85.36065574 37.63934426],0
p2,1,0.430417,0.621699,[42 17] ; [83 44],[39.65053763 19.34946237] ; [85.34946237 41.65053763],0
s5,1,0.495791,0.463934,[19 41] ; [33 90],[17.04918033 42.95081967] ; [34.95081967 88.04918033],0
b2,1,0.506805,0.440658,[17 23] ; [29 51],[15.33333333 24.66666667] ; [30.66666667 49.33333333],0
b3,1,0.506805,0.440658,[17 23] ; [29 51],[15.33333333 24.66666667] ; [30.66666667 49.33333333],0
a8,1,0.507843,0.438508,[ 4 53] ; [ 12 107],[ 5.18181818 51.81818182] ; [ 10.81818182 108.18181818],0
u3,1,0.574425,0.315334,[4 9] ; [20 31],[4.875 8.125] ; [19.125 31.875],0
u4,1,0.585304,0.297738,[ 1 59] ; [  1 126],[ 0.64171123 59.35828877] ; [  1.35828877 125.64171123],0
n2,1,0.594267,0.28373,[11  4] ; [33 17],[10.15384615  4.84615385] ; [33.84615385 16.15384615],0
b4,1,0.665999,0.186318,[32 28] ; [72 55],[33.36898396 26.63101604] ; [70.63101604 56.36898396],0
n1,1,0.703239,0.145125,[ 5 10] ; [19 30],[5.625 9.375] ; [18.375 30.625],0
p1,1,0.762348,0.091445,[ 5 55] ; [  9 118],[ 4.49197861 55.50802139] ; [  9.50802139 117.49197861],0
d2,1,0.764265,0.089931,[25 35] ; [55 70],[25.94594595 34.05405405] ; [54.05405405 70.94594595],0
p12,1,0.831563,0.04524,[ 2 58] ; [  5 121],[ 2.25806452 57.74193548] ; [  4.74193548 121.25806452],0
b1,1,0.861513,0.030432,[28 32] ; [61 66],[28.55614973 31.44385027] ; [60.44385027 66.55614973],0
d3,1,0.892089,0.018404,[23 37] ; [50 77],[23.42245989 36.57754011] ; [49.57754011 77.42245989],0
s4,1,0.911444,0.012369,[10 50] ; [ 22 105],[10.26737968 49.73262032] ; [ 21.73262032 105.26737968],0
u1,1,0.934494,0.006756,[ 3 57] ; [  6 121],[ 2.88770053 57.11229947] ; [  6.11229947 120.88770053],0
