Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,84.72409,[227  22] ; [15 29],[205.65870307  43.34129693] ; [36.34129693  7.65870307],1
d1,1,0.0,73.410067,[187  62] ; [ 4 41],[161.76530612  87.23469388] ; [29.23469388 15.76530612],1
d3,1,0.0,44.670193,[200  49] ; [14 30],[181.86348123  67.13651877] ; [32.13651877 11.86348123],1
d2,1,0.00028,13.200886,[145 104] ; [13 32],[133.81632653 115.18367347] ; [24.18367347 20.81632653],1
a4,1,0.002163,9.405549,[136 113] ; [13 31],[126.62457338 122.37542662] ; [22.37542662 21.62457338],0
a2,1,0.002692,9.005274,[ 76 173] ; [ 4 41],[ 67.75510204 181.24489796] ; [12.24489796 32.75510204],0
p9,1,0.002762,8.958436,[232  16] ; [36  9],[226.83959044  21.16040956] ; [41.16040956  3.83959044],0
s6,1,0.002959,8.832402,[190  50] ; [25 18],[182.33215548  57.66784452] ; [32.66784452 10.33215548],0
u1,1,0.003348,8.60747,[ 67 182] ; [ 3 42],[ 59.28571429 189.71428571] ; [10.71428571 34.28571429],0
a5,1,0.00368,8.435212,[203  46] ; [28 17],[195.64285714  53.35714286] ; [35.35714286  9.64285714],0
a3,1,0.007658,7.111787,[194  53] ; [27 18],[186.94178082  60.05821918] ; [34.05821918 10.94178082],0
v1,1,0.008026,7.027646,[160  85] ; [20 25],[152.06896552  92.93103448] ; [27.93103448 17.06896552],0
p1,1,0.013,6.169143,[ 31 218] ; [12 33],[ 36.41836735 212.58163265] ; [ 6.58163265 38.41836735],0
p2,1,0.018329,5.564425,[228  21] ; [36  9],[223.59183673  25.40816327] ; [40.40816327  4.59183673],0
s8,1,0.027341,4.869178,[148  99] ; [19 26],[141.26369863 105.73630137] ; [25.73630137 19.26369863],0
s2,1,0.039245,4.250226,[155  91] ; [21 24],[148.78350515  97.21649485] ; [27.21649485 17.78350515],0
r3,1,0.050649,3.819855,[239   7] ; [41  4],[236.70103093   9.29896907] ; [43.29896907  1.70103093],0
p4,1,0.057031,3.62168,[207  42] ; [32 13],[202.41836735  46.58163265] ; [36.58163265  8.41836735],0
p10,1,0.094379,2.798048,[219  28] ; [35  9],[215.59450172  31.40549828] ; [38.40549828  5.59450172],0
r1,1,0.104189,2.640229,[207  41] ; [33 12],[203.13993174  44.86006826] ; [36.86006826  8.13993174],0
p8,1,0.116932,2.457936,[177  70] ; [27 18],[172.56164384  74.43835616] ; [31.43835616 13.56164384],0
v4,1,0.130364,2.288159,[241   6] ; [42  3],[239.3869863   7.6130137] ; [43.6130137  1.3869863],0
