Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,2.6e-05,17.67619,[23  7] ; [ 6 22],[15. 15.] ; [14. 14.],1
u2,1,0.048741,3.884266,[4 6] ; [9 2],[6.19047619 3.80952381] ; [6.80952381 4.19047619],0
v3,1,0.073524,3.202547,[16 16] ; [ 8 21],[12.59016393 19.40983607] ; [11.40983607 17.59016393],0
n5,1,0.100437,2.698585,[25  7] ; [17 12],[22.03278689  9.96721311] ; [19.96721311  9.03278689],0
n4,1,0.100437,2.698585,[25  7] ; [17 12],[22.03278689  9.96721311] ; [19.96721311  9.03278689],0
p6,1,0.113154,2.509615,[19 10] ; [13 16],[16. 13.] ; [16. 13.],0
r2,1,0.114322,2.493428,[27  2] ; [22  6],[24.92982456  4.07017544] ; [24.07017544  3.92982456],0
d5,1,0.163013,1.946055,[26  6] ; [19 10],[23.60655738  8.39344262] ; [21.39344262  7.60655738],0
s4,1,0.163013,1.946055,[ 6 26] ; [10 19],[ 8.39344262 23.60655738] ; [ 7.60655738 21.39344262],0
p1,1,0.178602,1.809216,[ 2 30] ; [ 5 24],[ 3.67213115 28.32786885] ; [ 3.32786885 25.67213115],0
n1,1,0.201352,1.63254,[2 5] ; [6 4],[3.29411765 3.70588235] ; [4.70588235 5.29411765],0
p10,1,0.203772,1.615128,[24  7] ; [26  3],[25.83333333  5.16666667] ; [24.16666667  4.83333333],0
b3,1,0.241126,1.373999,[ 6 17] ; [ 9 12],[ 7.84090909 15.15909091] ; [ 7.15909091 13.84090909],0
b2,1,0.241126,1.373999,[ 6 17] ; [ 9 12],[ 7.84090909 15.15909091] ; [ 7.15909091 13.84090909],0
p7,1,0.268517,1.224307,[23  8] ; [17 11],[21.01694915  9.98305085] ; [18.98305085  9.01694915],0
s5,1,0.328367,0.955328,[10 16] ; [ 7 20],[ 8.33962264 17.66037736] ; [ 8.66037736 18.33962264],0
