Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.003623,8.463636,[3 3] ; [ 2 30],[0.78947368 5.21052632] ; [ 4.21052632 27.78947368],0
s5,1,0.085832,2.950849,[5 1] ; [13 16],[3.08571429 2.91428571] ; [14.91428571 14.08571429],0
d2,1,0.131506,2.274635,[1 4] ; [18 14],[2.56756757 2.43243243] ; [16.43243243 15.56756757],0
d5,1,0.156788,2.004938,[2 3] ; [23  9],[3.37837838 1.62162162] ; [21.62162162 10.37837838],0
v1,1,0.169038,1.891454,[5 1] ; [17 15],[3.47368421 2.52631579] ; [18.52631579 13.47368421],0
r3,1,0.172831,1.858218,[5 1] ; [31  1],[5.68421053 0.31578947] ; [30.31578947  1.68421053],0
p4,1,0.210635,1.567059,[4 1] ; [16 16],[2.7027027 2.2972973] ; [17.2972973 14.7027027],0
a7,1,0.212957,1.551208,[5 1] ; [18 14],[3.63157895 2.36842105] ; [19.36842105 12.63157895],0
s7,1,0.31445,1.011894,[4 1] ; [18 14],[2.97297297 2.02702703] ; [19.02702703 12.97297297],0
p10,1,0.323595,0.974359,[5 1] ; [20 12],[3.94736842 2.05263158] ; [21.05263158 10.94736842],0
a5,1,0.323595,0.974359,[5 1] ; [20 12],[3.94736842 2.05263158] ; [21.05263158 10.94736842],0
b4,1,0.323595,0.974359,[5 1] ; [20 12],[3.94736842 2.05263158] ; [21.05263158 10.94736842],0
n5,1,0.323595,0.974359,[5 1] ; [20 12],[3.94736842 2.05263158] ; [21.05263158 10.94736842],0
n4,1,0.323595,0.974359,[5 1] ; [20 12],[3.94736842 2.05263158] ; [21.05263158 10.94736842],0
b1,1,0.373597,0.791667,[2 4] ; [17 15],[3. 3.] ; [16. 16.],0
b5,1,0.374333,0.789231,[3 3] ; [22 10],[3.94736842 2.05263158] ; [21.05263158 10.94736842],0
a6,1,0.376504,0.782085,[4 1] ; [19 13],[3.10810811 1.89189189] ; [19.89189189 12.10810811],0
p7,1,0.391813,0.733307,[5 1] ; [21 11],[4.10526316 1.89473684] ; [21.89473684 10.10526316],0
r1,1,0.391813,0.733307,[5 1] ; [21 11],[4.10526316 1.89473684] ; [21.89473684 10.10526316],0
d4,1,0.482444,0.493333,[3 2] ; [24  8],[3.64864865 1.35135135] ; [23.35135135  8.64864865],0
d3,1,0.497727,0.459779,[2 3] ; [18 14],[2.7027027 2.2972973] ; [17.2972973 14.7027027],0
p3,1,0.497727,0.459779,[2 3] ; [18 14],[2.7027027 2.2972973] ; [17.2972973 14.7027027],0
a4,1,0.540417,0.374767,[2 4] ; [15 17],[2.68421053 3.31578947] ; [14.31578947 17.68421053],0
a3,1,0.565403,0.330435,[3 3] ; [20 12],[3.63157895 2.36842105] ; [19.36842105 12.63157895],0
a2,1,0.593292,0.285233,[1 5] ; [ 3 29],[0.63157895 5.36842105] ; [ 3.36842105 28.63157895],0
u1,1,0.593292,0.285233,[1 5] ; [ 3 29],[0.63157895 5.36842105] ; [ 3.36842105 28.63157895],0
s1,1,0.593292,0.285233,[1 5] ; [ 3 29],[0.63157895 5.36842105] ; [ 3.36842105 28.63157895],0
s4,1,0.659505,0.194125,[1 5] ; [ 8 24],[1.42105263 4.57894737] ; [ 7.57894737 24.42105263],0
s3,1,0.677372,0.173099,[3 2] ; [16 16],[2.56756757 2.43243243] ; [16.43243243 15.56756757],0
b3,1,0.683017,0.166749,[2 2] ; [ 9 14],[1.62962963 2.37037037] ; [ 9.37037037 13.62962963],0
b2,1,0.683017,0.166749,[2 2] ; [ 9 14],[1.62962963 2.37037037] ; [ 9.37037037 13.62962963],0
u3,1,0.770335,0.085227,[2 1] ; [9 3],[2.2 0.8] ; [8.8 3.2],0
d1,1,0.777525,0.079832,[3 3] ; [18 14],[3.31578947 2.68421053] ; [17.68421053 14.31578947],0
s8,1,0.829357,0.046452,[3 2] ; [17 14],[2.77777778 2.22222222] ; [17.22222222 13.77777778],0
s2,1,0.84605,0.037698,[4 2] ; [20 12],[3.78947368 2.21052632] ; [20.21052632 11.78947368],0
p1,1,0.948801,0.004123,[1 5] ; [ 5 27],[0.94736842 5.05263158] ; [ 5.05263158 26.94736842],0
v2,1,0.956941,0.002915,[4 2] ; [19 10],[3.94285714 2.05714286] ; [19.05714286  9.94285714],0
u2,1,1.0,0.0,[2 1] ; [8 4],[2. 1.] ; [8. 4.],0
