Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,1.2e-05,19.135295,[ 7 17] ; [47 12],[15.61445783  8.38554217] ; [38.38554217 20.61445783],1
r4,1,0.000119,14.807836,[14 10] ; [55  4],[19.95180723  4.04819277] ; [49.04819277  9.95180723],1
v1,1,0.001109,10.635697,[ 6 18] ; [38 21],[12.72289157 11.27710843] ; [31.27710843 27.72289157],0
d1,1,0.005501,7.70699,[ 7 17] ; [37 22],[12.72289157 11.27710843] ; [31.27710843 27.72289157],0
p7,1,0.010286,6.584619,[14  9] ; [51  8],[18.23170732  4.76829268] ; [46.76829268 12.23170732],0
v2,1,0.011806,6.339734,[ 8 15] ; [38 20],[13.0617284  9.9382716] ; [32.9382716 25.0617284],0
v3,1,0.017977,5.598423,[ 5 19] ; [28 29],[ 9.77777778 14.22222222] ; [23.22222222 33.77777778],0
s4,1,0.020784,5.344799,[ 6 18] ; [ 4 55],[ 2.89156627 21.10843373] ; [ 7.10843373 51.89156627],0
n6,1,0.021193,5.310823,[16  8] ; [52  7],[19.6626506  4.3373494] ; [48.3373494 10.6626506],0
r3,1,0.027515,4.858177,[19  5] ; [56  3],[21.68674699  2.31325301] ; [53.31325301  5.68674699],0
r2,1,0.028728,4.783837,[19  4] ; [57  2],[21.31707317  1.68292683] ; [54.68292683  4.31707317],0
d4,1,0.030141,4.701229,[13 11] ; [46 13],[17.06024096  6.93975904] ; [41.93975904 17.06024096],0
n4,1,0.043344,4.081946,[15  9] ; [49 10],[18.5060241  5.4939759] ; [45.4939759 13.5060241],0
p8,1,0.043375,4.080745,[11 13] ; [41 18],[15.03614458  8.96385542] ; [36.96385542 22.03614458],0
d3,1,0.052011,3.775424,[11 11] ; [43 16],[14.66666667  7.33333333] ; [39.33333333 19.66666667],0
a3,1,0.052171,3.77028,[13 11] ; [44 14],[16.68292683  7.31707317] ; [40.31707317 17.68292683],0
p3,1,0.079435,3.07643,[10 14] ; [37 22],[13.59036145 10.40963855] ; [33.40963855 25.59036145],0
d2,1,0.095776,2.774517,[ 7 17] ; [29 30],[10.40963855 13.59036145] ; [25.59036145 33.40963855],0
p9,1,0.145194,2.122035,[17  7] ; [50  9],[19.37349398  4.62650602] ; [47.62650602 11.37349398],0
p11,1,0.148705,2.085489,[16  8] ; [48 11],[18.5060241  5.4939759] ; [45.4939759 13.5060241],0
n1,1,0.163187,1.944444,[4 2] ; [ 5 10],[2.57142857 3.42857143] ; [6.42857143 8.57142857],0
a2,1,0.195222,1.677765,[ 3 21] ; [15 44],[ 5.20481928 18.79518072] ; [12.79518072 46.20481928],0
p10,1,0.203773,1.615121,[15  9] ; [45 14],[17.34939759  6.65060241] ; [42.65060241 16.34939759],0
b1,1,0.224025,1.478398,[12 12] ; [21 38],[ 9.54216867 14.45783133] ; [23.45783133 35.54216867],0
a7,1,0.246535,1.342831,[16  7] ; [48 11],[17.95121951  5.04878049] ; [46.04878049 12.95121951],0
p4,1,0.257134,1.284121,[14 10] ; [42 17],[16.19277108  7.80722892] ; [39.80722892 19.19277108],0
b5,1,0.262416,1.255966,[17  7] ; [34 25],[14.74698795  9.25301205] ; [36.25301205 22.74698795],0
b2,1,0.340219,0.909606,[9 4] ; [20 17],[7.54 5.46] ; [21.46 15.54],0
b3,1,0.340219,0.909606,[9 4] ; [20 17],[7.54 5.46] ; [21.46 15.54],0
p2,1,0.340402,0.908916,[22  2] ; [57  2],[22.84337349  1.15662651] ; [56.15662651  2.84337349],0
u1,1,0.400094,0.708045,[ 3 21] ; [12 47],[ 4.3373494 19.6626506] ; [10.6626506 48.3373494],0
a6,1,0.439197,0.59838,[15  9] ; [42 17],[16.48192771  7.51807229] ; [40.51807229 18.48192771],0
s1,1,0.492633,0.470769,[ 1 22] ; [ 1 57],[ 0.56790123 22.43209877] ; [ 1.43209877 56.56790123],0
d5,1,0.493204,0.469528,[15  8] ; [43 16],[16.26829268  6.73170732] ; [41.73170732 17.26829268],0
v4,1,0.505564,0.443237,[23  1] ; [58  1],[23.42168675  0.57831325] ; [57.57831325  1.42168675],0
u2,1,0.599337,0.275996,[7 4] ; [8 7],[6.34615385 4.65384615] ; [8.65384615 6.34615385],0
s2,1,0.605404,0.266923,[ 7 17] ; [14 45],[ 6.07228916 17.92771084] ; [14.92771084 44.07228916],0
s3,1,0.615776,0.251849,[ 6 18] ; [18 41],[ 6.93975904 17.06024096] ; [17.06024096 41.93975904],0
s7,1,0.641225,0.217143,[ 8 14] ; [24 33],[ 8.91139241 13.08860759] ; [23.08860759 33.91139241],0
