Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.8e-05,16.172486,[ 5 10] ; [66 14],[11.21052632  3.78947368] ; [59.78947368 20.21052632],1
v4,1,6.8e-05,15.860416,[9 5] ; [78  3],[12.82105263  1.17894737] ; [74.17894737  6.82105263],1
n4,1,0.001443,10.149573,[ 5 10] ; [60 20],[10.26315789  4.73684211] ; [54.73684211 25.26315789],0
r4,1,0.021702,5.269516,[9 6] ; [69 12],[12.1875  2.8125] ; [65.8125 15.1875],0
r2,1,0.05186,3.780271,[10  4] ; [73  8],[12.23157895  1.76842105] ; [70.76842105 10.23157895],0
p4,1,0.054466,3.698358,[6 9] ; [53 27],[9.31578947 5.68421053] ; [49.68421053 30.31578947],0
p9,1,0.062914,3.458844,[10  5] ; [69 11],[12.47368421  2.52631579] ; [66.52631579 13.47368421],0
d2,1,0.103063,2.657494,[ 1 14] ; [21 60],[ 3.4375 11.5625] ; [18.5625 62.4375],0
s5,1,0.103204,2.655326,[ 2 13] ; [27 51],[ 4.67741935 10.32258065] ; [24.32258065 53.67741935],0
s7,1,0.111959,2.526345,[ 5 10] ; [44 35],[7.81914894 7.18085106] ; [41.18085106 37.81914894],0
p2,1,0.151845,2.053619,[10  5] ; [67 14],[12.03125  2.96875] ; [64.96875 16.03125],0
s1,1,0.22338,1.482522,[ 2 13] ; [ 4 76],[ 0.94736842 14.05263158] ; [ 5.05263158 74.94736842],0
p10,1,0.267877,1.227584,[11  4] ; [68 12],[12.47368421  2.52631579] ; [66.52631579 13.47368421],0
s4,1,0.291013,1.114931,[ 1 14] ; [14 66],[ 2.36842105 12.63157895] ; [12.63157895 67.36842105],0
u2,1,0.294551,1.098701,[5 2] ; [20 20],[3.72340426 3.27659574] ; [21.27659574 18.72340426],0
b5,1,0.30359,1.05836,[11  4] ; [48 33],[9.21875 5.78125] ; [49.78125 31.21875],0
b4,1,0.318388,0.995556,[7 8] ; [49 32],[8.75 6.25] ; [47.25 33.75],0
v2,1,0.372753,0.794467,[6 9] ; [41 37],[7.58064516 7.41935484] ; [39.41935484 38.58064516],0
n2,1,0.382733,0.761905,[1 1] ; [11  3],[1.5 0.5] ; [10.5  3.5],0
s3,1,0.386292,0.750583,[10  5] ; [42 35],[8.47826087 6.52173913] ; [43.52173913 33.47826087],0
a1,1,0.390753,0.736599,[ 1 14] ; [ 2 79],[ 0.46875 14.53125] ; [ 2.53125 78.46875],0
p11,1,0.466891,0.529323,[11  4] ; [66 15],[12.03125  2.96875] ; [64.96875 16.03125],0
p1,1,0.466891,0.529323,[ 4 11] ; [15 66],[ 2.96875 12.03125] ; [16.03125 64.96875],0
a6,1,0.4815,0.495465,[8 7] ; [51 30],[9.21875 5.78125] ; [49.78125 31.21875],0
p7,1,0.572092,0.319194,[11  3] ; [57 23],[10.12765957  3.87234043] ; [57.87234043 22.12765957],0
a8,1,0.572614,0.318328,[ 2 12] ; [ 7 68],[ 1.41573034 12.58426966] ; [ 7.58426966 67.41573034],0
a5,1,0.603986,0.269026,[8 7] ; [49 32],[8.90625 6.09375] ; [48.09375 32.90625],0
a4,1,0.615498,0.252247,[ 2 13] ; [15 65],[ 2.68421053 12.31578947] ; [14.31578947 65.68421053],0
d3,1,0.651836,0.203593,[ 5 10] ; [32 49],[5.78125 9.21875] ; [31.21875 49.78125],0
d4,1,0.684538,0.165063,[6 9] ; [37 44],[6.71875 8.28125] ; [36.28125 44.71875],0
s6,1,0.689769,0.159336,[9 6] ; [51 27],[9.67741935 5.32258065] ; [50.32258065 27.67741935],0
n3,1,0.69627,0.152381,[1 1] ; [9 5],[1.25 0.75] ; [8.75 5.25],0
a7,1,0.756367,0.096258,[9 6] ; [52 29],[9.53125 5.46875] ; [51.46875 29.53125],0
r3,1,0.803978,0.061604,[13  2] ; [72  9],[13.28125  1.71875] ; [71.71875  9.28125],0
b1,1,0.804212,0.061454,[7 8] ; [35 46],[6.5625 8.4375] ; [35.4375 45.5625],0
s2,1,0.812694,0.056147,[7 8] ; [40 40],[7.42105263 7.57894737] ; [39.57894737 40.42105263],0
s8,1,0.817428,0.053294,[6 9] ; [35 46],[6.40625 8.59375] ; [34.59375 46.40625],0
p6,1,0.844711,0.038365,[6 8] ; [37 44],[6.33684211 7.66315789] ; [36.66315789 44.33684211],0
r1,1,0.849692,0.035915,[10  5] ; [56 25],[10.3125  4.6875] ; [55.6875 25.3125],0
p3,1,0.873686,0.025274,[8 7] ; [45 36],[8.28125 6.71875] ; [44.71875 36.28125],0
a3,1,0.882216,0.021952,[8 7] ; [41 39],[7.73684211 7.26315789] ; [41.26315789 38.73684211],0
v3,1,0.928041,0.008156,[6 9] ; [33 47],[6.15789474 8.84210526] ; [32.84210526 47.15789474],0
b2,1,0.930426,0.007623,[3 5] ; [18 28],[3.11111111 4.88888889] ; [17.88888889 28.11111111],0
b3,1,0.930426,0.007623,[3 5] ; [18 28],[3.11111111 4.88888889] ; [17.88888889 28.11111111],0
v1,1,0.976308,0.000882,[7 8] ; [37 43],[6.94736842 8.05263158] ; [37.05263158 42.94736842],0
u3,1,0.985933,0.000311,[3 4] ; [17 23],[2.9787234 4.0212766] ; [17.0212766 22.9787234],0
