Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000963,10.897869,[ 6 17] ; [24 10],[12.10526316 10.89473684] ; [17.89473684 16.10526316],1
a6,1,0.001296,10.347559,[ 7 16] ; [25  9],[12.9122807 10.0877193] ; [19.0877193 14.9122807],0
s7,1,0.007179,7.227735,[ 4 17] ; [18 14],[ 8.71698113 12.28301887] ; [13.28301887 18.71698113],0
v2,1,0.00763,7.118412,[ 6 17] ; [20 12],[10.87272727 12.12727273] ; [15.12727273 16.87272727],0
u3,1,0.013255,6.134785,[ 1 10] ; [7 5],[3.82608696 7.17391304] ; [4.17391304 7.82608696],0
p10,1,0.021355,5.297609,[12 11] ; [26  6],[15.89090909  7.10909091] ; [22.10909091  9.89090909],0
d3,1,0.02622,4.941462,[ 7 16] ; [20 13],[11.08928571 11.91071429] ; [15.91071429 17.08928571],0
p11,1,0.029975,4.710752,[12 11] ; [27  7],[15.73684211  7.26315789] ; [23.26315789 10.73684211],0
p9,1,0.029975,4.710752,[12 11] ; [27  7],[15.73684211  7.26315789] ; [23.26315789 10.73684211],0
u2,1,0.048741,3.884266,[4 6] ; [9 2],[6.19047619 3.80952381] ; [6.80952381 4.19047619],0
s5,1,0.068155,3.32691,[ 2 20] ; [ 9 21],[ 4.65384615 17.34615385] ; [ 6.34615385 23.65384615],0
n3,1,0.068733,3.31303,[8 2] ; [7 9],[5.76923077 4.23076923] ; [9.23076923 6.76923077],0
n4,1,0.069809,3.287506,[10 13] ; [23 11],[13.31578947  9.68421053] ; [19.68421053 14.31578947],0
p6,1,0.096473,2.7629,[ 6 17] ; [15 16],[ 8.94444444 14.05555556] ; [12.05555556 18.94444444],0
d4,1,0.097433,2.747067,[12 11] ; [25  9],[14.92982456  8.07017544] ; [22.07017544 11.92982456],0
d2,1,0.1267,2.332481,[ 5 18] ; [14 20],[ 7.66666667 15.33333333] ; [11.33333333 22.66666667],0
n5,1,0.134089,2.244517,[12 11] ; [23  9],[14.63636364  8.36363636] ; [20.36363636 11.63636364],0
r2,1,0.151926,2.05281,[10 12] ; [19 10],[12.50980392  9.49019608] ; [16.49019608 12.50980392],0
s6,1,0.194275,1.684898,[10 13] ; [19 12],[12.35185185 10.64814815] ; [16.64814815 14.35185185],0
v4,1,0.201111,1.63429,[13  9] ; [22  7],[15.09803922  6.90196078] ; [19.90196078  9.09803922],0
v3,1,0.201717,1.629896,[ 3 20] ; [ 9 24],[ 4.92857143 18.07142857] ; [ 7.07142857 25.92857143],0
r1,1,0.244496,1.354482,[ 4 19] ; [10 22],[ 5.85454545 17.14545455] ; [ 8.14545455 23.85454545],0
a7,1,0.254978,1.295823,[10 13] ; [20 14],[12.10526316 10.89473684] ; [17.89473684 16.10526316],0
a4,1,0.272444,1.2044,[ 5 18] ; [12 22],[ 6.85964912 16.14035088] ; [10.14035088 23.85964912],0
s2,1,0.305174,1.051448,[ 9 14] ; [17 15],[10.87272727 12.12727273] ; [15.12727273 16.87272727],0
s8,1,0.344732,0.892754,[ 5 18] ; [11 22],[ 6.57142857 16.42857143] ; [ 9.42857143 23.57142857],0
s1,1,0.34843,0.879166,[ 3 20] ; [ 2 32],[ 2.01754386 20.98245614] ; [ 2.98245614 31.01754386],0
s3,1,0.42401,0.639174,[10 12] ; [17 13],[11.42307692 10.57692308] ; [15.57692308 14.42307692],0
r3,1,0.436339,0.605891,[14  9] ; [22  9],[15.33333333  7.66666667] ; [20.66666667 10.33333333],0
v1,1,0.442764,0.589108,[ 8 14] ; [15 17],[ 9.37037037 12.62962963] ; [13.62962963 18.37037037],0
a3,1,0.447053,0.578112,[12 10] ; [22 12],[13.35714286  8.64285714] ; [20.64285714 13.35714286],0
a8,1,0.48585,0.485704,[ 1 21] ; [ 3 28],[ 1.66037736 20.33962264] ; [ 2.33962264 28.66037736],0
p3,1,0.488462,0.479912,[ 9 14] ; [16 17],[10.26785714 12.73214286] ; [14.73214286 18.26785714],0
b4,1,0.553979,0.350237,[ 9 14] ; [16 18],[10.0877193 12.9122807] ; [14.9122807 19.0877193],0
n1,1,0.648206,0.20817,[4 6] ; [ 5 11],[3.46153846 6.53846154] ; [ 5.53846154 10.46153846],0
b5,1,0.768319,0.086774,[14  9] ; [22 12],[14.52631579  8.47368421] ; [21.47368421 12.52631579],0
n2,1,0.779758,0.078195,[7 3] ; [12  4],[7.30769231 2.69230769] ; [11.69230769  4.30769231],0
p2,1,0.784573,0.074728,[18  5] ; [26  6],[18.4  4.6] ; [25.6  6.4],0
p1,1,0.799078,0.064791,[ 1 22] ; [ 2 32],[ 1.21052632 21.78947368] ; [ 1.78947368 32.21052632],0
a1,1,0.799078,0.064791,[ 1 22] ; [ 2 32],[ 1.21052632 21.78947368] ; [ 1.78947368 32.21052632],0
p8,1,0.825465,0.04863,[12 10] ; [17 16],[11.6 10.4] ; [17.4 15.6],0
s4,1,0.875384,0.024594,[ 6 17] ; [ 8 25],[ 5.75 17.25] ; [ 8.25 24.75],0
b1,1,0.877237,0.023862,[14  9] ; [20 14],[13.71929825  9.28070175] ; [20.28070175 13.71929825],0
n6,1,0.967456,0.001665,[12 11] ; [16 15],[11.92592593 11.07407407] ; [16.07407407 14.92592593],0
p4,1,0.984152,0.000395,[14  9] ; [20 13],[13.96428571  9.03571429] ; [20.03571429 12.96428571],0
