Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.9e-05,18.326087,[46 76] ; [25  6],[56.61437908 65.38562092] ; [14.38562092 16.61437908],1
p8,1,0.001454,10.135932,[31 92] ; [17 14],[38.33766234 84.66233766] ; [ 9.66233766 21.33766234],0
p4,1,0.00835,6.956796,[43 79] ; [19 12],[49.4379085 72.5620915] ; [12.5620915 18.4379085],0
p2,1,0.010691,6.515954,[64 59] ; [24  7],[70.28571429 52.71428571] ; [17.71428571 13.28571429],0
n3,1,0.036415,4.37756,[23 22] ; [8 1],[25.83333333 19.16666667] ; [5.16666667 3.83333333],0
d5,1,0.051647,3.787169,[93 30] ; [18 13],[88.65584416 34.34415584] ; [22.34415584  8.65584416],0
a6,1,0.052405,3.76279,[79 44] ; [14 17],[74.27922078 48.72077922] ; [18.72077922 12.27922078],0
p1,1,0.054648,3.69279,[  7 115] ; [ 5 26],[  9.56862745 112.43137255] ; [ 2.43137255 28.56862745],0
n6,1,0.076507,3.137595,[78 44] ; [25  6],[82.13071895 39.86928105] ; [20.86928105 10.13071895],0
a5,1,0.088276,2.905533,[80 43] ; [15 16],[75.87662338 47.12337662] ; [19.12337662 11.87662338],0
v3,1,0.090166,2.871414,[42 77] ; [ 6 25],[38.08 80.92] ; [ 9.92 21.08],0
b2,1,0.090173,2.871278,[19 53] ; [10 12],[22.21276596 49.78723404] ; [ 6.78723404 15.21276596],0
b3,1,0.090173,2.871278,[19 53] ; [10 12],[22.21276596 49.78723404] ; [ 6.78723404 15.21276596],0
s7,1,0.102046,2.673277,[32 83] ; [13 17],[35.68965517 79.31034483] ; [ 9.31034483 20.68965517],0
p3,1,0.129523,2.298209,[34 88] ; [13 18],[37.47712418 84.52287582] ; [ 9.52287582 21.47712418],0
n1,1,0.137743,2.202993,[16 30] ; [5 3],[17.88888889 28.11111111] ; [3.11111111 4.88888889],0
s8,1,0.157982,1.993433,[26 97] ; [10 20],[28.94117647 94.05882353] ; [ 7.05882353 22.94117647],0
a3,1,0.203717,1.615526,[75 48] ; [15 16],[71.88311688 51.11688312] ; [18.11688312 12.88311688],0
v4,1,0.215703,1.532734,[103  18] ; [29  2],[105.07894737  15.92105263] ; [26.92105263  4.07894737],0
r3,1,0.220748,1.499504,[104  18] ; [29  2],[106.05228758  15.94771242] ; [26.94771242  4.05228758],0
b4,1,0.228511,1.450106,[78 45] ; [16 15],[75.07792208 47.92207792] ; [18.92207792 12.07792208],0
u3,1,0.244493,1.354497,[29 19] ; [7 9],[27. 21.] ; [9. 7.],0
s3,1,0.255414,1.293446,[53 69] ; [17 14],[55.81699346 66.18300654] ; [14.18300654 16.81699346],0
p5,1,0.259944,1.269055,[  3 120] ; [ 2 29],[  3.99350649 119.00649351] ; [ 1.00649351 29.99350649],0
r4,1,0.261511,1.260739,[96 27] ; [27  4],[98.24025974 24.75974026] ; [24.75974026  6.24025974],0
s2,1,0.267906,1.227437,[38 83] ; [13 18],[40.59868421 80.40131579] ; [10.40131579 20.59868421],0
d3,1,0.272995,1.201634,[70 53] ; [21 10],[72.68181818 50.31818182] ; [18.31818182 12.68181818],0
s6,1,0.312006,1.022163,[53 70] ; [16 14],[55.47058824 67.52941176] ; [13.52941176 16.47058824],0
v1,1,0.324082,0.972401,[40 83] ; [13 18],[42.33116883 80.66883117] ; [10.66883117 20.33116883],0
d1,1,0.355418,0.854018,[59 64] ; [12 19],[56.70779221 66.29220779] ; [14.29220779 16.70779221],0
b1,1,0.355418,0.854018,[64 59] ; [19 12],[66.29220779 56.70779221] ; [16.70779221 14.29220779],0
p11,1,0.399057,0.711165,[61 62] ; [18 13],[63.0974026 59.9025974] ; [15.9025974 15.0974026],0
r1,1,0.405111,0.693102,[96 27] ; [22  9],[94.24675325 28.75324675] ; [23.75324675  7.24675325],0
a1,1,0.408707,0.68256,[  9 114] ; [ 1 30],[  7.98701299 115.01298701] ; [ 2.01298701 28.98701299],0
p10,1,0.428356,0.627276,[33 89] ; [ 6 24],[31.30263158 90.69736842] ; [ 7.69736842 22.30263158],0
d2,1,0.442254,0.590427,[64 57] ; [14 17],[62.09210526 58.90789474] ; [15.90789474 15.09210526],0
u2,1,0.464986,0.533865,[21 25] ; [9 7],[22.25806452 23.74193548] ; [7.74193548 8.25806452],0
b5,1,0.494432,0.466867,[67 56] ; [19 12],[68.68831169 54.31168831] ; [17.31168831 13.68831169],0
a2,1,0.508039,0.438105,[ 22 101] ; [ 4 27],[ 20.76623377 102.23376623] ; [ 5.23376623 25.76623377],0
d4,1,0.518519,0.416838,[89 32] ; [21 10],[87.56578947 33.43421053] ; [22.43421053  8.56578947],0
a8,1,0.566634,0.328348,[  8 104] ; [ 3 26],[  8.73758865 103.26241135] ; [ 2.26241135 26.73758865],0
a7,1,0.63163,0.229857,[77 45] ; [21 10],[78.14379085 43.85620915] ; [19.85620915 11.14379085],0
n5,1,0.648783,0.207438,[73 50] ; [17 14],[71.88311688 51.11688312] ; [18.11688312 12.88311688],0
a4,1,0.656533,0.197762,[46 76] ; [10 20],[44.94736842 77.05263158] ; [11.05263158 18.94736842],0
u1,1,0.742776,0.107702,[ 17 106] ; [ 5 26],[ 17.57142857 105.42857143] ; [ 4.42857143 26.57142857],0
v2,1,0.804935,0.060992,[47 72] ; [13 18],[47.6 71.4] ; [12.4 18.6],0
s5,1,0.818577,0.052613,[24 99] ; [ 6 22],[24.43708609 98.56291391] ; [ 5.56291391 22.43708609],0
s1,1,0.824626,0.049106,[ 10 113] ; [ 2 27],[  9.71052632 113.28947368] ; [ 2.28947368 26.71052632],0
s4,1,0.907811,0.01341,[ 18 105] ; [ 4 25],[ 17.80263158 105.19736842] ; [ 4.19736842 24.80263158],0
n4,1,0.909487,0.012925,[82 41] ; [21 10],[82.26623377 40.73376623] ; [20.73376623 10.26623377],0
