Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3e-06,21.811969,[13  2] ; [ 5 27],[5.74468085 9.25531915] ; [12.25531915 19.74468085],1
s7,1,3.2e-05,17.310689,[10  5] ; [ 3 30],[ 4.0625 10.9375] ; [ 8.9375 24.0625],1
p6,1,0.000275,13.235294,[8 8] ; [ 2 32],[ 3.2 12.8] ; [ 6.8 27.2],1
p2,1,0.001182,10.51869,[12  4] ; [ 9 25],[6.72 9.28] ; [14.28 19.72],0
n6,1,0.001509,10.067537,[15  1] ; [16 18],[9.92 6.08] ; [21.08 12.92],0
p4,1,0.001516,10.058932,[10  6] ; [ 6 28],[ 5.12 10.88] ; [10.88 23.12],0
r4,1,0.001833,9.709304,[9 7] ; [ 5 30],[ 4.39215686 11.60784314] ; [ 9.60784314 25.39215686],0
s8,1,0.003147,8.72033,[8 8] ; [ 4 30],[ 3.84 12.16] ; [ 8.16 25.84],0
b5,1,0.003459,8.547964,[13  3] ; [13 22],[8.15686275 7.84313725] ; [17.84313725 17.15686275],0
s6,1,0.004418,8.103554,[11  5] ; [ 9 25],[6.4 9.6] ; [13.6 20.4],0
p11,1,0.00598,7.556169,[10  6] ; [ 8 27],[ 5.64705882 10.35294118] ; [12.35294118 22.64705882],0
s5,1,0.009006,6.821618,[8 7] ; [ 6 29],[ 4.2 10.8] ; [ 9.8 25.2],0
s1,1,0.013608,6.088323,[ 4 12] ; [ 1 34],[ 1.56862745 14.43137255] ; [ 3.43137255 31.56862745],0
v1,1,0.029129,4.76,[8 8] ; [ 7 28],[ 4.70588235 11.29411765] ; [10.29411765 24.70588235],0
s4,1,0.029558,4.734826,[ 6 10] ; [ 4 31],[ 3.1372549 12.8627451] ; [ 6.8627451 28.1372549],0
p8,1,0.034258,4.481793,[8 8] ; [ 7 27],[ 4.8 11.2] ; [10.2 23.8],0
v4,1,0.04297,4.096599,[13  3] ; [18 17],[9.7254902 6.2745098] ; [21.2745098 13.7254902],0
a3,1,0.045146,4.013161,[13  3] ; [17 16],[9.79591837 6.20408163] ; [20.20408163 12.79591837],0
p9,1,0.066193,3.375,[11  5] ; [13 19],[8. 8.] ; [16. 16.],0
p10,1,0.070633,3.268239,[10  6] ; [12 22],[7.04 8.96] ; [14.96 19.04],0
v2,1,0.078709,3.091362,[ 6 10] ; [ 5 28],[ 3.59183673 12.40816327] ; [ 7.40816327 25.59183673],0
a5,1,0.094604,2.794237,[13  3] ; [20 15],[10.35294118  5.64705882] ; [22.64705882 12.35294118],0
p3,1,0.101343,2.684282,[8 8] ; [ 9 25],[ 5.44 10.56] ; [11.56 22.44],0
p7,1,0.115995,2.470588,[7 9] ; [ 7 25],[ 4.66666667 11.33333333] ; [ 9.33333333 22.66666667],0
u3,1,0.129155,2.302632,[1 2] ; [ 1 17],[0.28571429 2.71428571] ; [ 1.71428571 16.28571429],0
a1,1,0.148869,2.083801,[ 1 15] ; [ 8 27],[ 2.82352941 13.17647059] ; [ 6.17647059 28.82352941],0
u1,1,0.17446,1.844196,[ 2 14] ; [ 1 34],[ 0.94117647 15.05882353] ; [ 2.05882353 32.94117647],0
n2,1,0.227195,1.458333,[6 2] ; [10 10],[4.57142857 3.42857143] ; [11.42857143  8.57142857],0
d4,1,0.265855,1.238011,[10  6] ; [16 19],[8.15686275 7.84313725] ; [17.84313725 17.15686275],0
d3,1,0.279184,1.17106,[9 7] ; [14 21],[7.21568627 8.78431373] ; [15.78431373 19.21568627],0
a7,1,0.279184,1.17106,[9 7] ; [14 21],[7.21568627 8.78431373] ; [15.78431373 19.21568627],0
n3,1,0.33281,0.937934,[5 3] ; [ 8 11],[3.85185185 4.14814815] ; [9.14814815 9.85185185],0
p1,1,0.351691,0.867347,[ 4 12] ; [ 5 30],[ 2.82352941 13.17647059] ; [ 6.17647059 28.82352941],0
v3,1,0.410259,0.678051,[ 5 11] ; [ 7 27],[ 3.84 12.16] ; [ 8.16 25.84],0
a6,1,0.460944,0.5436,[10  6] ; [18 17],[8.78431373 7.21568627] ; [19.21568627 15.78431373],0
r1,1,0.503454,0.447649,[8 8] ; [14 21],[6.90196078 9.09803922] ; [15.09803922 19.90196078],0
d1,1,0.503454,0.447649,[8 8] ; [14 21],[6.90196078 9.09803922] ; [15.09803922 19.90196078],0
b1,1,0.503454,0.447649,[8 8] ; [21 14],[9.09803922 6.90196078] ; [19.90196078 15.09803922],0
r2,1,0.589639,0.290909,[12  3] ; [24  9],[11.25  3.75] ; [24.75  8.25],0
d2,1,0.697051,0.151558,[8 8] ; [19 15],[8.64 7.36] ; [18.36 15.64],0
n1,1,0.71714,0.13125,[5 3] ; [11  9],[4.57142857 3.42857143] ; [11.42857143  8.57142857],0
d5,1,0.718326,0.130102,[10  6] ; [20 15],[9.41176471 6.58823529] ; [20.58823529 14.41176471],0
a4,1,0.771102,0.084643,[7 9] ; [13 20],[6.53061224 9.46938776] ; [13.46938776 19.53061224],0
p5,1,0.833907,0.043971,[ 2 14] ; [ 5 29],[ 2.24 13.76] ; [ 4.76 29.24],0
b2,1,0.890386,0.018993,[5 8] ; [11 16],[5.2 7.8] ; [10.8 16.2],0
b3,1,0.890386,0.018993,[5 8] ; [11 16],[5.2 7.8] ; [10.8 16.2],0
n5,1,0.912255,0.012143,[14  2] ; [31  4],[14.11764706  1.88235294] ; [30.88235294  4.11764706],0
a2,1,0.912255,0.012143,[ 2 14] ; [ 4 31],[ 1.88235294 14.11764706] ; [ 4.11764706 30.88235294],0
p12,1,0.939861,0.005692,[ 1 15] ; [ 2 33],[ 0.94117647 15.05882353] ; [ 2.05882353 32.94117647],0
b4,1,0.980472,0.000599,[10  6] ; [22 13],[10.03921569  5.96078431] ; [21.96078431 13.03921569],0
u2,1,1.0,0.0,[1 2] ; [ 6 12],[1. 2.] ; [ 6. 12.],0
