Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.002885,8.878672,[ 2 19] ; [5 3],[ 5.06896552 15.93103448] ; [1.93103448 6.06896552],0
b2,1,0.002885,8.878672,[ 2 19] ; [5 3],[ 5.06896552 15.93103448] ; [1.93103448 6.06896552],0
u1,1,0.004561,8.045714,[ 1 34] ; [3 6],[ 3.18181818 31.81818182] ; [0.81818182 8.18181818],0
a2,1,0.008685,6.886511,[ 3 32] ; [4 5],[ 5.56818182 29.43181818] ; [1.43181818 7.56818182],0
d2,1,0.020799,5.34358,[ 9 26] ; [6 3],[11.93181818 23.06818182] ; [3.06818182 5.93181818],0
p12,1,0.026557,4.919405,[ 1 34] ; [2 6],[ 2.44186047 32.55813953] ; [0.55813953 7.44186047],0
d5,1,0.041491,4.155854,[18 17] ; [8 1],[20.68181818 14.31818182] ; [5.31818182 3.68181818],0
v1,1,0.046658,3.957692,[11 24] ; [5 2],[13.33333333 21.66666667] ; [2.66666667 4.33333333],0
a3,1,0.061664,3.492063,[15 20] ; [7 2],[17.5 17.5] ; [4.5 4.5],0
n5,1,0.082245,3.019978,[19 14] ; [8 1],[21.21428571 11.78571429] ; [5.78571429 3.21428571],0
a5,1,0.085872,2.950107,[16 19] ; [7 2],[18.29545455 16.70454545] ; [4.70454545 4.29545455],0
d1,1,0.086483,2.938655,[ 9 26] ; [5 4],[11.13636364 23.86363636] ; [2.86363636 6.13636364],0
r1,1,0.088687,2.898051,[ 7 27] ; [4 4],[ 8.9047619 25.0952381] ; [2.0952381 5.9047619],0
d4,1,0.102959,2.659106,[21 14] ; [8 1],[23.06818182 11.93181818] ; [5.93181818 3.06818182],0
s2,1,0.108988,2.568833,[16 18] ; [1 6],[14.09756098 19.90243902] ; [2.90243902 4.09756098],0
p9,1,0.122553,2.384389,[21 13] ; [8 1],[22.93023256 11.06976744] ; [6.06976744 2.93023256],0
p6,1,0.140871,2.168415,[12 23] ; [5 3],[13.8372093 21.1627907] ; [3.1627907 4.8372093],0
v2,1,0.140871,2.168415,[12 23] ; [5 3],[13.8372093 21.1627907] ; [3.1627907 4.8372093],0
r3,1,0.143235,2.142857,[25 10] ; [3 4],[23.33333333 11.66666667] ; [4.66666667 2.33333333],0
n4,1,0.154644,2.025838,[18 17] ; [7 2],[19.88636364 15.11363636] ; [5.11363636 3.88636364],0
a4,1,0.194658,1.682011,[ 8 27] ; [4 5],[ 9.54545455 25.45454545] ; [2.45454545 6.54545455],0
a7,1,0.201095,1.634405,[19 16] ; [7 2],[20.68181818 14.31818182] ; [5.31818182 3.68181818],0
b4,1,0.202155,1.626738,[15 20] ; [6 3],[16.70454545 18.29545455] ; [4.29545455 4.70454545],0
p3,1,0.202155,1.626738,[15 20] ; [6 3],[16.70454545 18.29545455] ; [4.29545455 4.70454545],0
p1,1,0.24979,1.324477,[ 3 32] ; [2 7],[ 3.97727273 31.02272727] ; [1.02272727 7.97727273],0
s1,1,0.24979,1.324477,[ 3 32] ; [2 7],[ 3.97727273 31.02272727] ; [1.02272727 7.97727273],0
b5,1,0.256833,1.285749,[20 15] ; [7 2],[21.47727273 13.52272727] ; [5.52272727 3.47727273],0
s7,1,0.275602,1.188653,[14 20] ; [5 3],[15.38095238 18.61904762] ; [3.61904762 4.38095238],0
p7,1,0.28809,1.128527,[22 10] ; [7 1],[23.2  8.8] ; [5.8 2.2],0
v3,1,0.29049,1.117348,[ 7 28] ; [3 5],[ 8.13953488 26.86046512] ; [1.86046512 6.13953488],0
p10,1,0.307917,1.039589,[23 10] ; [7 1],[24.14634146  8.85365854] ; [5.85365854 2.14634146],0
d3,1,0.412886,0.670476,[18 17] ; [6 3],[19.09090909 15.90909091] ; [4.90909091 4.09090909],0
a6,1,0.412886,0.670476,[18 17] ; [6 3],[19.09090909 15.90909091] ; [4.90909091 4.09090909],0
r2,1,0.459577,0.546924,[18 14] ; [5 2],[18.87179487 13.12820513] ; [4.12820513 2.87179487],0
a1,1,0.566723,0.328197,[ 2 33] ; [1 8],[ 2.38636364 32.61363636] ; [0.61363636 8.38636364],0
b1,1,0.598068,0.277919,[16 19] ; [5 4],[16.70454545 18.29545455] ; [4.29545455 4.70454545],0
v4,1,0.671918,0.179367,[26  7] ; [5 2],[25.575  7.425] ; [5.425 1.575],0
n6,1,0.685653,0.163832,[23 11] ; [6 2],[23.47619048 10.52380952] ; [5.52380952 2.47619048],0
s5,1,0.737828,0.112045,[ 4 30] ; [1 5],[ 4.25 29.75] ; [0.75 5.25],0
n3,1,0.780512,0.077647,[8 9] ; [2 3],[7.72727273 9.27272727] ; [2.27272727 2.72727273],0
s3,1,0.791857,0.069643,[12 20] ; [3 4],[12.30769231 19.69230769] ; [2.69230769 4.30769231],0
p2,1,0.82916,0.046561,[26  9] ; [7 2],[26.25  8.75] ; [6.75 2.25],0
n1,1,0.847516,0.036975,[ 6 11] ; [2 3],[ 6.18181818 10.81818182] ; [1.81818182 3.18181818],0
s8,1,0.863361,0.029617,[12 23] ; [3 5],[12.20930233 22.79069767] ; [2.79069767 5.20930233],0
n2,1,0.868516,0.027405,[13  4] ; [4 1],[13.13636364  3.86363636] ; [3.86363636 1.13636364],0
u2,1,0.892295,0.018333,[11  9] ; [1 1],[10.90909091  9.09090909] ; [1.09090909 0.90909091],0
s6,1,0.934493,0.006756,[14 20] ; [3 4],[14.09756098 19.90243902] ; [2.90243902 4.09756098],0
p4,1,0.955491,0.003115,[23 11] ; [6 3],[22.93023256 11.06976744] ; [6.06976744 2.93023256],0
