Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,101.308581,[ 63 274] ; [146 101],[120.60445205 216.39554795] ; [ 88.39554795 158.60445205],1
p8,1,0.0,40.554418,[ 91 243] ; [131 115],[127.84137931 206.15862069] ; [ 94.15862069 151.84137931],1
p2,1,0.0,35.52116,[220 117] ; [215  32],[251.01883562  85.98116438] ; [183.98116438  63.01883562],1
p7,1,0.0,26.249201,[128 202] ; [149  98],[158.42287695 171.57712305] ; [118.57712305 128.42287695],1
s6,1,4.3e-05,16.75169,[169 165] ; [165  79],[193.00346021 140.99653979] ; [140.99653979 103.00346021],1
a5,1,9.9e-05,15.163209,[210 127] ; [192  56],[231.57948718 105.42051282] ; [170.42051282  77.57948718],1
p10,1,0.000158,14.277079,[221 113] ; [197  48],[241.12607945  92.87392055] ; [176.87392055  68.12607945],1
r4,1,0.00043,12.395376,[261  76] ; [220  28],[277.08888889  59.91111111] ; [203.91111111  44.08888889],1
s7,1,0.000586,11.82044,[101 221] ; [106 126],[120.31407942 201.68592058] ; [ 86.68592058 145.31407942],1
v4,1,0.000764,11.326828,[288  44] ; [234  12],[299.83391003  32.16608997] ; [222.16608997  23.83391003],1
r3,1,0.001413,10.189336,[291  42] ; [236  12],[302.04991394  30.95008606] ; [224.95008606  23.04991394],0
s2,1,0.001545,10.024215,[124 211] ; [122 121],[142.57785467 192.42214533] ; [103.42214533 139.57785467],0
v1,1,0.002324,9.273846,[126 202] ; [123 117],[143.78873239 184.21126761] ; [105.21126761 134.78873239],0
s8,1,0.00244,9.184836,[ 94 243] ; [ 98 148],[110.98456261 226.01543739] ; [ 81.01543739 164.98456261],0
n5,1,0.00354,8.505858,[210 123] ; [184  63],[226.21034483 106.78965517] ; [167.78965517  79.21034483],0
p9,1,0.006341,7.450659,[232  95] ; [199  47],[245.96335079  81.03664921] ; [185.03664921  60.96335079],0
n6,1,0.006439,7.423187,[243  90] ; [204  43],[256.63965517  76.36034483] ; [190.36034483  56.63965517],0
p11,1,0.006821,7.319469,[228 109] ; [193  55],[242.52478632  94.47521368] ; [178.47521368  69.52478632],0
d5,1,0.009227,6.778349,[244  92] ; [203  45],[257.17808219  78.82191781] ; [189.82191781  58.17808219],0
a6,1,0.010571,6.536031,[210 126] ; [180  68],[224.38356164 111.61643836] ; [165.61643836  82.38356164],0
r1,1,0.013074,6.159106,[240  94] ; [198  47],[252.66321244  81.33678756] ; [185.33678756  59.66321244],0
d1,1,0.022167,5.23265,[158 179] ; [140 108],[171.66837607 165.33162393] ; [126.33162393 121.66837607],0
d3,1,0.02333,5.1438,[201 135] ; [171  77],[214.02739726 121.97260274] ; [157.97260274  90.02739726],0
n4,1,0.02964,4.730046,[220 115] ; [183  64],[231.96735395 103.03264605] ; [171.03264605  75.96735395],0
v2,1,0.034309,4.479223,[149 168] ; [134 105],[161.35071942 155.64928058] ; [121.64928058 117.35071942],0
s3,1,0.039114,4.255929,[157 175] ; [135 106],[169.18673647 162.81326353] ; [122.81326353 118.18673647],0
a7,1,0.047355,3.932741,[223 112] ; [184  64],[233.86792453 101.13207547] ; [173.13207547  74.86792453],0
v3,1,0.051656,3.786873,[101 224] ; [ 92 144],[111.80926916 213.19073084] ; [ 81.19073084 154.80926916],0
a2,1,0.069011,3.306392,[ 62 275] ; [ 61 187],[ 70.85641026 266.14358974] ; [ 52.14358974 195.85641026],0
u1,1,0.081124,3.042245,[ 40 297] ; [ 42 206],[ 47.23760684 289.76239316] ; [ 34.76239316 213.23760684],0
n3,1,0.130732,2.283789,[71 38] ; [40 12],[75.14906832 33.85093168] ; [35.85093168 16.14906832],0
u3,1,0.149062,2.081827,[57 62] ; [45 32],[61.92857143 57.07142857] ; [40.07142857 36.92857143],0
s5,1,0.15638,2.008883,[ 72 255] ; [ 66 177],[ 79.16842105 247.83157895] ; [ 58.83157895 184.16842105],0
n2,1,0.202888,1.621459,[77 35] ; [40 11],[80.39263804 31.60736196] ; [36.60736196 14.39263804],0
b2,1,0.242525,1.365856,[ 62 124] ; [ 42 111],[ 57.0619469 128.9380531] ; [ 46.9380531 106.0619469],0
b3,1,0.242525,1.365856,[ 62 124] ; [ 42 111],[ 57.0619469 128.9380531] ; [ 46.9380531 106.0619469],0
s4,1,0.256028,1.290106,[ 59 276] ; [ 35 213],[ 54.01372213 280.98627787] ; [ 39.98627787 208.01372213],0
d2,1,0.265864,1.237962,[139 194] ; [115 133],[145.58003442 187.41996558] ; [108.41996558 139.58003442],0
d4,1,0.293553,1.103256,[253  81] ; [197  51],[258.24742268  75.75257732] ; [191.75257732  56.24742268],0
r2,1,0.34567,0.889289,[297  33] ; [227  19],[300.20833333  29.79166667] ; [223.79166667  22.20833333],0
u2,1,0.393585,0.727838,[56 60] ; [42 35],[58.9015544 57.0984456] ; [39.0984456 37.9015544],0
a4,1,0.408202,0.68403,[131 204] ; [105 142],[135.8419244 199.1580756] ; [100.1580756 146.8419244],0
u4,1,0.420668,0.648449,[  4 333] ; [  5 243],[  5.18461538 331.81538462] ; [  3.81538462 244.18461538],0
a3,1,0.467332,0.528278,[218 116] ; [169  79],[222.09278351 111.90721649] ; [164.90721649  83.09278351],0
b4,1,0.467537,0.527791,[199 138] ; [139 109],[194.71111111 142.28888889] ; [143.28888889 104.71111111],0
a1,1,0.508531,0.437089,[ 16 321] ; [  9 239],[ 14.4017094 322.5982906] ; [ 10.5982906 237.4017094],0
p12,1,0.572371,0.318731,[ 13 322] ; [ 12 236],[ 14.36535163 320.63464837] ; [ 10.63464837 237.36535163],0
b5,1,0.58473,0.29865,[199 138] ; [152  96],[202.2 134.8] ; [148.8  99.2],0
p1,1,0.630539,0.231331,[ 16 319] ; [ 14 233],[ 17.26804124 317.73195876] ; [ 12.73195876 234.26804124],0
a8,1,0.69381,0.154992,[ 42 272] ; [ 27 194],[ 40.49719626 273.50280374] ; [ 28.50280374 192.49719626],0
b1,1,0.729937,0.119169,[127 210] ; [ 90 158],[125.00683761 211.99316239] ; [ 91.99316239 156.00683761],0
s1,1,0.802662,0.062452,[ 11 322] ; [  9 235],[ 11.54246101 321.45753899] ; [  8.45753899 235.54246101],0
n1,1,0.984299,0.000387,[39 72] ; [18 33],[39.05555556 71.94444444] ; [17.94444444 33.05555556],0
