Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,40.282317,[21 39] ; [101  22],[40. 20.] ; [82. 41.],1
v3,1,0.000597,11.78475,[ 7 51] ; [45 77],[16.75555556 41.24444444] ; [35.24444444 86.75555556],1
n6,1,0.00405,8.26139,[37 23] ; [100  23],[44.91803279 15.08196721] ; [92.08196721 30.91803279],0
d4,1,0.00466,8.006734,[32 28] ; [92 32],[40.43478261 19.56521739] ; [83.56521739 40.43478261],0
a3,1,0.006072,7.528921,[28 31] ; [85 39],[36.43169399 22.56830601] ; [76.56830601 47.43169399],0
s7,1,0.013395,6.116212,[10 48] ; [41 75],[17. 41.] ; [34. 82.],0
n1,1,0.021705,5.269274,[ 4 17] ; [17 17],[ 8.01818182 12.98181818] ; [12.98181818 21.01818182],0
d1,1,0.028722,4.784182,[17 43] ; [56 68],[23.80434783 36.19565217] ; [49.19565217 74.80434783],0
v2,1,0.029041,4.765161,[17 42] ; [55 65],[23.73184358 35.26815642] ; [48.26815642 71.73184358],0
d5,1,0.030875,4.659887,[34 26] ; [90 34],[40.43478261 19.56521739] ; [83.56521739 40.43478261],0
a4,1,0.032563,4.568625,[13 47] ; [46 77],[19.3442623 40.6557377] ; [39.6557377 83.3442623],0
r2,1,0.036106,4.392084,[41 19] ; [97 21],[46.51685393 13.48314607] ; [91.48314607 26.51685393],0
p3,1,0.040022,4.216972,[17 42] ; [55 68],[23.34065934 35.65934066] ; [48.65934066 74.34065934],0
u3,1,0.041571,4.152587,[14 18] ; [ 8 30],[10.05714286 21.94285714] ; [11.94285714 26.05714286],0
p2,1,0.051019,3.80764,[34 25] ; [88 34],[39.7679558 19.2320442] ; [82.2320442 39.7679558],0
p11,1,0.052246,3.767859,[35 25] ; [90 34],[40.76086957 19.23913043] ; [84.23913043 39.76086957],0
p9,1,0.0582,3.587954,[39 19] ; [97 24],[44.06703911 13.93296089] ; [91.93296089 29.06703911],0
r4,1,0.060707,3.517958,[27 33] ; [74 50],[32.93478261 27.06521739] ; [68.06521739 55.93478261],0
a5,1,0.060707,3.517958,[27 33] ; [74 50],[32.93478261 27.06521739] ; [68.06521739 55.93478261],0
p6,1,0.061907,3.485538,[12 47] ; [40 78],[17.33333333 41.66666667] ; [34.66666667 83.33333333],0
p10,1,0.065245,3.398764,[33 25] ; [85 35],[38.4494382 19.5505618] ; [79.5505618 40.4494382],0
v1,1,0.081999,3.024833,[18 41] ; [52 66],[23.33333333 35.66666667] ; [46.66666667 71.33333333],0
a8,1,0.088763,2.896661,[ 3 55] ; [ 16 101],[ 6.29714286 51.70285714] ; [ 12.70285714 104.29714286],0
b4,1,0.096007,2.770656,[29 31] ; [76 48],[34.23913043 25.76086957] ; [70.76086957 53.23913043],0
p4,1,0.139477,2.183718,[24 36] ; [63 59],[28.68131868 31.31868132] ; [58.31868132 63.68131868],0
p12,1,0.152544,2.046623,[ 1 59] ; [  8 114],[ 2.96703297 57.03296703] ; [  6.03296703 115.96703297],0
s6,1,0.16024,1.971961,[22 37] ; [59 63],[26.40331492 32.59668508] ; [54.59668508 67.40331492],0
b1,1,0.177617,1.817452,[31 29] ; [51 73],[26.73913043 33.26086957] ; [55.26086957 68.73913043],0
a6,1,0.177982,1.814391,[31 29] ; [77 47],[35.2173913 24.7826087] ; [72.7826087 51.2173913],0
s8,1,0.19088,1.710816,[12 48] ; [36 88],[15.65217391 44.34782609] ; [32.34782609 91.65217391],0
p5,1,0.221006,1.49783,[ 4 54] ; [ 16 107],[ 6.40883978 51.59116022] ; [ 13.59116022 109.40883978],0
b3,1,0.221279,1.496057,[ 8 22] ; [31 48],[10.73394495 19.26605505] ; [28.26605505 50.73394495],0
b2,1,0.221279,1.496057,[ 8 22] ; [31 48],[10.73394495 19.26605505] ; [28.26605505 50.73394495],0
a2,1,0.292024,1.110266,[ 5 55] ; [ 17 107],[ 7.17391304 52.82608696] ; [ 14.82608696 109.17391304],0
b5,1,0.303904,1.056982,[34 26] ; [80 44],[37.17391304 22.82608696] ; [76.82608696 47.17391304],0
n3,1,0.336081,0.925325,[13  9] ; [25 10],[14.66666667  7.33333333] ; [23.33333333 11.66666667],0
n2,1,0.336081,0.925325,[13  9] ; [25 10],[14.66666667  7.33333333] ; [23.33333333 11.66666667],0
p1,1,0.33822,0.917168,[ 4 55] ; [ 14 110],[ 5.80327869 53.19672131] ; [ 12.19672131 111.80327869],0
s3,1,0.358979,0.841462,[22 38] ; [53 68],[24.86187845 35.13812155] ; [50.13812155 70.86187845],0
s1,1,0.361103,0.834053,[ 3 57] ; [  3 120],[ 1.96721311 58.03278689] ; [  4.03278689 118.96721311],0
u1,1,0.381763,0.765018,[ 2 58] ; [  8 116],[ 3.26086957 56.73913043] ; [  6.73913043 117.26086957],0
v4,1,0.43255,0.615967,[49 10] ; [96 27],[47.00549451 11.99450549] ; [97.99450549 25.00549451],0
a1,1,0.496854,0.461649,[ 4 56] ; [ 12 112],[ 5.2173913 54.7826087] ; [ 10.7826087 113.2173913],0
r3,1,0.541576,0.372626,[47 13] ; [101  22],[48.52459016 11.47540984] ; [99.47540984 23.52459016],0
d2,1,0.570128,0.322468,[21 39] ; [48 74],[22.74725275 37.25274725] ; [46.25274725 75.74725275],0
