Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.629286,[11 23] ; [84 14],[24.46969697  9.53030303] ; [70.53030303 27.46969697],1
r2,1,6.5e-05,15.965035,[22 11] ; [91  6],[28.68461538  4.31538462] ; [84.31538462 12.68461538],1
r3,1,0.000536,11.986903,[23 11] ; [90  8],[29.10606061  4.89393939] ; [83.89393939 14.10606061],1
p2,1,0.012064,6.301398,[12 22] ; [59 39],[18.28787879 15.71212121] ; [52.71212121 45.28787879],0
v4,1,0.012904,6.182273,[23 11] ; [85 13],[27.81818182  6.18181818] ; [80.18181818 17.81818182],0
a5,1,0.041924,4.138254,[17 17] ; [68 30],[21.89393939 12.10606061] ; [63.10606061 34.89393939],0
n4,1,0.055068,3.680029,[17 17] ; [67 31],[21.63636364 12.36363636] ; [62.36363636 35.63636364],0
s4,1,0.060411,3.526065,[ 8 26] ; [10 85],[ 4.74418605 29.25581395] ; [13.25581395 81.74418605],0
u3,1,0.09331,2.816327,[5 9] ; [20 12],[7.60869565 6.39130435] ; [17.39130435 14.60869565],0
s1,1,0.095281,2.782806,[ 4 29] ; [ 4 94],[ 2.01526718 30.98473282] ; [ 5.98473282 92.01526718],0
a7,1,0.109345,2.563662,[20 14] ; [72 26],[23.6969697 10.3030303] ; [68.3030303 29.6969697],0
b4,1,0.132432,2.263763,[18 16] ; [66 32],[21.63636364 12.36363636] ; [62.36363636 35.63636364],0
n3,1,0.139358,2.185031,[5 9] ; [19 13],[7.30434783 6.69565217] ; [16.69565217 15.30434783],0
p10,1,0.164813,1.929497,[ 6 28] ; [29 68],[ 9.08396947 24.91603053] ; [25.91603053 71.08396947],0
u1,1,0.18987,1.718624,[ 3 31] ; [18 80],[ 5.40909091 28.59090909] ; [15.59090909 82.40909091],0
s7,1,0.199226,1.648041,[ 7 25] ; [31 60],[ 9.88617886 22.11382114] ; [28.11382114 62.88617886],0
n5,1,0.269205,1.220791,[15 19] ; [54 44],[17.77272727 16.22727273] ; [51.22727273 46.77272727],0
d5,1,0.276065,1.186358,[26  8] ; [83 15],[28.07575758  5.92424242] ; [80.92424242 17.07575758],0
a2,1,0.281474,1.159961,[ 5 29] ; [23 75],[ 7.21212121 26.78787879] ; [20.78787879 77.21212121],0
