Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4.1e-05,16.84589,[23 81] ; [29 24],[34.44585987 69.55414013] ; [17.55414013 35.44585987],1
p6,1,0.002829,8.914286,[16 88] ; [19 33],[23.33333333 80.66666667] ; [11.66666667 40.33333333],0
p8,1,0.006863,7.308372,[19 86] ; [20 33],[25.91772152 79.08227848] ; [13.08227848 39.91772152],0
s6,1,0.025364,4.998868,[54 49] ; [37 15],[60.47096774 42.52903226] ; [30.52903226 21.47096774],0
p11,1,0.034814,4.454257,[57 48] ; [38 15],[63.13291139 41.86708861] ; [31.86708861 21.13291139],0
s2,1,0.040938,4.178571,[42 62] ; [30 22],[48. 56.] ; [24. 28.],0
r3,1,0.044079,4.053551,[90 15] ; [51  2],[93.70253165 11.29746835] ; [47.29746835  5.70253165],0
s8,1,0.045994,3.98181,[34 70] ; [26 27],[39.74522293 64.25477707] ; [20.25477707 32.74522293],0
p7,1,0.067167,3.350928,[30 72] ; [23 29],[35.1038961 66.8961039] ; [17.8961039 34.1038961],0
p5,1,0.104631,2.633491,[ 5 99] ; [ 6 44],[ 7.42857143 96.57142857] ; [ 3.57142857 46.42857143],0
n6,1,0.110639,2.54507,[75 30] ; [44  9],[79.08227848 25.91772152] ; [39.91772152 13.08227848],0
d5,1,0.117759,2.446874,[70 34] ; [42 11],[74.1910828 29.8089172] ; [37.8089172 15.1910828],0
p9,1,0.11955,2.423212,[61 39] ; [39 14],[65.35947712 34.64052288] ; [34.64052288 18.35947712],0
s5,1,0.149444,2.077921,[23 75] ; [17 32],[26.66666667 71.33333333] ; [13.33333333 35.66666667],0
p10,1,0.158536,1.988138,[60 43] ; [37 16],[64.04487179 38.95512821] ; [32.95512821 20.04487179],0
v1,1,0.160298,1.971408,[40 65] ; [25 25],[44.03225806 60.96774194] ; [20.96774194 29.03225806],0
u1,1,0.166175,1.917113,[13 92] ; [11 42],[15.94936709 89.05063291] ; [ 8.05063291 44.94936709],0
r4,1,0.246761,1.341547,[88 17] ; [48  5],[90.37974684 14.62025316] ; [45.62025316  7.37974684],0
n3,1,0.248338,1.332627,[24 15] ; [11  3],[25.75471698 13.24528302] ; [9.24528302 4.75471698],0
n2,1,0.285049,1.142857,[30 12] ; [12  2],[31.5 10.5] ; [10.5  3.5],0
d1,1,0.286183,1.137489,[50 55] ; [30 23],[53.16455696 51.83544304] ; [26.83544304 26.16455696],0
p1,1,0.348604,0.878532,[ 8 97] ; [ 2 51],[ 6.64556962 98.35443038] ; [ 3.35443038 49.64556962],0
a7,1,0.373776,0.791072,[69 36] ; [31 22],[66.4556962 38.5443038] ; [33.5443038 19.4556962],0
p12,1,0.394939,0.723682,[ 6 98] ; [ 5 48],[ 7.2866242 96.7133758] ; [ 3.7133758 49.2866242],0
u2,1,0.400079,0.708088,[19 18] ; [12  7],[20.48214286 16.51785714] ; [10.51785714  8.48214286],0
a6,1,0.404475,0.694981,[66 38] ; [30 23],[63.59235669 40.40764331] ; [32.40764331 20.59235669],0
s7,1,0.431022,0.620069,[37 63] ; [21 27],[39.18918919 60.81081081] ; [18.81081081 29.18918919],0
u3,1,0.43109,0.619884,[22 15] ; [14  6],[23.36842105 13.63157895] ; [12.63157895  7.36842105],0
a5,1,0.452664,0.563972,[67 38] ; [37 16],[69.11392405 35.88607595] ; [34.88607595 18.11392405],0
b1,1,0.465691,0.532181,[54 51] ; [24 29],[51.83544304 53.16455696] ; [26.16455696 26.83544304],0
a2,1,0.467173,0.528655,[23 82] ; [ 9 44],[21.26582278 83.73417722] ; [10.73417722 42.26582278],0
s3,1,0.489197,0.478292,[46 56] ; [27 26],[48.03870968 53.96129032] ; [24.96129032 28.03870968],0
d2,1,0.523747,0.406508,[45 58] ; [26 27],[46.87820513 56.12179487] ; [24.12179487 28.87820513],0
s1,1,0.523879,0.40625,[ 9 95] ; [ 3 49],[ 8. 96.] ; [ 4. 48.],0
a1,1,0.535297,0.384326,[ 7 98] ; [ 5 48],[ 7.97468354 97.02531646] ; [ 4.02531646 48.97468354],0
a4,1,0.566067,0.329308,[46 58] ; [26 27],[47.69426752 56.30573248] ; [24.30573248 28.69426752],0
r1,1,0.589796,0.290664,[75 30] ; [40 13],[76.42405063 28.57594937] ; [38.57594937 14.42405063],0
b5,1,0.594522,0.283337,[66 39] ; [31 22],[64.46202532 40.53797468] ; [32.53797468 20.46202532],0
b3,1,0.617229,0.249781,[21 41] ; [14 22],[22.14285714 39.85714286] ; [12.85714286 23.14285714],0
b2,1,0.617229,0.249781,[21 41] ; [14 22],[22.14285714 39.85714286] ; [12.85714286 23.14285714],0
v2,1,0.689357,0.159782,[48 49] ; [27 24],[49.15540541 47.84459459] ; [25.84459459 25.15540541],0
b4,1,0.69714,0.151464,[58 47] ; [31 22],[59.14556962 45.85443038] ; [29.85443038 23.14556962],0
a3,1,0.699509,0.148983,[68 36] ; [33 20],[66.9044586 37.0955414] ; [34.0955414 18.9044586],0
u4,1,0.756032,0.096532,[  3 102] ; [ 2 51],[  3.32278481 101.67721519] ; [ 1.67721519 51.32278481],0
n1,1,0.778884,0.078834,[18 24] ; [5 8],[17.56363636 24.43636364] ; [5.43636364 7.56363636],0
s4,1,0.779164,0.078629,[22 82] ; [10 42],[21.33333333 82.66666667] ; [10.66666667 41.33333333],0
n5,1,0.782199,0.076427,[67 38] ; [35 18],[67.78481013 37.21518987] ; [34.21518987 18.78481013],0
r2,1,0.83732,0.042157,[98  7] ; [49  4],[97.68987342  7.31012658] ; [49.31012658  3.68987342],0
n4,1,0.873433,0.025376,[66 39] ; [34 19],[66.4556962 38.5443038] ; [33.5443038 19.4556962],0
d3,1,0.896248,0.017005,[60 44] ; [30 23],[59.61783439 44.38216561] ; [30.38216561 22.61783439],0
v3,1,0.899025,0.016102,[34 63] ; [17 33],[33.65306122 63.34693878] ; [17.34693878 32.65306122],0
d4,1,0.951215,0.003743,[77 27] ; [39 14],[76.84076433 27.15923567] ; [39.15923567 13.84076433],0
a8,1,0.986488,0.000287,[ 8 93] ; [ 4 46],[ 8.02649007 92.97350993] ; [ 3.97350993 46.02649007],0
