Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.001431,10.164894,[ 9 41] ; [9 6],[13.84615385 36.15384615] ; [ 4.15384615 10.84615385],0
s8,1,0.05328,3.735129,[ 6 44] ; [ 5 10],[ 8.46153846 41.53846154] ; [ 2.53846154 12.46153846],0
p8,1,0.05983,3.542082,[12 38] ; [7 7],[14.84375 35.15625] ; [4.15625 9.84375],0
n5,1,0.099982,2.705838,[37 12] ; [8 7],[34.453125 14.546875] ; [10.546875  4.453125],0
p7,1,0.110495,2.547129,[12 36] ; [7 8],[14.47619048 33.52380952] ; [ 4.52380952 10.47619048],0
p5,1,0.133706,2.248944,[ 2 48] ; [ 2 11],[ 3.17460317 46.82539683] ; [ 0.82539683 12.17460317],0
p10,1,0.140099,2.176871,[22 27] ; [10  5],[24.5 24.5] ; [7.5 7.5],0
s6,1,0.154528,2.026975,[18 32] ; [8 6],[20.3125 29.6875] ; [5.6875 8.3125],0
p9,1,0.158904,1.984627,[22 26] ; [10  5],[24.38095238 23.61904762] ; [7.61904762 7.38095238],0
r3,1,0.184907,1.757735,[34 15] ; [13  2],[35.984375 13.015625] ; [11.015625  3.984375],0
v2,1,0.205903,1.6,[13 32] ; [7 8],[15. 30.] ; [ 5. 10.],0
v1,1,0.229421,1.444444,[18 32] ; [8 7],[20. 30.] ; [6. 9.],0
s7,1,0.23807,1.391987,[10 38] ; [ 1 13],[ 8.51612903 39.48387097] ; [ 2.48387097 11.51612903],0
a5,1,0.290539,1.117122,[19 31] ; [8 7],[20.76923077 29.23076923] ; [6.23076923 8.76923077],0
r2,1,0.30113,1.069184,[39 10] ; [10  5],[37.515625 11.484375] ; [11.484375  3.515625],0
s2,1,0.311199,1.025581,[14 35] ; [6 8],[15.55555556 33.44444444] ; [4.44444444 9.55555556],0
a1,1,0.349881,0.873889,[ 3 47] ; [ 2 13],[ 3.84615385 46.15384615] ; [ 1.15384615 13.84615385],0
p1,1,0.358656,0.842593,[ 8 42] ; [ 1 14],[ 6.92307692 43.07692308] ; [ 2.07692308 12.92307692],0
u2,1,0.368126,0.809981,[12 19] ; [5 4],[13.175 17.825] ; [3.825 5.175],0
u3,1,0.368126,0.809981,[12 19] ; [5 4],[13.175 17.825] ; [3.825 5.175],0
p6,1,0.369305,0.806,[ 8 41] ; [ 4 11],[ 9.1875 39.8125] ; [ 2.8125 12.1875],0
s3,1,0.378187,0.776587,[16 31] ; [7 8],[17.43548387 29.56451613] ; [5.56451613 9.43548387],0
b3,1,0.380042,0.770565,[13 18] ; [2 6],[11.92307692 19.07692308] ; [3.07692308 4.92307692],0
b2,1,0.380042,0.770565,[13 18] ; [2 6],[11.92307692 19.07692308] ; [3.07692308 4.92307692],0
n6,1,0.392427,0.73141,[30 19] ; [11  4],[31.390625 17.609375] ; [9.609375 5.390625],0
d3,1,0.447789,0.576241,[15 35] ; [ 3 12],[13.84615385 36.15384615] ; [ 4.15384615 10.84615385],0
a4,1,0.449653,0.571528,[ 6 43] ; [ 3 12],[ 6.890625 42.109375] ; [ 2.109375 12.890625],0
d4,1,0.456417,0.554667,[18 32] ; [7 8],[19.23076923 30.76923077] ; [5.76923077 9.23076923],0
d2,1,0.461743,0.541667,[ 9 41] ; [ 4 11],[10. 40.] ; [ 3. 12.],0
s1,1,0.468717,0.525,[ 6 42] ; [ 3 12],[ 6.85714286 41.14285714] ; [ 2.14285714 12.85714286],0
a7,1,0.475729,0.508637,[21 28] ; [8 7],[22.203125 26.796875] ; [6.796875 8.203125],0
n4,1,0.498047,0.459096,[34 15] ; [9 6],[32.921875 16.078125] ; [10.078125  4.921875],0
r4,1,0.502854,0.448908,[32 18] ; [11  4],[33.07692308 16.92307692] ; [9.92307692 5.07692308],0
a8,1,0.530335,0.39375,[ 6 42] ; [ 1 14],[ 5.33333333 42.66666667] ; [ 1.66666667 13.33333333],0
p12,1,0.5314,0.391714,[ 4 46] ; [ 2 13],[ 4.61538462 45.38461538] ; [ 1.38461538 13.61538462],0
p11,1,0.54789,0.361111,[29 21] ; [10  5],[30. 20.] ; [9. 6.],0
s5,1,0.571131,0.320794,[ 8 41] ; [ 3 10],[ 8.69354839 40.30645161] ; [ 2.30645161 10.69354839],0
a6,1,0.585679,0.297143,[24 26] ; [6 9],[23.07692308 26.92307692] ; [6.92307692 8.07692308],0
n2,1,0.601598,0.272593,[16  4] ; [2 1],[15.65217391  4.34782609] ; [2.34782609 0.65217391],0
b5,1,0.617967,0.248735,[23 27] ; [8 7],[23.84615385 26.15384615] ; [7.15384615 7.84615385],0
r1,1,0.688088,0.161163,[29 20] ; [8 7],[28.328125 20.671875] ; [8.671875 6.328125],0
n1,1,0.70386,0.144487,[11  9] ; [2 1],[11.30434783  8.69565217] ; [1.69565217 1.30434783],0
s4,1,0.717074,0.131313,[ 8 42] ; [ 3 12],[ 8.46153846 41.53846154] ; [ 2.53846154 12.46153846],0
v4,1,0.769783,0.085649,[34 15] ; [11  4],[34.453125 14.546875] ; [10.546875  4.453125],0
b4,1,0.820826,0.051294,[25 25] ; [8 7],[25.38461538 24.61538462] ; [7.61538462 7.38461538],0
v3,1,0.918502,0.010469,[15 32] ; [ 5 10],[15.16129032 31.83870968] ; [ 4.83870968 10.16129032],0
b1,1,0.963768,0.002063,[23 27] ; [7 8],[23.07692308 26.92307692] ; [6.92307692 8.07692308],0
a3,1,0.977031,0.000829,[19 29] ; [6 9],[19.04761905 28.95238095] ; [5.95238095 9.04761905],0
