Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,19.077943,[ 4 25] ; [21  9],[12.28813559 16.71186441] ; [12.71186441 17.28813559],1
s6,1,3.3e-05,17.240423,[12 16] ; [28  2],[19.31034483  8.68965517] ; [20.68965517  9.31034483],1
s5,1,0.005736,7.631579,[ 5 24] ; [15 14],[10. 19.] ; [10. 19.],0
s8,1,0.007874,7.062003,[ 5 24] ; [15 15],[ 9.83050847 19.16949153] ; [10.16949153 19.83050847],0
p2,1,0.028547,4.794698,[16 12] ; [25  5],[19.79310345  8.20689655] ; [21.20689655  8.79310345],0
n3,1,0.054319,3.702857,[3 6] ; [11  4],[5.25 3.75] ; [8.75 6.25],0
a2,1,0.06078,3.515976,[ 3 26] ; [ 9 21],[ 5.89830508 23.10169492] ; [ 6.10169492 23.89830508],0
r4,1,0.062046,3.481829,[22  7] ; [28  2],[24.57627119  4.42372881] ; [25.42372881  4.57627119],0
u1,1,0.079177,3.081714,[ 2 27] ; [ 7 23],[ 4.42372881 24.57627119] ; [ 4.57627119 25.42372881],0
a7,1,0.082924,3.006642,[21  8] ; [27  3],[23.59322034  5.40677966] ; [24.40677966  5.59322034],0
d1,1,0.090047,2.873532,[11 18] ; [18 12],[14.25423729 14.74576271] ; [14.74576271 15.25423729],0
u3,1,0.108664,2.573545,[4 5] ; [8 2],[5.68421053 3.31578947] ; [6.31578947 3.68421053],0
p8,1,0.114884,2.485714,[11 17] ; [18 12],[14. 14.] ; [15. 15.],0
d2,1,0.119431,2.424773,[ 7 22] ; [13 17],[ 9.83050847 19.16949153] ; [10.16949153 19.83050847],0
a6,1,0.138058,2.199472,[17 12] ; [23  7],[19.66101695  9.33898305] ; [20.33898305  9.66101695],0
n6,1,0.161854,1.956815,[17 12] ; [22  7],[19.5  9.5] ; [19.5  9.5],0
b4,1,0.232666,1.424486,[17 12] ; [22  8],[19.16949153  9.83050847] ; [19.83050847 10.16949153],0
p7,1,0.235533,1.407132,[14 14] ; [19 10],[16.21052632 11.78947368] ; [16.78947368 12.21052632],0
s7,1,0.240451,1.377948,[ 8 19] ; [13 16],[10.125 16.875] ; [10.875 18.125],0
p4,1,0.283832,1.148649,[11 17] ; [16 14],[13.03448276 14.96551724] ; [13.96551724 16.03448276],0
v4,1,0.284175,1.147017,[26  3] ; [29  1],[27.03389831  1.96610169] ; [27.96610169  2.03389831],0
b1,1,0.286734,1.134892,[ 7 22] ; [ 4 26],[ 5.40677966 23.59322034] ; [ 5.59322034 24.40677966],0
d5,1,0.330495,0.946959,[20  9] ; [24  6],[21.62711864  7.37288136] ; [22.37288136  7.62711864],0
a5,1,0.361431,0.832914,[17 12] ; [21  9],[18.6779661 10.3220339] ; [19.3220339 10.6779661],0
n2,1,0.371093,0.8,[5 4] ; [11  4],[6. 3.] ; [10.  5.],0
d4,1,0.416662,0.659711,[24  5] ; [27  3],[25.06779661  3.93220339] ; [25.93220339  4.06779661],0
p10,1,0.421427,0.646333,[23  5] ; [22  8],[21.72413793  6.27586207] ; [23.27586207  6.72413793],0
a4,1,0.435589,0.607875,[ 7 22] ; [10 20],[ 8.3559322 20.6440678] ; [ 8.6440678 21.3559322],0
p12,1,0.439184,0.598413,[ 2 26] ; [ 4 26],[ 2.89655172 25.10344828] ; [ 3.10344828 26.89655172],0
v2,1,0.472575,0.515948,[21  7] ; [24  5],[22.10526316  5.89473684] ; [22.89473684  6.10526316],0
r1,1,0.475997,0.508019,[22  7] ; [25  5],[23.10169492  5.89830508] ; [23.89830508  6.10169492],0
d3,1,0.493494,0.4689,[21  8] ; [24  6],[22.11864407  6.88135593] ; [22.88135593  7.11864407],0
b5,1,0.5221,0.409742,[15 14] ; [18 12],[16.22033898 12.77966102] ; [16.77966102 13.22033898],0
s1,1,0.533393,0.387924,[ 2 27] ; [ 1 29],[ 1.47457627 27.52542373] ; [ 1.52542373 28.47457627],0
p3,1,0.533831,0.387093,[ 9 19] ; [12 18],[10.13793103 17.86206897] ; [10.86206897 19.13793103],0
p1,1,0.553257,0.351515,[ 2 27] ; [ 1 28],[ 1.5 27.5] ; [ 1.5 27.5],0
p5,1,0.583129,0.301204,[ 3 25] ; [ 2 28],[ 2.4137931 25.5862069] ; [ 2.5862069 27.4137931],0
a3,1,0.647747,0.208752,[20  9] ; [19 11],[19.16949153  9.83050847] ; [19.83050847 10.16949153],0
v1,1,0.672804,0.17834,[18 11] ; [17 13],[17.20338983 11.79661017] ; [17.79661017 12.20338983],0
p9,1,0.688815,0.160371,[22  6] ; [24  5],[22.59649123  5.40350877] ; [23.40350877  5.59649123],0
u2,1,0.822187,0.050505,[7 2] ; [9 2],[7.2 1.8] ; [8.8 2.2],0
p6,1,0.848177,0.036651,[ 4 23] ; [ 5 25],[ 4.26315789 22.73684211] ; [ 4.73684211 25.26315789],0
n5,1,0.92571,0.008694,[10 19] ; [10 20],[ 9.83050847 19.16949153] ; [10.16949153 19.83050847],0
p11,1,0.92571,0.008694,[19 10] ; [20 10],[19.16949153  9.83050847] ; [19.83050847 10.16949153],0
b2,1,0.93021,0.00767,[5 7] ; [6 9],[4.88888889 7.11111111] ; [6.11111111 8.88888889],0
b3,1,0.93021,0.00767,[5 7] ; [6 9],[4.88888889 7.11111111] ; [6.11111111 8.88888889],0
s4,1,0.942103,0.005275,[ 7 22] ; [ 7 23],[ 6.88135593 22.11864407] ; [ 7.11864407 22.88135593],0
