Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.018195,5.577232,[27  3] ; [5 4],[24.61538462  5.38461538] ; [7.38461538 1.61538462],0
d4,1,0.01911,5.491379,[25  5] ; [4 5],[22.30769231  7.69230769] ; [6.69230769 2.30769231],0
b5,1,0.030019,4.708201,[19 11] ; [2 7],[16.15384615 13.84615385] ; [4.84615385 4.15384615],0
r1,1,0.042638,4.109677,[26  4] ; [5 4],[23.84615385  6.15384615] ; [7.15384615 1.84615385],0
n1,1,0.05778,3.6,[1 4] ; [4 1],[2.5 2.5] ; [2.5 2.5],0
a3,1,0.077161,3.123714,[17 13] ; [8 1],[19.23076923 10.76923077] ; [5.76923077 3.23076923],0
s2,1,0.122325,2.387291,[21  8] ; [4 5],[19.07894737  9.92105263] ; [5.92105263 3.07894737],0
n3,1,0.136844,2.213095,[2 3] ; [5 1],[3.18181818 1.81818182] ; [3.81818182 2.18181818],0
a5,1,0.140501,2.17246,[15 15] ; [7 2],[16.92307692 13.07692308] ; [5.07692308 3.92307692],0
d1,1,0.15929,1.980952,[18 12] ; [3 6],[16.15384615 13.84615385] ; [4.84615385 4.15384615],0
b3,1,0.192969,1.694805,[ 5 20] ; [2 2],[ 6.03448276 18.96551724] ; [0.96551724 3.03448276],0
b2,1,0.192969,1.694805,[ 5 20] ; [2 2],[ 6.03448276 18.96551724] ; [0.96551724 3.03448276],0
s7,1,0.207717,1.587265,[19  9] ; [4 5],[17.40540541 10.59459459] ; [5.59459459 3.40540541],0
d2,1,0.21934,1.508684,[17 13] ; [3 6],[15.38461538 14.61538462] ; [4.61538462 4.38461538],0
v1,1,0.253555,1.303611,[13 17] ; [2 7],[11.53846154 18.46153846] ; [3.46153846 5.53846154],0
d3,1,0.3123,1.020924,[19 11] ; [4 5],[17.69230769 12.30769231] ; [5.30769231 3.69230769],0
s3,1,0.341864,0.903429,[21  8] ; [5 4],[19.84210526  9.15789474] ; [6.15789474 2.84210526],0
r2,1,0.353512,0.860811,[29  1] ; [8 1],[28.46153846  1.53846154] ; [8.53846154 0.46153846],0
v3,1,0.430935,0.620303,[14 15] ; [3 6],[12.97368421 16.02631579] ; [4.02631579 4.97368421],0
a2,1,0.516836,0.420202,[ 4 26] ; [2 7],[ 4.61538462 25.38461538] ; [1.38461538 7.61538462],0
p4,1,0.518871,0.416138,[17 13] ; [4 5],[16.15384615 13.84615385] ; [4.84615385 4.15384615],0
p3,1,0.542227,0.371429,[10 20] ; [4 5],[10.76923077 19.23076923] ; [3.23076923 5.76923077],0
n4,1,0.546788,0.363103,[23  7] ; [6 3],[22.30769231  7.69230769] ; [6.69230769 2.30769231],0
s1,1,0.586682,0.295556,[ 2 28] ; [1 7],[ 2.36842105 27.63157895] ; [0.63157895 7.36842105],0
p8,1,0.592704,0.286141,[13 17] ; [3 6],[12.30769231 17.69230769] ; [3.69230769 5.30769231],0
a7,1,0.674012,0.176944,[19 11] ; [5 4],[18.46153846 11.53846154] ; [5.53846154 3.46153846],0
b4,1,0.696681,0.151948,[22  8] ; [6 3],[21.53846154  8.46153846] ; [6.46153846 2.53846154],0
p2,1,0.696681,0.151948,[22  8] ; [6 3],[21.53846154  8.46153846] ; [6.46153846 2.53846154],0
n5,1,0.696681,0.151948,[22  8] ; [6 3],[21.53846154  8.46153846] ; [6.46153846 2.53846154],0
a4,1,0.696681,0.151948,[ 8 22] ; [3 6],[ 8.46153846 21.53846154] ; [2.53846154 6.46153846],0
u1,1,0.703273,0.145089,[ 5 25] ; [2 7],[ 5.38461538 24.61538462] ; [1.61538462 7.38461538],0
p11,1,0.718432,0.13,[18 12] ; [6 3],[18.46153846 11.53846154] ; [5.53846154 3.46153846],0
a6,1,0.718432,0.13,[18 12] ; [6 3],[18.46153846 11.53846154] ; [5.53846154 3.46153846],0
p6,1,0.739805,0.110298,[ 8 21] ; [3 6],[ 8.39473684 20.60526316] ; [2.60526316 6.39473684],0
s5,1,0.740947,0.109296,[ 9 20] ; [2 6],[ 8.62162162 20.37837838] ; [2.37837838 5.62162162],0
n2,1,0.793428,0.068571,[4 1] ; [6 1],[4.16666667 0.83333333] ; [5.83333333 1.16666667],0
p7,1,0.840617,0.040443,[15 14] ; [5 4],[15.26315789 13.73684211] ; [4.73684211 4.26315789],0
b1,1,0.849286,0.036111,[21  9] ; [6 3],[20.76923077  9.23076923] ; [6.23076923 2.76923077],0
r4,1,0.923233,0.009286,[27  3] ; [8 1],[26.92307692  3.07692308] ; [8.07692308 0.92307692],0
n6,1,0.94468,0.004815,[23  7] ; [7 2],[23.07692308  6.92307692] ; [6.92307692 2.07692308],0
p10,1,0.952986,0.003476,[13 17] ; [4 5],[13.07692308 16.92307692] ; [3.92307692 5.07692308],0
v2,1,0.983888,0.000408,[16 13] ; [5 4],[16.02631579 12.97368421] ; [4.97368421 4.02631579],0
