Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,25.027638,[31 52] ; [30  4],[43.27350427 39.72649573] ; [17.72649573 16.27350427],1
p12,1,0.00027,13.27043,[ 2 81] ; [ 8 27],[ 7.03389831 75.96610169] ; [ 2.96610169 32.03389831],1
b4,1,0.018031,5.593146,[48 36] ; [28  7],[53.64705882 30.35294118] ; [22.35294118 12.64705882],0
p8,1,0.034442,4.472633,[56 28] ; [30  5],[60.70588235 23.29411765] ; [25.29411765  9.70588235],0
v1,1,0.042401,4.11913,[40 43] ; [24 11],[45.01694915 37.98305085] ; [18.98305085 16.01694915],0
p9,1,0.048742,3.884202,[67 17] ; [33  2],[70.58823529 13.41176471] ; [29.41176471  5.58823529],0
n4,1,0.059101,3.562439,[58 26] ; [30  5],[62.11764706 21.88235294] ; [25.88235294  9.11764706],0
n1,1,0.104355,2.637698,[ 4 14] ; [3 2],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
p10,1,0.111875,2.527526,[62 20] ; [31  4],[65.17948718 16.82051282] ; [27.82051282  7.17948718],0
n5,1,0.113455,2.505428,[57 26] ; [29  6],[60.49152542 22.50847458] ; [25.50847458  9.49152542],0
d2,1,0.122853,2.380563,[35 49] ; [20 15],[38.82352941 45.17647059] ; [16.17647059 18.82352941],0
u1,1,0.128674,2.308434,[10 74] ; [ 8 27],[12.70588235 71.29411765] ; [ 5.29411765 29.70588235],0
d1,1,0.130909,2.281696,[45 39] ; [24 11],[48.70588235 35.29411765] ; [20.29411765 14.70588235],0
p4,1,0.190796,1.711461,[60 24] ; [29  6],[62.82352941 21.17647059] ; [26.17647059  8.82352941],0
s3,1,0.19111,1.709043,[30 54] ; [17 18],[33.17647059 50.82352941] ; [13.82352941 21.17647059],0
r4,1,0.210114,1.57064,[76  8] ; [34  1],[77.64705882  6.35294118] ; [32.35294118  2.64705882],0
a7,1,0.252333,1.310343,[60 23] ; [28  6],[62.42735043 20.57264957] ; [25.57264957  8.42735043],0
r2,1,0.265063,1.242118,[75  7] ; [34  1],[76.39316239  5.60683761] ; [32.60683761  2.39316239],0
v4,1,0.277048,1.181513,[77  7] ; [34  1],[78.35294118  5.64705882] ; [32.64705882  2.35294118],0
u2,1,0.277129,1.181114,[19 18] ; [4 8],[17.36734694 19.63265306] ; [5.63265306 6.36734694],0
a5,1,0.289629,1.121346,[54 30] ; [26  9],[56.47058824 27.52941176] ; [23.52941176 11.47058824],0
a8,1,0.30541,1.050423,[11 69] ; [ 2 28],[ 9.45454545 70.54545455] ; [ 3.54545455 26.45454545],0
a3,1,0.32418,0.972007,[47 37] ; [23 12],[49.41176471 34.58823529] ; [20.58823529 14.41176471],0
p5,1,0.325828,0.965408,[ 7 77] ; [ 5 30],[ 8.47058824 75.52941176] ; [ 3.52941176 31.47058824],0
a2,1,0.330407,0.947303,[15 69] ; [ 9 26],[16.94117647 67.05882353] ; [ 7.05882353 27.94117647],0
b3,1,0.33124,0.944044,[19 29] ; [10  9],[20.7761194 27.2238806] ; [ 8.2238806 10.7761194],0
