Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.004186,8.20131,[16 18] ; [19 71],[ 9.59677419 24.40322581] ; [25.40322581 64.59677419],0
p7,1,0.007851,7.067233,[20 14] ; [29 60],[13.54471545 20.45528455] ; [35.45528455 53.54471545],0
r4,1,0.028218,4.814706,[27  7] ; [53 38],[21.76 12.24] ; [58.24 32.76],0
u3,1,0.043675,4.069068,[11  4] ; [19 25],[7.62711864 7.37288136] ; [22.37288136 21.62711864],0
r3,1,0.043868,4.061625,[30  4] ; [63 26],[25.70731707  8.29268293] ; [67.29268293 21.70731707],0
p4,1,0.045949,3.983477,[16 18] ; [25 64],[11.33333333 22.66666667] ; [29.66666667 59.33333333],0
a2,1,0.059288,3.557192,[ 2 32] ; [18 73],[ 5.44 28.56] ; [14.56 76.44],0
p2,1,0.096368,2.76464,[21 13] ; [41 50],[16.864 17.136] ; [45.136 45.864],0
a5,1,0.108824,2.571221,[23 11] ; [47 44],[19.04 14.96] ; [50.96 40.04],0
s8,1,0.109514,2.561225,[ 6 28] ; [ 7 83],[ 3.56451613 30.43548387] ; [ 9.43548387 80.56451613],0
p10,1,0.131694,2.272424,[10 23] ; [16 74],[ 6.97560976 26.02439024] ; [19.02439024 70.97560976],0
v1,1,0.154463,2.027617,[13 21] ; [23 68],[ 9.792 24.208] ; [26.208 64.792],0
b5,1,0.158285,1.99053,[15 19] ; [53 38],[18.496 15.504] ; [49.504 41.496],0
r2,1,0.16037,1.970731,[31  3] ; [71 17],[28.42622951  5.57377049] ; [73.57377049 14.42622951],0
v2,1,0.180263,1.795455,[ 9 24] ; [36 53],[12.17213115 20.82786885] ; [32.82786885 56.17213115],0
b4,1,0.182034,1.78094,[18 16] ; [60 31],[21.216 12.784] ; [56.784 34.216],0
n1,1,0.210682,1.566733,[7 6] ; [13 25],[5.09803922 7.90196078] ; [14.90196078 23.09803922],0
s7,1,0.233069,1.422033,[ 8 23] ; [14 73],[ 5.77966102 25.22033898] ; [16.22033898 70.77966102],0
v4,1,0.301967,1.065485,[27  5] ; [68 22],[24.91803279  7.08196721] ; [70.08196721 19.91803279],0
s1,1,0.302969,1.06108,[ 3 29] ; [ 4 86],[ 1.83606557 30.16393443] ; [ 5.16393443 84.83606557],0
u1,1,0.311833,1.022894,[ 2 32] ; [11 80],[ 3.536 30.464] ; [ 9.464 81.536],0
r1,1,0.337397,0.920297,[25  9] ; [58 32],[22.75806452 11.24193548] ; [60.24193548 29.75806452],0
p3,1,0.338749,0.91516,[10 23] ; [20 71],[ 7.98387097 25.01612903] ; [22.01612903 68.98387097],0
