Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000462,12.2651,[ 1 49] ; [13 36],[ 7.07070707 42.92929293] ; [ 6.92929293 42.07070707],1
n4,1,0.004124,8.228281,[20 33] ; [33 17],[27.27184466 25.72815534] ; [25.72815534 24.27184466],0
u3,1,0.014205,6.012494,[18  7] ; [ 8 14],[13.82978723 11.17021277] ; [12.17021277  9.82978723],0
d4,1,0.014369,5.992173,[35 18] ; [21 29],[28.81553398 24.18446602] ; [27.18446602 22.81553398],0
r1,1,0.023933,5.099487,[38 15] ; [25 25],[32.41747573 20.58252427] ; [30.58252427 19.41747573],0
p1,1,0.053248,3.736134,[ 8 44] ; [ 2 48],[ 5.09803922 46.90196078] ; [ 4.90196078 45.09803922],0
p9,1,0.054328,3.70259,[26 27] ; [32 15],[30.74 22.26] ; [27.26 19.74],0
b4,1,0.060672,3.518925,[31 22] ; [20 30],[26.24271845 26.75728155] ; [24.75728155 25.24271845],0
r3,1,0.066002,3.379763,[44  9] ; [33 16],[40.00980392 12.99019608] ; [36.99019608 12.00980392],0
n1,1,0.092842,2.824387,[ 4 12] ; [11 10],[6.48648649 9.51351351] ; [ 8.51351351 12.48648649],0
p7,1,0.093079,2.820296,[20 32] ; [26 21],[24.16161616 27.83838384] ; [21.83838384 25.16161616],0
s1,1,0.112863,2.51367,[ 5 48] ; [ 1 48],[ 3.11764706 49.88235294] ; [ 2.88235294 46.11764706],0
a6,1,0.115966,2.470972,[28 25] ; [34 16],[31.90291262 21.09708738] ; [30.09708738 19.90291262],0
d2,1,0.144516,2.129202,[ 6 47] ; [11 39],[ 8.74757282 44.25242718] ; [ 8.25242718 41.74757282],0
a2,1,0.149071,2.081734,[ 1 52] ; [ 4 46],[ 2.57281553 50.42718447] ; [ 2.42718447 47.57281553],0
v3,1,0.158709,1.986486,[15 34] ; [ 9 40],[12. 37.] ; [12. 37.],0
p10,1,0.167714,1.903262,[22 31] ; [26 21],[25.44 27.56] ; [22.56 24.44],0
p3,1,0.177309,1.820037,[18 35] ; [11 39],[14.9223301 38.0776699] ; [14.0776699 35.9223301],0
r4,1,0.212404,1.554966,[36 17] ; [28 22],[32.93203883 20.06796117] ; [31.06796117 18.93203883],0
v1,1,0.220103,1.503701,[24 29] ; [16 32],[20.99009901 32.00990099] ; [19.00990099 28.99009901],0
b1,1,0.258186,1.278457,[27 26] ; [31 19],[29.84466019 23.15533981] ; [28.15533981 21.84466019],0
p6,1,0.33745,0.920095,[ 8 44] ; [11 37],[ 9.88 42.12] ; [ 9.12 38.88],0
a4,1,0.391337,0.734783,[11 42] ; [14 36],[12.86407767 40.13592233] ; [12.13592233 37.86407767],0
s6,1,0.400612,0.70649,[18 35] ; [21 29],[20.06796117 32.93203883] ; [18.93203883 31.06796117],0
a7,1,0.46343,0.537598,[28 25] ; [30 20],[29.84466019 23.15533981] ; [28.15533981 21.84466019],0
a5,1,0.488355,0.480148,[28 25] ; [23 27],[26.24271845 26.75728155] ; [24.75728155 25.24271845],0
r2,1,0.492037,0.472068,[42 11] ; [36 13],[40.52941176 12.47058824] ; [37.47058824 11.52941176],0
p5,1,0.500315,0.454269,[ 1 52] ; [ 2 46],[ 1.57425743 51.42574257] ; [ 1.42574257 46.57425743],0
u2,1,0.509867,0.43434,[16  9] ; [12 10],[14.89361702 10.10638298] ; [13.10638298  8.89361702],0
s2,1,0.513431,0.427068,[18 35] ; [14 36],[16.46601942 36.53398058] ; [15.53398058 34.46601942],0
v4,1,0.52221,0.409526,[42 10] ; [37 12],[40.67326733 11.32673267] ; [38.32673267 10.67326733],0
a3,1,0.530288,0.39384,[27 26] ; [28 21],[28.57843137 24.42156863] ; [26.42156863 22.57843137],0
s8,1,0.558975,0.341482,[12 41] ; [ 9 41],[10.80582524 42.19417476] ; [10.19417476 39.80582524],0
s7,1,0.559311,0.340899,[12 37] ; [14 33],[13.27083333 35.72916667] ; [12.72916667 34.27083333],0
d3,1,0.60698,0.264597,[21 32] ; [17 32],[19.74509804 33.25490196] ; [18.25490196 30.74509804],0
v2,1,0.609492,0.260915,[16 34] ; [17 29],[17.1875 32.8125] ; [15.8125 30.1875],0
b5,1,0.639193,0.219799,[30 23] ; [26 24],[28.81553398 24.18446602] ; [27.18446602 22.81553398],0
a1,1,0.659518,0.19411,[ 4 49] ; [ 5 45],[ 4.63106796 48.36893204] ; [ 4.36893204 45.63106796],0
p2,1,0.669466,0.182227,[35 18] ; [31 19],[33.96116505 19.03883495] ; [32.03883495 17.96116505],0
s3,1,0.679649,0.170521,[25 27] ; [22 28],[23.96078431 28.03921569] ; [23.03921569 26.96078431],0
s4,1,0.691352,0.157625,[ 8 45] ; [ 9 41],[ 8.74757282 44.25242718] ; [ 8.25242718 41.74757282],0
d5,1,0.773934,0.082503,[28 25] ; [25 25],[27.27184466 25.72815534] ; [25.72815534 24.27184466],0
s5,1,0.811999,0.056571,[ 8 42] ; [ 7 42],[ 7.57575758 42.42424242] ; [ 7.42424242 41.57575758],0
p8,1,0.850068,0.035733,[19 34] ; [16 31],[18.55 34.45] ; [16.45 30.55],0
n2,1,0.870754,0.026472,[12  4] ; [17  5],[12.21052632  3.78947368] ; [16.78947368  5.21052632],0
n3,1,0.922995,0.009343,[10  5] ; [15  7],[10.13513514  4.86486486] ; [14.86486486  7.13513514],0
p11,1,0.941795,0.005331,[29 24] ; [27 23],[28.81553398 24.18446602] ; [27.18446602 22.81553398],0
u1,1,0.966806,0.001732,[ 1 52] ; [ 1 49],[ 1.02912621 51.97087379] ; [ 0.97087379 49.02912621],0
p4,1,0.996776,1.6e-05,[18 35] ; [17 33],[18.00970874 34.99029126] ; [16.99029126 33.00970874],0
b3,1,1.0,0.0,[ 7 19] ; [ 7 19],[ 7. 19.] ; [ 7. 19.],0
b2,1,1.0,0.0,[ 7 19] ; [ 7 19],[ 7. 19.] ; [ 7. 19.],0
