Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3e-06,21.754503,[89 81] ; [57 10],[104.7257384  65.2742616] ; [41.2742616 25.7257384],1
s2,1,4e-06,21.452181,[ 57 114] ; [45 23],[72.9790795 98.0209205] ; [29.0209205 38.9790795],1
s3,1,5.6e-05,16.231121,[71 96] ; [48 19],[84.92735043 82.07264957] ; [34.07264957 32.92735043],1
s8,1,0.0001,15.134475,[ 54 117] ; [40 28],[ 67.25523013 103.74476987] ; [26.74476987 41.25523013],1
p5,1,0.000352,12.773538,[  8 164] ; [13 55],[ 15.05 156.95] ; [ 5.95 62.05],1
s7,1,0.001111,10.632211,[ 61 101] ; [41 26],[72.15720524 89.84279476] ; [29.84279476 37.15720524],0
v3,1,0.001653,9.899657,[ 57 109] ; [38 29],[67.68240343 98.31759657] ; [27.31759657 39.68240343],0
b5,1,0.007231,7.21463,[105  67] ; [29 40],[95.63485477 76.36514523] ; [38.36514523 30.63485477],0
b3,1,0.007751,7.09005,[22 73] ; [20 24],[28.70503597 66.29496403] ; [13.29496403 30.70503597],0
b2,1,0.007751,7.09005,[22 73] ; [20 24],[28.70503597 66.29496403] ; [13.29496403 30.70503597],0
r4,1,0.009627,6.702693,[147  25] ; [67  2],[152.73029046  19.26970954] ; [61.26970954  7.73029046],0
p7,1,0.0117,6.355725,[116  53] ; [56 10],[123.69361702  45.30638298] ; [48.30638298 17.69361702],0
n6,1,0.014265,6.00509,[136  35] ; [63  5],[142.38075314  28.61924686] ; [56.61924686 11.38075314],0
n3,1,0.025248,5.006822,[19 15] ; [11  1],[22.17391304 11.82608696] ; [7.82608696 4.17391304],0
d1,1,0.028543,4.794978,[88 84] ; [46 23],[95.63485477 76.36514523] ; [38.36514523 30.63485477],0
r1,1,0.033319,4.529305,[133  38] ; [61  7],[138.80334728  32.19665272] ; [55.19665272 12.80334728],0
a3,1,0.048017,3.909391,[106  65] ; [52 17],[112.575  58.425] ; [45.425 23.575],0
p9,1,0.051402,3.795121,[140  29] ; [63  5],[144.75527426  24.24472574] ; [58.24472574  9.75527426],0
p10,1,0.053227,3.736765,[141  29] ; [63  5],[145.71428571  24.28571429] ; [58.28571429  9.71428571],0
p2,1,0.054012,3.712326,[149  22] ; [65  3],[153.11297071  17.88702929] ; [60.88702929  7.11297071],0
v2,1,0.065977,3.380365,[88 75] ; [45 22],[94.25652174 68.74347826] ; [38.74347826 28.25652174],0
d2,1,0.073334,3.206772,[ 68 104] ; [36 33],[74.22406639 97.77593361] ; [29.77593361 39.22406639],0
u1,1,0.079164,3.08199,[ 18 154] ; [13 56],[ 22.12448133 149.87551867] ; [ 8.87551867 60.12448133],0
n2,1,0.103294,2.653931,[23 11] ; [11  1],[25.13043478  8.86956522] ; [8.86956522 3.13043478],0
r2,1,0.104259,2.639159,[154  15] ; [67  2],[156.92857143  12.07142857] ; [64.07142857  4.92857143],0
v1,1,0.118919,2.431501,[80 88] ; [40 28],[85.42372881 82.57627119] ; [34.57627119 33.42372881],0
d4,1,0.129385,2.299867,[132  40] ; [59 10],[136.3153527  35.6846473] ; [54.6846473 14.3153527],0
v4,1,0.150072,2.071517,[161  10] ; [66  1],[163.09663866   7.90336134] ; [63.90336134  3.09663866],0
