Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000211,13.732203,[ 8 26] ; [18  7],[14.98305085 19.01694915] ; [11.01694915 13.98305085],1
s8,1,0.000746,11.370697,[ 4 30] ; [13 12],[ 9.79661017 24.20338983] ; [ 7.20338983 17.79661017],1
r1,1,0.001207,10.479257,[10 24] ; [18  7],[16.13559322 17.86440678] ; [11.86440678 13.13559322],0
s7,1,0.001676,9.873891,[ 4 29] ; [12 12],[ 9.26315789 23.73684211] ; [ 6.73684211 17.26315789],0
s2,1,0.004997,7.880671,[ 7 27] ; [14 11],[12.10169492 21.89830508] ; [ 8.89830508 16.10169492],0
p9,1,0.006386,7.438061,[18 15] ; [22  3],[22.75862069 10.24137931] ; [17.24137931  7.75862069],0
p10,1,0.007608,7.123459,[16 16] ; [21  4],[20.77192982 11.22807018] ; [16.22807018  8.77192982],0
r4,1,0.008107,7.009742,[19 15] ; [22  3],[23.62711864 10.37288136] ; [17.37288136  7.62711864],0
s4,1,0.0239,5.101896,[ 3 31] ; [ 8 17],[ 6.33898305 27.66101695] ; [ 4.66101695 20.33898305],0
s5,1,0.044573,4.034729,[ 2 32] ; [ 6 19],[ 4.61016949 29.38983051] ; [ 3.38983051 21.61016949],0
v3,1,0.049752,3.849794,[ 2 31] ; [ 6 19],[ 4.55172414 28.44827586] ; [ 3.44827586 21.55172414],0
n6,1,0.070308,3.275826,[18 16] ; [19  6],[21.3220339 12.6779661] ; [15.6779661  9.3220339],0
v2,1,0.070998,3.259784,[ 8 24] ; [12 13],[11.22807018 20.77192982] ; [ 8.77192982 16.22807018],0
a5,1,0.078759,3.090332,[10 24] ; [13 12],[13.25423729 20.74576271] ; [ 9.74576271 15.25423729],0
p8,1,0.094368,2.798235,[10 23] ; [13 12],[13.0862069 19.9137931] ; [ 9.9137931 15.0862069],0
p3,1,0.103766,2.646688,[ 7 27] ; [10 15],[ 9.79661017 24.20338983] ; [ 7.20338983 17.79661017],0
s3,1,0.144559,2.128741,[10 24] ; [12 13],[12.6779661 21.3220339] ; [ 9.3220339 15.6779661],0
p4,1,0.199421,1.64661,[12 22] ; [13 12],[14.40677966 19.59322034] ; [10.59322034 14.40677966],0
d5,1,0.23372,1.418076,[12 21] ; [13 12],[14.22413793 18.77586207] ; [10.77586207 14.22413793],0
r2,1,0.261167,1.262558,[26  8] ; [22  3],[27.66101695  6.33898305] ; [20.33898305  4.66101695],0
n1,1,0.269007,1.221805,[ 6 12] ; [1 7],[ 4.84615385 13.15384615] ; [2.15384615 5.84615385],0
v1,1,0.29596,1.092312,[ 8 26] ; [ 9 16],[ 9.79661017 24.20338983] ; [ 7.20338983 17.79661017],0
p11,1,0.296227,1.091104,[20 14] ; [18  7],[21.89830508 12.10169492] ; [16.10169492  8.89830508],0
b1,1,0.325278,0.967606,[18 16] ; [10 15],[16.13559322 17.86440678] ; [11.86440678 13.13559322],0
p6,1,0.337628,0.919416,[ 9 25] ; [ 4 21],[ 7.49152542 26.50847458] ; [ 5.50847458 19.49152542],0
a7,1,0.341697,0.904054,[17 16] ; [16  9],[18.77586207 14.22413793] ; [14.22413793 10.77586207],0
n5,1,0.37289,0.794011,[13 21] ; [12 12],[14.65517241 19.34482759] ; [10.34482759 13.65517241],0
p5,1,0.413415,0.668958,[ 1 31] ; [ 2 23],[ 1.68421053 30.31578947] ; [ 1.31578947 23.68421053],0
d3,1,0.426587,0.632097,[ 5 27] ; [ 6 19],[ 6.1754386 25.8245614] ; [ 4.8245614 20.1754386],0
a4,1,0.638671,0.220484,[ 4 30] ; [ 4 21],[ 4.61016949 29.38983051] ; [ 3.38983051 21.61016949],0
p7,1,0.672407,0.1788,[19 14] ; [13 12],[18.20689655 14.79310345] ; [13.79310345 11.20689655],0
b5,1,0.707548,0.140738,[16 18] ; [13 12],[16.71186441 17.28813559] ; [12.28813559 12.71186441],0
n2,1,0.732462,0.116863,[13  6] ; [6 2],[13.37037037  5.62962963] ; [5.62962963 2.37037037],0
d2,1,0.746535,0.104466,[ 8 26] ; [ 5 20],[ 7.49152542 26.50847458] ; [ 5.50847458 19.49152542],0
p1,1,0.772845,0.083322,[ 2 31] ; [ 2 23],[ 2.27586207 30.72413793] ; [ 1.72413793 23.27586207],0
u2,1,0.797004,0.066165,[ 9 10] ; [6 8],[ 8.63636364 10.36363636] ; [6.36363636 7.63636364],0
n3,1,0.826102,0.048269,[16  3] ; [7 1],[16.18518519  2.81481481] ; [6.81481481 1.18518519],0
b4,1,0.828302,0.047037,[14 20] ; [11 14],[14.40677966 19.59322034] ; [10.59322034 14.40677966],0
u3,1,0.881162,0.022349,[ 9 10] ; [7 7],[9.21212121 9.78787879] ; [6.78787879 7.21212121],0
p2,1,0.914674,0.01148,[22 11] ; [17  8],[22.18965517 10.81034483] ; [16.81034483  8.18965517],0
a8,1,0.920483,0.009965,[ 3 30] ; [ 2 22],[ 2.89473684 30.10526316] ; [ 2.10526316 21.89473684],0
v4,1,0.988804,0.000197,[29  4] ; [22  3],[29.01724138  3.98275862] ; [21.98275862  3.01724138],0
a3,1,0.992824,8.1e-05,[15 19] ; [11 14],[14.98305085 19.01694915] ; [11.01694915 13.98305085],0
