Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.028071,[ 9 22] ; [100  33],[20.60365854 10.39634146] ; [88.39634146 44.60365854],1
v4,1,1.2e-05,19.163815,[20 11] ; [123   9],[27.19631902  3.80368098] ; [115.80368098  16.19631902],1
p10,1,0.006574,7.385939,[17 14] ; [103  28],[22.96296296  8.03703704] ; [97.03703704 33.96296296],0
s7,1,0.006775,7.331785,[ 4 25] ; [51 75],[10.29032258 18.70967742] ; [44.70967742 81.29032258],0
d5,1,0.013406,6.11467,[16 15] ; [98 34],[21.6809816  9.3190184] ; [92.3190184 39.6809816],0
p6,1,0.015615,5.845729,[ 4 26] ; [47 83],[ 9.5625 20.4375] ; [41.4375 88.5625],0
r3,1,0.01742,5.653575,[23  7] ; [122  11],[26.68711656  3.31288344] ; [118.31288344  14.68711656],0
s3,1,0.024529,5.056843,[ 8 23] ; [63 68],[13.58641975 17.41358025] ; [57.41358025 73.58641975],0
a7,1,0.040256,4.207068,[13 18] ; [82 50],[18.06748466 12.93251534] ; [76.93251534 55.06748466],0
a3,1,0.048818,3.881587,[13 18] ; [81 51],[17.87730061 13.12269939] ; [76.12269939 55.87730061],0
p7,1,0.051053,3.806535,[11 20] ; [72 59],[15.88271605 15.11728395] ; [67.11728395 63.88271605],0
v3,1,0.086335,2.941413,[ 6 25] ; [46 84],[10.01242236 20.98757764] ; [41.98757764 88.01242236],0
a4,1,0.095807,2.773985,[ 6 25] ; [46 86],[ 9.88957055 21.11042945] ; [42.11042945 89.88957055],0
p9,1,0.128735,2.307692,[21  9] ; [107  23],[24.  6.] ; [104.  26.],0
s8,1,0.134867,2.235571,[ 6 25] ; [44 89],[ 9.45121951 21.54878049] ; [40.54878049 92.45121951],0
p2,1,0.140731,2.169948,[20 11] ; [102  30],[23.20245399  7.79754601] ; [98.79754601 33.20245399],0
v1,1,0.143293,2.142236,[ 9 22] ; [56 73],[12.59375 18.40625] ; [52.40625 76.59375],0
s5,1,0.151367,2.058421,[ 5 26] ; [36 89],[ 8.1474359 22.8525641] ; [32.8525641 92.1474359],0
u3,1,0.165727,1.921178,[ 4 14] ; [21 31],[ 6.42857143 11.57142857] ; [18.57142857 33.42857143],0
p5,1,0.194432,1.683715,[ 5 26] ; [ 11 120],[ 3.0617284 27.9382716] ; [ 12.9382716 118.0617284],0
a8,1,0.213511,1.547456,[ 4 24] ; [  9 118],[ 2.3483871 25.6516129] ; [ 10.6516129 116.3483871],0
a5,1,0.258375,1.277442,[14 17] ; [75 58],[16.82317073 14.17682927] ; [72.17682927 60.82317073],0
p12,1,0.260248,1.26744,[ 3 28] ; [  6 126],[ 1.71165644 29.28834356] ; [  7.28834356 124.71165644],0
s6,1,0.266303,1.23569,[14 17] ; [72 56],[16.7672956 14.2327044] ; [69.2327044 58.7672956],0
b5,1,0.270983,1.211766,[17 14] ; [87 46],[19.65853659 11.34146341] ; [84.34146341 48.65853659],0
d1,1,0.279644,1.168818,[10 21] ; [57 76],[12.66463415 18.33536585] ; [54.33536585 78.66463415],0
s2,1,0.32986,0.949446,[11 20] ; [60 73],[13.42073171 17.57926829] ; [57.57926829 75.42073171],0
b1,1,0.348258,0.879796,[14 17] ; [48 85],[11.7195122 19.2804878] ; [50.2804878 82.7195122],0
v2,1,0.421815,0.645252,[11 20] ; [56 73],[12.98125 18.01875] ; [54.01875 74.98125],0
