Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.9e-05,18.30344,[ 19 138] ; [7 5],[ 24.15384615 132.84615385] ; [ 1.84615385 10.15384615],1
p12,1,0.003265,8.653214,[  3 157] ; [ 2 10],[  4.65116279 155.34883721] ; [ 0.34883721 11.65116279],0
p4,1,0.007913,7.053063,[69 89] ; [10  2],[73.42352941 84.57647059] ; [5.57647059 6.42352941],0
b5,1,0.00976,6.67823,[89 72] ; [ 2 10],[84.68786127 76.31213873] ; [6.31213873 5.68786127],0
p3,1,0.010254,6.59019,[59 99] ; [9 3],[63.2 94.8] ; [4.8 7.2],0
v1,1,0.030458,4.683272,[68 91] ; [9 3],[71.59649123 87.40350877] ; [5.40350877 6.59649123],0
r4,1,0.055359,3.671232,[131  30] ; [7 5],[128.42774566  32.57225434] ; [9.57225434 2.42774566],0
r3,1,0.068883,3.30945,[146  14] ; [9 3],[144.18604651  15.81395349] ; [10.81395349  1.18604651],0
s1,1,0.073032,3.213531,[  2 156] ; [ 1 11],[  2.78823529 155.21176471] ; [ 0.21176471 11.78823529],0
r2,1,0.105593,2.618975,[147   8] ; [10  2],[145.71856287   9.28143713] ; [11.28143713  0.71856287],0
p10,1,0.123283,2.375108,[113  46] ; [11  1],[115.29824561  43.70175439] ; [8.70175439 3.29824561],0
v3,1,0.149021,2.082245,[57 96] ; [7 5],[59.34545455 93.65454545] ; [4.65454545 7.34545455],0
b2,1,0.156206,2.010574,[40 55] ; [6 3],[42.01923077 52.98076923] ; [3.98076923 5.01923077],0
b3,1,0.156206,2.010574,[40 55] ; [6 3],[42.01923077 52.98076923] ; [3.98076923 5.01923077],0
p9,1,0.157971,1.993544,[115  42] ; [11  1],[117.05325444  39.94674556] ; [8.94674556 3.05325444],0
a7,1,0.16684,1.911111,[122  38] ; [7 5],[120.  40.] ; [9. 3.],0
p1,1,0.169068,1.891188,[ 10 151] ; [ 2 10],[ 11.16763006 149.83236994] ; [ 0.83236994 11.16763006],0
p11,1,0.169814,1.884584,[119  42] ; [11  1],[120.98265896  40.01734104] ; [9.01734104 2.98265896],0
p7,1,0.17782,1.815753,[88 72] ; [9 3],[90.23255814 69.76744186] ; [6.76744186 5.23255814],0
a5,1,0.237066,1.397959,[124  37] ; [11  1],[125.63583815  35.36416185] ; [9.36416185 2.63583815],0
p8,1,0.239398,1.384136,[78 81] ; [8 4],[79.96491228 79.03508772] ; [6.03508772 5.96491228],0
n5,1,0.254347,1.299268,[108  52] ; [10  2],[109.76744186  50.23255814] ; [8.23255814 3.76744186],0
d3,1,0.281317,1.160715,[139  22] ; [9 3],[137.73410405  23.26589595] ; [10.26589595  1.73410405],0
r1,1,0.360571,0.835904,[125  35] ; [8 4],[123.72093023  36.27906977] ; [9.27906977 2.72093023],0
d2,1,0.361927,0.831195,[113  46] ; [10  2],[114.36842105  44.63157895] ; [8.63157895 3.36842105],0
a2,1,0.374256,0.789484,[ 46 115] ; [ 2 10],[ 44.67052023 116.32947977] ; [3.32947977 8.67052023],0
n6,1,0.379473,0.77241,[129  32] ; [10  1],[130.11046512  30.88953488] ; [8.88953488 2.11046512],0
u1,1,0.392915,0.729903,[ 29 132] ; [ 1 11],[ 27.91907514 133.08092486] ; [2.08092486 9.91907514],0
s7,1,0.401407,0.704109,[ 34 116] ; [4 8],[ 35.18518519 114.81481481] ; [2.81481481 9.18518519],0
v4,1,0.414327,0.66635,[145  15] ; [10  2],[144.18604651  15.81395349] ; [10.81395349  1.18604651],0
s8,1,0.415917,0.661822,[ 37 124] ; [4 8],[ 38.15606936 122.84393064] ; [2.84393064 9.15606936],0
n2,1,0.4248,0.636999,[25 21] ; [3 1],[25.76 20.24] ; [2.24 1.76],0
p6,1,0.524724,0.404598,[ 42 114] ; [2 9],[ 41.10179641 114.89820359] ; [2.89820359 8.10179641],0
v2,1,0.543424,0.369231,[90 66] ; [8 4],[91. 65.] ; [7. 5.],0
p2,1,0.553777,0.350593,[118  42] ; [9 2],[118.83040936  41.16959064] ; [8.16959064 2.83040936],0
b4,1,0.570457,0.321919,[94 67] ; [6 6],[93.06358382 67.93641618] ; [6.93641618 5.06358382],0
u2,1,0.578975,0.307895,[18 18] ; [2 1],[18.46153846 17.53846154] ; [1.53846154 1.46153846],0
u3,1,0.609425,0.261013,[19 18] ; [2 1],[19.425 17.575] ; [1.575 1.425],0
b1,1,0.662501,0.1905,[ 57 104] ; [5 7],[ 57.69942197 103.30057803] ; [4.30057803 7.69942197],0
n3,1,0.670379,0.181159,[28 18] ; [2 2],[27.6 18.4] ; [2.4 1.6],0
a4,1,0.76928,0.086035,[87 73] ; [6 6],[86.51162791 73.48837209] ; [6.48837209 5.51162791],0
a3,1,0.841888,0.039792,[124  36] ; [9 3],[123.72093023  36.27906977] ; [9.27906977 2.72093023],0
n1,1,0.868951,0.027222,[13 32] ; [1 3],[12.85714286 32.14285714] ; [1.14285714 2.85714286],0
n4,1,0.872879,0.025601,[124  37] ; [9 3],[123.77456647  37.22543353] ; [9.22543353 2.77456647],0
s2,1,0.926374,0.008539,[ 28 130] ; [ 2 10],[ 27.88235294 130.11764706] ; [2.11764706 9.88235294],0
s3,1,0.980604,0.000591,[ 40 118] ; [3 9],[ 39.96470588 118.03529412] ; [3.03529412 8.96470588],0
a6,1,0.99042,0.000144,[121  40] ; [9 3],[120.98265896  40.01734104] ; [9.01734104 2.98265896],0
