Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.021282,5.303571,[ 5 17] ; [7 4],[ 8. 14.] ; [4. 7.],0
a3,1,0.048796,3.882353,[ 8 14] ; [8 3],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
a4,1,0.055511,3.666667,[ 2 20] ; [4 7],[ 4. 18.] ; [2. 9.],0
r4,1,0.077831,3.109615,[11 11] ; [2 9],[ 8.66666667 13.33333333] ; [4.33333333 6.66666667],0
b5,1,0.12471,2.357143,[12 10] ; [9 2],[14.  8.] ; [7. 4.],0
r3,1,0.1322,2.266484,[19  3] ; [7 4],[17.33333333  4.66666667] ; [8.66666667 2.33333333],0
a5,1,0.138011,2.2,[10 12] ; [8 3],[12. 10.] ; [6. 5.],0
b1,1,0.138011,2.2,[14  8] ; [4 7],[12. 10.] ; [6. 5.],0
b4,1,0.138011,2.2,[10 12] ; [8 3],[12. 10.] ; [6. 5.],0
s4,1,0.150962,2.0625,[ 7 15] ; [ 1 10],[ 5.33333333 16.66666667] ; [2.66666667 8.33333333],0
n6,1,0.191695,1.704545,[13  9] ; [9 2],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
p7,1,0.207821,1.586538,[15  7] ; [5 6],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
a8,1,0.210909,1.565175,[ 2 18] ; [3 8],[ 3.22580645 16.77419355] ; [1.77419355 9.22580645],0
a7,1,0.218143,1.516544,[13  9] ; [4 7],[11.33333333 10.66666667] ; [5.66666667 5.33333333],0
d1,1,0.29627,1.090909,[ 6 16] ; [5 6],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
a6,1,0.319137,0.992481,[14  8] ; [5 6],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
p6,1,0.407016,0.6875,[ 5 17] ; [4 7],[ 6. 16.] ; [3. 8.],0
p2,1,0.407016,0.6875,[17  5] ; [7 4],[16.  6.] ; [8. 3.],0
u2,1,0.432246,0.61678,[12  2] ; [2 1],[11.52941176  2.47058824] ; [2.47058824 0.52941176],0
n5,1,0.442695,0.589286,[13  9] ; [8 3],[14.  8.] ; [7. 4.],0
d3,1,0.442695,0.589286,[15  7] ; [6 5],[14.  8.] ; [7. 4.],0
r1,1,0.442695,0.589286,[ 7 15] ; [5 6],[ 8. 14.] ; [4. 7.],0
d5,1,0.442695,0.589286,[13  9] ; [8 3],[14.  8.] ; [7. 4.],0
p12,1,0.45067,0.568966,[ 2 20] ; [2 9],[ 2.66666667 19.33333333] ; [1.33333333 9.66666667],0
p10,1,0.592177,0.286957,[16  6] ; [7 4],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
s1,1,0.60594,0.266129,[ 1 21] ; [ 1 10],[ 1.33333333 20.66666667] ; [ 0.66666667 10.33333333],0
v1,1,0.61438,0.253846,[ 8 14] ; [5 6],[ 8.66666667 13.33333333] ; [4.33333333 6.66666667],0
s2,1,0.622301,0.242647,[10 12] ; [6 5],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
v2,1,0.622301,0.242647,[10 12] ; [6 5],[10.66666667 11.33333333] ; [5.33333333 5.66666667],0
b3,1,0.682665,0.167142,[ 2 11] ; [2 7],[ 2.36363636 10.63636364] ; [1.63636364 7.36363636],0
b2,1,0.682665,0.167142,[ 2 11] ; [2 7],[ 2.36363636 10.63636364] ; [1.63636364 7.36363636],0
p5,1,0.773938,0.0825,[ 5 17] ; [3 8],[ 5.33333333 16.66666667] ; [2.66666667 8.33333333],0
d4,1,0.773938,0.0825,[17  5] ; [8 3],[16.66666667  5.33333333] ; [8.33333333 2.66666667],0
s5,1,0.788821,0.071739,[ 7 15] ; [3 8],[ 6.66666667 15.33333333] ; [3.33333333 7.66666667],0
n4,1,0.788821,0.071739,[15  7] ; [8 3],[15.33333333  6.66666667] ; [7.66666667 3.33333333],0
p9,1,0.794003,0.068182,[15  7] ; [7 4],[14.66666667  7.33333333] ; [7.33333333 3.66666667],0
s8,1,0.803316,0.06203,[ 9 13] ; [5 6],[ 9.33333333 12.66666667] ; [4.66666667 6.33333333],0
s7,1,0.842356,0.039553,[ 8 12] ; [4 7],[ 7.74193548 12.25806452] ; [4.25806452 6.74193548],0
n3,1,1.0,0.0,[4 4] ; [1 1],[4. 4.] ; [1. 1.],0
p3,1,1.0,0.0,[ 8 14] ; [4 7],[ 8. 14.] ; [4. 7.],0
p4,1,1.0,0.0,[14  8] ; [7 4],[14.  8.] ; [7. 4.],0
v3,1,1.0,0.0,[ 8 14] ; [4 7],[ 8. 14.] ; [4. 7.],0
p8,1,1.0,0.0,[10 12] ; [5 6],[10. 12.] ; [5. 6.],0
s3,1,1.0,0.0,[10 12] ; [5 6],[10. 12.] ; [5. 6.],0
p11,1,1.0,0.0,[18  4] ; [9 2],[18.  4.] ; [9. 2.],0
