Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.2e-05,19.105454,[91 30] ; [ 9 19],[81.20805369 39.79194631] ; [18.79194631  9.20805369],1
n4,1,5.6e-05,16.240241,[91 30] ; [10 18],[82.02013423 38.97986577] ; [18.97986577  9.02013423],1
n5,1,0.00146,10.128808,[96 25] ; [14 14],[89.32885906 31.67114094] ; [20.67114094  7.32885906],0
v3,1,0.004358,8.128404,[42 77] ; [ 2 25],[35.8630137 83.1369863] ; [ 8.1369863 18.8630137],0
r3,1,0.007247,7.210795,[111   9] ; [21  7],[107.02702703  12.97297297] ; [24.97297297  3.02702703],0
p11,1,0.007319,7.193022,[104  17] ; [18 10],[99.0738255 21.9261745] ; [22.9261745  5.0738255],0
b1,1,0.022489,5.20754,[41 80] ; [16 12],[46.2885906 74.7114094] ; [10.7114094 17.2885906],0
p8,1,0.046079,3.978708,[61 59] ; [ 8 19],[56.32653061 63.67346939] ; [12.67346939 14.32653061],0
p3,1,0.063067,3.454845,[58 63] ; [ 8 20],[53.59731544 67.40268456] ; [12.40268456 15.59731544],0
a5,1,0.064271,3.423591,[75 46] ; [12 16],[70.65100671 50.34899329] ; [16.34899329 11.65100671],0
s6,1,0.077789,3.110506,[71 45] ; [12 16],[66.86111111 49.13888889] ; [16.13888889 11.86111111],0
p2,1,0.080223,3.06038,[99 22] ; [18  9],[95.65540541 25.34459459] ; [21.34459459  5.65540541],0
v4,1,0.106921,2.599153,[108  13] ; [21  6],[105.46621622  15.53378378] ; [23.53378378  3.46621622],0
d5,1,0.128269,2.313328,[90 30] ; [17 11],[86.75675676 33.24324324] ; [20.24324324  7.75675676],0
p4,1,0.145356,2.120317,[66 55] ; [11 17],[62.53020134 58.46979866] ; [14.46979866 13.53020134],0
a4,1,0.175305,1.836984,[42 79] ; [ 6 22],[38.97986577 82.02013423] ; [ 9.02013423 18.97986577],0
u3,1,0.224598,1.474749,[20 27] ; [8 5],[21.93333333 25.06666667] ; [6.06666667 6.93333333],0
p9,1,0.254583,1.297979,[114   6] ; [25  3],[112.7027027   7.2972973] ; [26.2972973  1.7027027],0
r2,1,0.258203,1.278365,[103  17] ; [20  6],[101.09589041  18.90410959] ; [21.90410959  4.09589041],0
b4,1,0.28359,1.149806,[78 43] ; [15 13],[75.52348993 45.47651007] ; [17.47651007 10.52348993],0
n2,1,0.298052,1.082888,[26 10] ; [8 1],[27.2  8.8] ; [6.8 2.2],0
b2,1,0.298591,1.080475,[28 40] ; [ 5 13],[26.09302326 41.90697674] ; [ 6.90697674 11.09302326],0
b3,1,0.298591,1.080475,[28 40] ; [ 5 13],[26.09302326 41.90697674] ; [ 6.90697674 11.09302326],0
p6,1,0.326201,0.963919,[43 77] ; [ 7 20],[40.81632653 79.18367347] ; [ 9.18367347 17.81632653],0
