Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.013875,6.053915,[ 3 45] ; [4 9],[ 5.50819672 42.49180328] ; [ 1.49180328 11.50819672],0
v1,1,0.026613,4.915719,[11 38] ; [7 6],[14.22580645 34.77419355] ; [3.77419355 9.22580645],0
s7,1,0.035206,4.435143,[ 8 37] ; [6 7],[10.86206897 34.13793103] ; [3.13793103 9.86206897],0
p11,1,0.041244,4.165944,[12 37] ; [7 6],[15.01612903 33.98387097] ; [3.98387097 9.01612903],0
v3,1,0.081349,3.037743,[ 8 41] ; [5 8],[10.27419355 38.72580645] ; [ 2.72580645 10.27419355],0
u2,1,0.102483,2.666477,[ 7 15] ; [3 1],[ 8.46153846 13.53846154] ; [1.53846154 2.46153846],0
s2,1,0.106444,2.606231,[ 6 43] ; [4 9],[ 7.90322581 41.09677419] ; [ 2.09677419 10.90322581],0
s8,1,0.130917,2.281596,[ 4 45] ; [ 3 10],[ 5.53225806 43.46774194] ; [ 1.46774194 11.53225806],0
n6,1,0.157436,1.998682,[19 29] ; [8 5],[21.24590164 26.75409836] ; [5.75409836 7.24590164],0
d2,1,0.157436,1.998682,[19 29] ; [8 5],[21.24590164 26.75409836] ; [5.75409836 7.24590164],0
v4,1,0.193276,1.692465,[24 25] ; [9 4],[26.08064516 22.91935484] ; [6.91935484 6.08064516],0
b3,1,0.208161,1.584171,[15 18] ; [2 7],[13.35714286 19.64285714] ; [3.64285714 5.35714286],0
b2,1,0.208161,1.584171,[15 18] ; [2 7],[13.35714286 19.64285714] ; [3.64285714 5.35714286],0
p2,1,0.219495,1.507672,[19 30] ; [7 5],[20.8852459 28.1147541] ; [5.1147541 6.8852459],0
b5,1,0.230101,1.440238,[21 28] ; [8 5],[22.91935484 26.08064516] ; [6.08064516 6.91935484],0
s4,1,0.241294,1.373019,[ 8 41] ; [4 9],[ 9.48387097 39.51612903] ; [ 2.51612903 10.48387097],0
r2,1,0.27369,1.198159,[29 17] ; [6 7],[27.28813559 18.71186441] ; [7.71186441 5.28813559],0
p9,1,0.343085,0.898871,[18 28] ; [7 6],[19.49152542 26.50847458] ; [5.50847458 7.49152542],0
u3,1,0.364974,0.820707,[ 6 16] ; [2 2],[ 6.76923077 15.23076923] ; [1.23076923 2.76923077],0
p5,1,0.389424,0.740741,[ 4 44] ; [ 2 10],[ 4.8 43.2] ; [ 1.2 10.8],0
a3,1,0.398567,0.712644,[27 21] ; [9 4],[28.32786885 19.67213115] ; [7.67213115 5.32786885],0
n4,1,0.429614,0.623867,[28 21] ; [9 4],[29.24193548 19.75806452] ; [7.75806452 5.24193548],0
p8,1,0.46458,0.534838,[12 36] ; [ 2 11],[11.01639344 36.98360656] ; [ 2.98360656 10.01639344],0
a5,1,0.49924,0.456552,[25 24] ; [8 5],[26.08064516 22.91935484] ; [6.91935484 6.08064516],0
b4,1,0.49924,0.456552,[25 24] ; [8 5],[26.08064516 22.91935484] ; [6.91935484 6.08064516],0
p6,1,0.51381,0.426301,[ 7 41] ; [ 1 12],[ 6.29508197 41.70491803] ; [ 1.70491803 11.29508197],0
n2,1,0.548624,0.359788,[12 15] ; [4 3],[12.70588235 14.29411765] ; [3.29411765 3.70588235],0
a4,1,0.571001,0.321011,[18 30] ; [6 7],[18.8852459 29.1147541] ; [5.1147541 7.8852459],0
