Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,36.477144,[58  9] ; [ 9 25],[44.44554455 22.55445545] ; [22.55445545 11.44554455],1
a5,1,0.005677,7.65,[54 14] ; [18 16],[48. 20.] ; [24. 10.],0
b1,1,0.009506,6.725275,[32 36] ; [ 7 27],[26. 42.] ; [13. 21.],0
a3,1,0.024159,5.08317,[53 14] ; [19 14],[48.24 18.76] ; [23.76  9.24],0
p7,1,0.024771,5.039818,[41 24] ; [12 19],[35.88541667 29.11458333] ; [17.11458333 13.88541667],0
s7,1,0.028819,4.778366,[41 26] ; [13 21],[35.82178218 31.17821782] ; [18.17821782 15.82178218],0
d2,1,0.029508,4.73771,[39 28] ; [12 22],[33.83168317 33.16831683] ; [17.16831683 16.83168317],0
v3,1,0.038912,4.264717,[24 43] ; [ 5 27],[19.62626263 47.37373737] ; [ 9.37373737 22.62626263],0
r1,1,0.061138,3.50625,[57 11] ; [23 11],[53.33333333 14.66666667] ; [26.66666667  7.33333333],0
n3,1,0.061369,3.5,[15  3] ; [5 5],[12.85714286  5.14285714] ; [7.14285714 2.85714286],0
p12,1,0.067706,3.33778,[10 57] ; [ 1 33],[ 7.2970297 59.7029703] ; [ 3.7029703 30.2970297],0
p6,1,0.094199,2.801104,[18 49] ; [ 4 29],[14.74 52.26] ; [ 7.26 25.74],0
n2,1,0.114169,2.495544,[16  1] ; [8 3],[14.57142857  2.42857143] ; [9.42857143 1.57142857],0
p3,1,0.116675,2.46139,[22 46] ; [ 6 28],[18.66666667 49.33333333] ; [ 9.33333333 24.66666667],0
s4,1,0.128309,2.312843,[14 52] ; [12 22],[17.16 48.84] ; [ 8.84 25.16],0
r3,1,0.128625,2.30902,[58  8] ; [33  1],[60.06  5.94] ; [30.94  3.06],0
v1,1,0.134038,2.245108,[38 29] ; [13 19],[34.51515152 32.48484848] ; [16.48484848 15.51515152],0
a1,1,0.194596,1.682474,[ 2 66] ; [ 3 31],[ 3.33333333 64.66666667] ; [ 1.66666667 32.33333333],0
n6,1,0.199988,1.642461,[58  9] ; [26  8],[55.72277228 11.27722772] ; [28.27722772  5.72277228],0
a4,1,0.200423,1.639286,[31 37] ; [11 23],[28. 40.] ; [14. 20.],0
s8,1,0.233042,1.422196,[36 31] ; [14 20],[33.16831683 33.83168317] ; [16.83168317 17.16831683],0
p1,1,0.267904,1.22745,[ 9 58] ; [ 2 31],[ 7.37 59.63] ; [ 3.63 29.37],0
n1,1,0.314736,1.010695,[11  6] ; [5 6],[9.71428571 7.28571429] ; [6.28571429 4.71428571],0
d4,1,0.332272,0.940022,[54 13] ; [30  4],[55.72277228 11.27722772] ; [28.27722772  5.72277228],0
r4,1,0.415736,0.662338,[60  8] ; [28  6],[58.66666667  9.33333333] ; [29.33333333  4.66666667],0
u1,1,0.441252,0.593023,[12 56] ; [ 4 30],[10.66666667 57.33333333] ; [ 5.33333333 28.66666667],0
p2,1,0.465233,0.533275,[52 16] ; [23 10],[50.4950495 17.5049505] ; [24.5049505  8.4950495],0
a2,1,0.471937,0.517438,[14 54] ; [ 5 29],[12.66666667 55.33333333] ; [ 6.33333333 27.66666667],0
b5,1,0.481726,0.494953,[39 29] ; [17 17],[37.33333333 30.66666667] ; [18.66666667 15.33333333],0
d1,1,0.483756,0.490385,[35 33] ; [15 19],[33.33333333 34.66666667] ; [16.66666667 17.33333333],0
v4,1,0.536485,0.382094,[63  4] ; [29  3],[62.26262626  4.73737374] ; [29.73737374  2.26262626],0
u2,1,0.59737,0.27898,[6 8] ; [ 5 10],[5.31034483 8.68965517] ; [5.68965517 9.31034483],0
d5,1,0.620481,0.245192,[53 15] ; [25  9],[52. 16.] ; [26.  8.],0
p11,1,0.634007,0.226667,[51 17] ; [24 10],[50. 18.] ; [25.  9.],0
b4,1,0.665582,0.186813,[41 27] ; [22 12],[42. 26.] ; [21. 13.],0
p9,1,0.682562,0.167256,[53 12] ; [28  5],[53.7244898 11.2755102] ; [27.2755102  5.7244898],0
u3,1,0.712547,0.135747,[9 6] ; [8 7],[8.5 6.5] ; [8.5 6.5],0
p8,1,0.726968,0.121914,[26 39] ; [12 21],[25.20408163 39.79591837] ; [12.79591837 20.20408163],0
s3,1,0.76121,0.092351,[44 22] ; [23 10],[44.66666667 21.33333333] ; [22.33333333 10.66666667],0
b2,1,0.768587,0.086567,[19 28] ; [ 8 10],[19.52307692 27.47692308] ; [ 7.47692308 10.52307692],0
b3,1,0.768587,0.086567,[19 28] ; [ 8 10],[19.52307692 27.47692308] ; [ 7.47692308 10.52307692],0
d3,1,0.779393,0.078462,[34 34] ; [18 16],[34.66666667 33.33333333] ; [17.33333333 16.66666667],0
p10,1,0.804338,0.061373,[55 13] ; [26  7],[54.53465347 13.46534653] ; [26.46534653  6.53465347],0
a7,1,0.842228,0.039619,[42 25] ; [22 12],[42.45544554 24.54455446] ; [21.54455446 12.45544554],0
s6,1,0.915939,0.011141,[53 13] ; [27  7],[52.8 13.2] ; [27.2  6.8],0
v2,1,0.946611,0.004484,[35 30] ; [17 15],[34.84536082 30.15463918] ; [17.15463918 14.84536082],0
a6,1,0.952778,0.003507,[39 28] ; [20 14],[39.13861386 27.86138614] ; [19.86138614 14.13861386],0
s2,1,1.0,0.0,[44 24] ; [22 12],[44. 24.] ; [22. 12.],0
r2,1,1.0,0.0,[64  2] ; [32  1],[64.  2.] ; [32.  1.],0
