Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000436,12.36998,[ 2 27] ; [16 18],[ 8.28571429 20.71428571] ; [ 9.71428571 24.28571429],1
d5,1,0.039659,4.232398,[14 15] ; [25  9],[17.95238095 11.04761905] ; [21.04761905 12.95238095],0
d1,1,0.059644,3.547257,[ 7 22] ; [16 18],[10.58730159 18.41269841] ; [12.41269841 21.58730159],0
b4,1,0.09731,2.749094,[22  7] ; [19 15],[18.87301587 10.12698413] ; [22.12698413 11.87301587],0
n3,1,0.130134,2.290909,[6 3] ; [4 8],[4.28571429 4.71428571] ; [5.71428571 6.28571429],0
r1,1,0.141678,2.159635,[10 19] ; [18 16],[12.88888889 16.11111111] ; [15.11111111 18.88888889],0
d3,1,0.141678,2.159635,[10 19] ; [18 16],[12.88888889 16.11111111] ; [15.11111111 18.88888889],0
a8,1,0.156439,2.008318,[ 6 21] ; [ 3 30],[ 4.05 22.95] ; [ 4.95 28.05],0
a6,1,0.167464,1.9055,[12 17] ; [20 14],[14.73015873 14.26984127] ; [17.26984127 16.73015873],0
d2,1,0.190798,1.711442,[11 18] ; [18 15],[13.56451613 15.43548387] ; [15.43548387 17.56451613],0
v2,1,0.20728,1.590324,[ 8 20] ; [15 19],[10.38709677 17.61290323] ; [12.61290323 21.38709677],0
a5,1,0.214798,1.538793,[19 10] ; [17 17],[16.57142857 12.42857143] ; [19.42857143 14.57142857],0
s3,1,0.246178,1.344866,[ 8 19] ; [15 19],[10.18032787 16.81967213] ; [12.81967213 21.18032787],0
r3,1,0.257483,1.282241,[15 13] ; [23 11],[17.16129032 10.83870968] ; [20.83870968 13.16129032],0
p11,1,0.267582,1.229098,[16 13] ; [14 20],[13.80952381 15.19047619] ; [16.19047619 17.80952381],0
a1,1,0.325578,0.966405,[ 2 27] ; [ 5 29],[ 3.22222222 25.77777778] ; [ 3.77777778 30.22222222],0
p7,1,0.330054,0.948685,[11 18] ; [ 9 25],[ 9.20634921 19.79365079] ; [10.79365079 23.20634921],0
b2,1,0.333998,0.933333,[ 6 15] ; [ 9 12],[ 7.5 13.5] ; [ 7.5 13.5],0
b3,1,0.333998,0.933333,[ 6 15] ; [ 9 12],[ 7.5 13.5] ; [ 7.5 13.5],0
b5,1,0.38169,0.765253,[16 13] ; [15 19],[14.26984127 14.73015873] ; [16.73015873 17.26984127],0
