Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,85.836961,[ 4 42] ; [215  62],[31.18885449 14.81114551] ; [187.81114551  89.18885449],1
d4,1,0.0,46.071097,[24 22] ; [251  26],[39.16408669  6.83591331] ; [235.83591331  41.16408669],1
d3,1,5e-06,20.742116,[18 28] ; [202  75],[31.33126935 14.66873065] ; [188.66873065  88.33126935],1
a4,1,2.1e-05,18.110014,[ 9 37] ; [148 129],[22.35913313 23.64086687] ; [134.64086687 142.35913313],1
d2,1,0.000214,13.699771,[15 31] ; [171 106],[26.48916409 19.51083591] ; [159.51083591 117.48916409],1
a5,1,0.000286,13.159096,[28 18] ; [232  45],[37.02786378  8.97213622] ; [222.97213622  54.02786378],1
a3,1,0.000303,13.054054,[28 18] ; [231  45],[37.  9.] ; [222.  54.],1
p1,1,0.001743,9.802131,[10 36] ; [ 20 256],[ 4.28571429 41.71428571] ; [ 25.71428571 250.28571429],0
n4,1,0.002629,9.048553,[36 10] ; [255  21],[41.57142857  4.42857143] ; [249.42857143  26.57142857],0
r2,1,0.005177,7.81651,[40  5] ; [267   7],[43.30721003  1.69278997] ; [263.69278997  10.30721003],0
u1,1,0.013242,6.136513,[ 4 42] ; [ 70 207],[10.53869969 35.46130031] ; [ 63.46130031 213.53869969],0
r1,1,0.013943,6.045377,[34 12] ; [241  34],[39.40809969  6.59190031] ; [235.59190031  39.40809969],0
a2,1,0.015477,5.861397,[ 6 40] ; [ 84 193],[12.81733746 33.18266254] ; [ 77.18266254 199.81733746],0
r4,1,0.021121,5.31676,[39  7] ; [261  16],[42.7244582  3.2755418] ; [257.2755418  19.7244582],0
p8,1,0.031336,4.634466,[35 11] ; [161 110],[28.44164038 17.55835962] ; [167.55835962 103.44164038],0
a7,1,0.063121,3.453417,[26 20] ; [194  82],[31.42857143 14.57142857] ; [188.57142857  87.42857143],0
r3,1,0.08176,3.029555,[42  4] ; [268   9],[44.14860681  1.85139319] ; [265.85139319  11.14860681],0
s6,1,0.082035,3.024112,[35 11] ; [235  38],[38.93416928  7.06583072] ; [231.06583072  41.93416928],0
u3,1,0.0997,2.710333,[9 9] ; [33 13],[11.8125  6.1875] ; [30.1875 15.8125],0
v3,1,0.122386,2.38652,[18 27] ; [139 126],[22.79032258 22.20967742] ; [134.20967742 130.79032258],0
p12,1,0.138645,2.192938,[ 9 37] ; [ 32 242],[ 5.89375 40.10625] ; [ 35.10625 238.89375],0
s5,1,0.142974,2.145651,[16 29] ; [124 138],[20.52117264 24.47882736] ; [119.47882736 142.52117264],0
p3,1,0.158986,1.983845,[23 23] ; [169 108],[27.34365325 18.65634675] ; [164.65634675 112.34365325],0
s2,1,0.177227,1.820724,[30 16] ; [204  69],[33.74294671 12.25705329] ; [200.25705329  72.74294671],0
v1,1,0.182233,1.779322,[26 20] ; [178  89],[29.98083067 16.01916933] ; [174.01916933  92.98083067],0
a6,1,0.24855,1.331438,[27 19] ; [186  90],[30.42857143 15.57142857] ; [182.57142857  93.42857143],0
s7,1,0.259846,1.269576,[39  6] ; [209  54],[36.23376623  8.76623377] ; [211.76623377  51.23376623],0
v4,1,0.261613,1.260201,[42  3] ; [268   9],[43.32298137  1.67701863] ; [266.67701863  10.32298137],0
s1,1,0.29293,1.106106,[ 3 43] ; [  9 262],[ 1.74132492 44.25867508] ; [ 10.25867508 260.74132492],0
b5,1,0.299824,1.074976,[24 22] ; [167 110],[27.20123839 18.79876161] ; [163.79876161 113.20123839],0
v2,1,0.389373,0.7409,[24 19] ; [168 100],[26.54662379 16.45337621] ; [165.45337621 102.54662379],0
n6,1,0.42971,0.623606,[44  2] ; [256  21],[42.7244582  3.2755418] ; [257.2755418  19.7244582],0
b1,1,0.450062,0.570496,[22 24] ; [116 161],[19.65325077 26.34674923] ; [118.34674923 158.65325077],0
p7,1,0.470422,0.520984,[35 11] ; [190  78],[32.96178344 13.03821656] ; [192.03821656  75.96178344],0
s3,1,0.488425,0.479994,[33 13] ; [208  64],[34.86163522 11.13836478] ; [206.13836478  65.86163522],0
