Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.275809,[71 21] ; [ 7 20],[60.30252101 31.69747899] ; [17.69747899  9.30252101],1
n4,1,1e-05,19.588509,[71 21] ; [ 9 19],[61.33333333 30.66666667] ; [18.66666667  9.33333333],1
r4,1,0.000128,14.67037,[82 10] ; [16 12],[75.13333333 16.86666667] ; [22.86666667  5.13333333],1
r2,1,0.000427,12.409009,[89  1] ; [23  5],[85.42372881  4.57627119] ; [26.57627119  1.42372881],1
a5,1,0.003415,8.571544,[67 25] ; [12 16],[60.56666667 31.43333333] ; [18.43333333  9.56666667],0
s6,1,0.004189,8.199812,[67 22] ; [13 15],[60.85470085 28.14529915] ; [19.14529915  8.85470085],0
r3,1,0.013499,6.102564,[82  9] ; [20  8],[78. 13.] ; [24.  4.],0
s8,1,0.03629,4.383443,[47 45] ; [ 8 20],[42.16666667 49.83333333] ; [12.83333333 15.16666667],0
p7,1,0.046978,3.946168,[54 35] ; [11 17],[49.44444444 39.55555556] ; [15.55555556 12.44444444],0
s7,1,0.051046,3.806767,[48 37] ; [ 9 17],[43.64864865 41.35135135] ; [13.35135135 12.64864865],0
r1,1,0.055826,3.65725,[75 17] ; [18 10],[71.3 20.7] ; [21.7  6.3],0
v2,1,0.059934,3.539219,[50 40] ; [ 9 17],[45.77586207 44.22413793] ; [13.22413793 12.77586207],0
n1,1,0.064051,3.429263,[13 18] ; [1 9],[10.58536585 20.41463415] ; [3.41463415 6.58536585],0
p9,1,0.069528,3.294139,[83  8] ; [22  6],[80.29411765 10.70588235] ; [24.70588235  3.29411765],0
p4,1,0.114835,2.48639,[48 43] ; [10 18],[44.35294118 46.64705882] ; [13.64705882 14.35294118],0
v4,1,0.119487,2.424039,[87  5] ; [24  4],[85.1  6.9] ; [25.9  2.1],0
u1,1,0.122498,2.385093,[18 74] ; [ 2 26],[15.33333333 76.66666667] ; [ 4.66666667 23.33333333],0
p2,1,0.143245,2.142754,[71 20] ; [18 10],[68.05882353 22.94117647] ; [20.94117647  7.05882353],0
u2,1,0.16018,1.972522,[10 16] ; [7 4],[11.94594595 14.05405405] ; [5.05405405 5.94594595],0
a6,1,0.17984,1.798943,[59 33] ; [14 14],[55.96666667 36.03333333] ; [17.03333333 10.96666667],0
d2,1,0.204426,1.61047,[52 40] ; [12 16],[49.06666667 42.93333333] ; [14.93333333 13.06666667],0
a2,1,0.234524,1.41321,[23 69] ; [ 4 24],[20.7 71.3] ; [ 6.3 21.7],0
a4,1,0.259326,1.272351,[44 48] ; [10 18],[41.4 50.6] ; [12.6 15.4],0
a3,1,0.284126,1.147248,[65 26] ; [17 11],[62.70588235 28.29411765] ; [19.29411765  8.70588235],0
s5,1,0.333747,0.934305,[39 49] ; [ 8 16],[36.92857143 51.07142857] ; [10.07142857 13.92857143],0
p5,1,0.36098,0.834479,[ 8 83] ; [ 1 27],[ 6.88235294 84.11764706] ; [ 2.11764706 25.88235294],0
d5,1,0.38472,0.755565,[75 16] ; [21  7],[73.41176471 17.58823529] ; [22.58823529  5.41176471],0
s2,1,0.416198,0.661027,[54 38] ; [14 14],[52.13333333 39.86666667] ; [15.86666667 12.13333333],0
p3,1,0.41836,0.654917,[37 54] ; [ 9 19],[35.17647059 55.82352941] ; [10.82352941 17.17647059],0
v3,1,0.42359,0.640333,[35 57] ; [ 8 19],[33.24369748 58.75630252] ; [ 9.75630252 17.24369748],0
d4,1,0.453618,0.561595,[73 19] ; [24  4],[74.36666667 17.63333333] ; [22.63333333  5.36666667],0
a7,1,0.473519,0.513753,[68 23] ; [19  9],[66.52941176 24.47058824] ; [20.47058824  7.52941176],0
n2,1,0.479456,0.500101,[25  6] ; [7 3],[24.19512195  6.80487805] ; [7.80487805 2.19512195],0
p6,1,0.503665,0.447205,[36 56] ; [ 9 19],[34.5 57.5] ; [10.5 17.5],0
b5,1,0.503665,0.447205,[59 33] ; [16 12],[57.5 34.5] ; [17.5 10.5],0
b1,1,0.526432,0.401274,[43 49] ; [15 13],[44.46666667 47.53333333] ; [13.53333333 14.46666667],0
s1,1,0.561258,0.337531,[ 4 87] ; [ 2 26],[ 4.58823529 86.41176471] ; [ 1.41176471 26.58823529],0
s3,1,0.6133,0.255397,[51 41] ; [14 14],[49.83333333 42.16666667] ; [15.16666667 12.83333333],0
b4,1,0.621568,0.243669,[51 41] ; [17 11],[52.13333333 39.86666667] ; [15.86666667 12.13333333],0
d3,1,0.628491,0.234113,[63 28] ; [20  7],[64.00847458 26.99152542] ; [18.99152542  8.00847458],0
d1,1,0.631038,0.230656,[54 38] ; [15 13],[52.9 39.1] ; [16.1 11.9],0
s4,1,0.699102,0.149407,[23 69] ; [ 6 22],[22.23333333 69.76666667] ; [ 6.76666667 21.23333333],0
u3,1,0.73927,0.110769,[14 12] ; [6 4],[14.44444444 11.55555556] ; [5.55555556 4.44444444],0
p1,1,0.794629,0.067758,[ 8 84] ; [ 2 26],[ 7.66666667 84.33333333] ; [ 2.33333333 25.66666667],0
n3,1,0.794668,0.067732,[23  8] ; [7 3],[22.68292683  8.31707317] ; [7.31707317 2.68292683],0
b2,1,0.878819,0.023246,[12 30] ; [4 9],[12.21818182 29.78181818] ; [3.78181818 9.21818182],0
b3,1,0.878819,0.023246,[12 30] ; [4 9],[12.21818182 29.78181818] ; [3.78181818 9.21818182],0
v1,1,0.896834,0.016812,[44 48] ; [13 15],[43.7 48.3] ; [13.3 14.7],0
p8,1,0.90493,0.014265,[34 58] ; [10 18],[33.73333333 58.26666667] ; [10.26666667 17.73333333],0
a1,1,0.936111,0.006425,[ 3 89] ; [ 1 27],[ 3.06666667 88.93333333] ; [ 0.93333333 27.06666667],0
