Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3e-06,21.598378,[15 23] ; [180  56],[27.04379562 10.95620438] ; [167.95620438  68.04379562],1
d4,1,0.014949,5.922411,[27 11] ; [205  32],[32.05818182  5.94181818] ; [199.94181818  37.05818182],0
p9,1,0.029426,4.742535,[32  6] ; [223  14],[35.23636364  2.76363636] ; [219.76363636  17.23636364],0
p10,1,0.049918,3.844209,[31  6] ; [220  16],[34.01831502  2.98168498] ; [216.98168498  19.01831502],0
s5,1,0.055752,3.659454,[23 13] ; [108 123],[17.66292135 18.33707865] ; [113.33707865 117.66292135],0
s6,1,0.076689,3.133701,[34  2] ; [195  40],[30.42066421  5.57933579] ; [198.57933579  36.42066421],0
n5,1,0.101824,2.676732,[27 10] ; [199  38],[30.51824818  6.48175182] ; [195.48175182  41.51824818],0
a8,1,0.152685,2.045224,[10 24] ; [ 42 181],[ 6.87937743 27.12062257] ; [ 45.12062257 177.87937743],0
b1,1,0.153896,2.0332,[20 18] ; [ 96 142],[15.97101449 22.02898551] ; [100.02898551 137.97101449],0
s4,1,0.156954,2.003335,[11 27] ; [ 45 192],[ 7.73818182 30.26181818] ; [ 48.26181818 188.73818182],0
p5,1,0.167564,1.904601,[ 4 34] ; [ 47 189],[ 7.0729927 30.9270073] ; [ 43.9270073 192.0729927],0
p4,1,0.17701,1.822549,[25 13] ; [181  57],[28.36231884  9.63768116] ; [177.63768116  60.36231884],0
u1,1,0.220253,1.502719,[11 27] ; [ 48 190],[ 8.12318841 29.87681159] ; [ 50.87681159 187.12318841],0
d3,1,0.227403,1.457034,[24 14] ; [173  65],[27.12318841 10.87681159] ; [169.87681159  68.12318841],0
s2,1,0.234121,1.415647,[30  8] ; [164  72],[26.90510949 11.09489051] ; [167.09489051  68.90510949],0
p2,1,0.246546,1.342769,[33  5] ; [220  18],[34.83333333  3.16666667] ; [218.16666667  19.83333333],0
d1,1,0.282929,1.152966,[22 16] ; [159  79],[24.92028986 13.07971014] ; [156.07971014  81.92028986],0
v3,1,0.285031,1.142942,[15 22] ; [116 116],[18.01858736 18.98141264] ; [112.98141264 119.01858736],0
a6,1,0.292329,1.108865,[28 10] ; [154  83],[25.14909091 12.85090909] ; [156.85090909  80.14909091],0
d2,1,0.310384,1.02904,[23 15] ; [123 115],[20.10144928 17.89855072] ; [125.89855072 112.10144928],0
p3,1,0.333145,0.936633,[22 16] ; [157  81],[24.64492754 13.35507246] ; [154.35507246  83.64492754],0
a5,1,0.334692,0.930657,[33  5] ; [191  47],[30.84057971  7.15942029] ; [193.15942029  44.84057971],0
r4,1,0.368536,0.808596,[37  1] ; [223  15],[35.79710145  2.20289855] ; [224.20289855  13.79710145],0
b3,1,0.384356,0.756723,[ 7 12] ; [80 89],[ 8.79255319 10.20744681] ; [78.20744681 90.79255319],0
b2,1,0.384356,0.756723,[ 7 12] ; [80 89],[ 8.79255319 10.20744681] ; [78.20744681 90.79255319],0
a2,1,0.40639,0.689336,[12 26] ; [ 60 178],[ 9.91304348 28.08695652] ; [ 62.08695652 175.91304348],0
a4,1,0.433047,0.614637,[20 18] ; [109 129],[17.76086957 20.23913043] ; [111.23913043 126.76086957],0
r1,1,0.440998,0.593683,[33  4] ; [199  37],[31.44322344  5.55677656] ; [200.55677656  35.44322344],0
n1,1,0.470486,0.520833,[5 5] ; [15 25],[4. 6.] ; [16. 24.],0
a7,1,0.477713,0.504081,[28 10] ; [161  76],[26.11636364 11.88363636] ; [162.88363636  74.11636364],0
a3,1,0.484569,0.488563,[32  6] ; [188  49],[30.4  7.6] ; [189.6  47.4],0
p12,1,0.515899,0.422083,[ 3 35] ; [ 27 209],[ 4.16058394 33.83941606] ; [ 25.83941606 210.16058394],0
n4,1,0.55269,0.35252,[29  7] ; [201  37],[30.2189781  5.7810219] ; [199.7810219  38.2189781],0
s7,1,0.557159,0.344648,[28  6] ; [180  51],[26.68679245  7.31320755] ; [181.31320755  49.68679245],0
b5,1,0.559068,0.341321,[23 15] ; [132 106],[21.34057971 16.65942029] ; [133.65942029 104.34057971],0
u4,1,0.56017,0.339409,[ 2 36] ; [  8 230],[ 1.37681159 36.62318841] ; [  8.62318841 229.37681159],0
r2,1,0.630592,0.231259,[37  1] ; [223  10],[36.45756458  1.54243542] ; [223.54243542   9.45756458],0
s1,1,0.65587,0.198579,[ 1 36] ; [ 10 225],[ 1.49632353 35.50367647] ; [  9.50367647 225.49632353],0
v2,1,0.720652,0.127869,[25 13] ; [145  86],[24.01486989 13.98513011] ; [145.98513011  85.01486989],0
p6,1,0.746344,0.104629,[22 16] ; [130 106],[21.08029197 16.91970803] ; [130.91970803 105.08029197],0
u2,1,0.752044,0.099822,[4 2] ; [30 20],[3.64285714 2.35714286] ; [30.35714286 19.64285714],0
u3,1,0.752044,0.099822,[4 2] ; [30 20],[3.64285714 2.35714286] ; [30.35714286 19.64285714],0
v1,1,0.763335,0.090664,[24 14] ; [153  80],[24.81918819 13.18081181] ; [152.18081181  80.81918819],0
n3,1,0.769174,0.086116,[8 2] ; [31 10],[7.64705882 2.35294118] ; [31.35294118  9.64705882],0
a1,1,0.804542,0.061243,[ 2 36] ; [ 15 223],[ 2.34057971 35.65942029] ; [ 14.65942029 223.34057971],0
v4,1,0.807708,0.059236,[37  1] ; [228   8],[36.75182482  1.24817518] ; [228.24817518   7.75182482],0
p1,1,0.827338,0.047575,[ 4 33] ; [ 23 215],[ 3.63272727 33.36727273] ; [ 23.36727273 214.63272727],0
n2,1,0.892999,0.018093,[8 2] ; [32  9],[7.84313725 2.15686275] ; [32.15686275  8.84313725],0
b4,1,0.904557,0.014378,[21 17] ; [134 104],[21.34057971 16.65942029] ; [133.65942029 104.34057971],0
n6,1,0.960469,0.002457,[32  4] ; [210  27],[31.91208791  4.08791209] ; [210.08791209  26.91208791],0
d5,1,0.977668,0.000784,[32  6] ; [200  37],[32.05818182  5.94181818] ; [199.94181818  37.05818182],0
s3,1,0.981395,0.000544,[28 10] ; [172  62],[27.94117647 10.05882353] ; [172.05882353  61.94117647],0
