Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.024262,5.075791,[7 8] ; [72 24],[10.67567568  4.32432432] ; [68.32432432 27.67567568],0
s6,1,0.032906,4.550675,[11  4] ; [42 54],[7.16216216 7.83783784] ; [45.83783784 50.16216216],0
a5,1,0.05703,3.62172,[6 9] ; [63 33],[9.32432432 5.67567568] ; [59.67567568 36.32432432],0
p4,1,0.063612,3.440627,[10  5] ; [39 56],[6.68181818 8.31818182] ; [42.31818182 52.68181818],0
n4,1,0.077248,3.121875,[7 8] ; [67 29],[10.  5.] ; [64. 32.],0
n6,1,0.08497,2.967178,[13  2] ; [61 34],[10.09090909  4.90909091] ; [63.90909091 31.09090909],0
d4,1,0.125347,2.349206,[10  5] ; [80 16],[12.16216216  2.83783784] ; [77.83783784 18.16216216],0
p3,1,0.163617,1.940476,[7 8] ; [27 67],[ 4.67889908 10.32110092] ; [29.32110092 64.67889908],0
b5,1,0.16422,1.934927,[12  3] ; [59 37],[9.59459459 5.40540541] ; [61.40540541 34.59459459],0
p11,1,0.176782,1.824472,[ 5 10] ; [50 46],[7.43243243 7.56756757] ; [47.56756757 48.43243243],0
b1,1,0.18358,1.7684,[6 9] ; [56 40],[8.37837838 6.62162162] ; [53.62162162 42.37837838],0
b4,1,0.186725,1.743269,[12  3] ; [60 36],[9.72972973 5.27027027] ; [62.27027027 33.72972973],0
b2,1,0.201315,1.632806,[1 7] ; [21 39],[2.58823529 5.41176471] ; [19.41176471 40.58823529],0
b3,1,0.201315,1.632806,[1 7] ; [21 39],[2.58823529 5.41176471] ; [19.41176471 40.58823529],0
s3,1,0.213374,1.548387,[8 6] ; [38 58],[5.85454545 8.14545455] ; [40.14545455 55.85454545],0
s8,1,0.236092,1.403781,[ 5 10] ; [19 77],[ 3.24324324 11.75675676] ; [20.75675676 75.24324324],0
s2,1,0.26113,1.262755,[6 8] ; [27 69],[4.2 9.8] ; [28.8 67.2],0
u2,1,0.270132,1.216078,[2 5] ; [16 15],[3.31578947 3.68421053] ; [14.68421053 16.31578947],0
a3,1,0.288084,1.128552,[8 7] ; [64 31],[9.81818182 5.18181818] ; [62.18181818 32.81818182],0
p2,1,0.302063,1.065063,[11  4] ; [57 39],[9.18918919 5.81081081] ; [58.81081081 37.18918919],0
d1,1,0.306995,1.043559,[6 9] ; [52 44],[7.83783784 7.16216216] ; [50.16216216 45.83783784],0
a2,1,0.321106,0.984434,[ 2 13] ; [24 72],[ 3.51351351 11.48648649] ; [22.48648649 73.51351351],0
n1,1,0.329114,0.952381,[3 2] ; [13 22],[2. 3.] ; [14. 21.],0
n2,1,0.35203,0.866125,[4 1] ; [21 15],[3.04878049 1.95121951] ; [21.95121951 14.04878049],0
r3,1,0.354086,0.858758,[12  3] ; [85 11],[13.10810811  1.89189189] ; [83.89189189 12.10810811],0
d5,1,0.359604,0.839276,[13  2] ; [73 23],[11.62162162  3.37837838] ; [74.37837838 21.62162162],0
a4,1,0.375506,0.785364,[ 4 11] ; [37 59],[5.54054054 9.45945946] ; [35.45945946 60.54054054],0
r1,1,0.381857,0.764716,[10  5] ; [74 22],[11.35135135  3.64864865] ; [72.64864865 23.35135135],0
r4,1,0.381857,0.764716,[10  5] ; [74 22],[11.35135135  3.64864865] ; [72.64864865 23.35135135],0
s7,1,0.386747,0.749144,[6 9] ; [26 64],[ 4.57142857 10.42857143] ; [27.42857143 62.57142857],0
d3,1,0.397281,0.716539,[9 6] ; [68 28],[10.40540541  4.59459459] ; [66.59459459 29.40540541],0
n3,1,0.41126,0.675157,[4 1] ; [22 14],[3.17073171 1.82926829] ; [22.82926829 13.17073171],0
d2,1,0.426363,0.632709,[6 9] ; [49 47],[7.43243243 7.56756757] ; [47.56756757 48.43243243],0
p10,1,0.448494,0.574456,[ 3 12] ; [28 67],[ 4.22727273 10.77272727] ; [26.77272727 68.22727273],0
u3,1,0.459577,0.546924,[5 2] ; [18 14],[4.12820513 2.87179487] ; [18.87179487 13.12820513],0
p6,1,0.476596,0.506642,[ 2 13] ; [20 74],[ 3.02752294 11.97247706] ; [18.97247706 75.02752294],0
r2,1,0.513503,0.426923,[14  1] ; [84 12],[13.24324324  1.75675676] ; [84.75675676 11.24324324],0
p8,1,0.574575,0.315088,[6 9] ; [31 64],[5.04545455 9.95454545] ; [31.95454545 63.04545455],0
v1,1,0.67128,0.180108,[6 9] ; [33 63],[5.27027027 9.72972973] ; [33.72972973 62.27027027],0
v2,1,0.677885,0.172516,[6 9] ; [43 51],[6.74311927 8.25688073] ; [42.25688073 51.74311927],0
v3,1,0.702019,0.14638,[ 4 11] ; [30 65],[ 4.63636364 10.36363636] ; [29.36363636 65.63636364],0
u1,1,0.749916,0.101602,[ 3 12] ; [16 80],[ 2.56756757 12.43243243] ; [16.43243243 79.56756757],0
n5,1,0.785133,0.07433,[9 6] ; [54 42],[8.51351351 6.48648649] ; [54.48648649 41.51351351],0
p7,1,0.792796,0.069001,[6 9] ; [41 53],[6.46788991 8.53211009] ; [40.53211009 53.46788991],0
p1,1,0.817796,0.053075,[ 1 14] ; [ 8 87],[ 1.22727273 13.77272727] ; [ 7.77272727 87.22727273],0
a1,1,0.930633,0.007577,[ 1 14] ; [ 7 89],[ 1.08108108 13.91891892] ; [ 6.91891892 89.08108108],0
s5,1,0.964483,0.001983,[ 2 12] ; [14 81],[ 2.05504587 11.94495413] ; [13.94495413 81.05504587],0
