Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000252,13.394575,[ 6 59] ; [10 13],[11.81818182 53.18181818] ; [ 4.18181818 18.81818182],1
p11,1,0.007545,7.138449,[22 44] ; [15  8],[27.43820225 38.56179775] ; [ 9.56179775 13.43820225],0
d1,1,0.009374,6.750137,[20 46] ; [14  9],[25.21348315 40.78651685] ; [ 8.78651685 14.21348315],0
v4,1,0.011202,6.432995,[31 34] ; [18  5],[36.19318182 28.80681818] ; [12.80681818 10.19318182],0
d5,1,0.018294,5.567741,[33 33] ; [18  5],[37.82022472 28.17977528] ; [13.17977528  9.82022472],0
v1,1,0.021542,5.282432,[13 51] ; [10 12],[17.11627907 46.88372093] ; [ 5.88372093 16.11627907],0
r3,1,0.04014,4.211942,[25 40] ; [14  8],[29.13793103 35.86206897] ; [ 9.86206897 12.13793103],0
p6,1,0.051398,3.795251,[ 7 57] ; [ 6 15],[ 9.78823529 54.21176471] ; [ 3.21176471 17.78823529],0
a3,1,0.062944,3.458052,[33 31] ; [17  6],[36.7816092 27.2183908] ; [13.2183908  9.7816092],0
n2,1,0.082239,3.020093,[13 17] ; [10  4],[15.68181818 14.31818182] ; [7.31818182 6.68181818],0
u2,1,0.087629,2.917403,[10 23] ; [4 2],[11.84615385 21.15384615] ; [2.15384615 3.84615385],0
s3,1,0.136614,2.215695,[19 45] ; [ 3 19],[16.37209302 47.62790698] ; [ 5.62790698 16.37209302],0
u3,1,0.137409,2.20674,[ 7 26] ; [3 3],[ 8.46153846 24.53846154] ; [1.53846154 4.46153846],0
d2,1,0.146884,2.104319,[24 41] ; [12 10],[26.89655172 38.10344828] ; [ 9.10344828 12.89655172],0
r1,1,0.171291,1.871609,[16 50] ; [ 9 14],[18.53932584 47.46067416] ; [ 6.46067416 16.53932584],0
a2,1,0.178238,1.812257,[ 7 59] ; [ 5 18],[ 8.8988764 57.1011236] ; [ 3.1011236 19.8988764],0
n6,1,0.209132,1.577428,[32 32] ; [15  8],[34.57471264 29.42528736] ; [12.42528736 10.57471264],0
a1,1,0.224485,1.475467,[ 9 57] ; [ 1 22],[ 7.41573034 58.58426966] ; [ 2.58426966 20.41573034],0
n1,1,0.226101,1.465222,[12 18] ; [ 3 11],[10.22727273 19.77272727] ; [4.77272727 9.22727273],0
