Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.008152,6.999842,[35 17] ; [61  9],[40.91803279 11.08196721] ; [55.08196721 14.91803279],0
r4,1,0.012299,6.26722,[29 23] ; [54 16],[35.37704918 16.62295082] ; [47.62295082 22.37704918],0
n5,1,0.021351,5.297952,[21 31] ; [43 27],[27.27868852 24.72131148] ; [36.72131148 33.27868852],0
b5,1,0.02478,5.039206,[26 26] ; [49 21],[31.96721311 20.03278689] ; [43.03278689 26.96721311],0
r3,1,0.046012,3.981167,[35 17] ; [58 12],[39.63934426 12.36065574] ; [53.36065574 16.63934426],0
a5,1,0.088797,2.896043,[25 27] ; [23 47],[20.45901639 31.54098361] ; [27.54098361 42.45901639],0
s6,1,0.1126,2.517341,[17 35] ; [32 36],[21.23333333 30.76666667] ; [27.76666667 40.23333333],0
p7,1,0.115017,2.483893,[20 32] ; [37 33],[24.29508197 27.70491803] ; [32.70491803 37.29508197],0
p11,1,0.115017,2.483893,[20 32] ; [37 33],[24.29508197 27.70491803] ; [32.70491803 37.29508197],0
v2,1,0.127044,2.32826,[12 38] ; [26 44],[15.83333333 34.16666667] ; [22.16666667 47.83333333],0
a1,1,0.129631,2.296917,[ 6 46] ; [ 3 67],[ 3.83606557 48.16393443] ; [ 5.16393443 64.83606557],0
a6,1,0.173994,1.848192,[28 24] ; [29 41],[24.29508197 27.70491803] ; [32.70491803 37.29508197],0
u2,1,0.182528,1.776923,[12 14] ; [12 28],[ 9.45454545 16.54545455] ; [14.54545455 25.45454545],0
s8,1,0.187449,1.737557,[ 6 46] ; [14 54],[ 8.66666667 43.33333333] ; [11.33333333 56.66666667],0
p1,1,0.219231,1.5094,[ 4 47] ; [ 2 67],[ 2.55 48.45] ; [ 3.45 65.55],0
b4,1,0.225945,1.46621,[27 25] ; [44 26],[30.26229508 21.73770492] ; [40.73770492 29.26229508],0
p3,1,0.234382,1.414069,[14 38] ; [26 44],[17.04918033 34.95081967] ; [22.95081967 47.04918033],0
u3,1,0.248247,1.333144,[13 14] ; [14 27],[10.72058824 16.27941176] ; [16.27941176 24.72058824],0
b1,1,0.248872,1.329622,[30 22] ; [33 37],[26.85245902 25.14754098] ; [36.14754098 33.85245902],0
s5,1,0.250683,1.319494,[ 7 43] ; [15 52],[ 9.4017094 40.5982906] ; [12.5982906 54.4017094],0
p5,1,0.305669,1.049298,[ 1 50] ; [ 4 66],[ 2.10743802 48.89256198] ; [ 2.89256198 67.10743802],0
p2,1,0.316918,1.001621,[28 24] ; [44 26],[30.68852459 21.31147541] ; [41.31147541 28.68852459],0
v3,1,0.360556,0.835955,[11 38] ; [21 49],[13.17647059 35.82352941] ; [18.82352941 51.17647059],0
a2,1,0.422358,0.643746,[ 3 49] ; [ 2 68],[ 2.13114754 49.86885246] ; [ 2.86885246 67.13114754],0
p8,1,0.455481,0.556976,[11 40] ; [19 50],[12.75 38.25] ; [17.25 51.75],0
a3,1,0.489571,0.477469,[25 26] ; [29 39],[23.14285714 27.85714286] ; [30.85714286 37.14285714],0
a7,1,0.497364,0.460556,[25 27] ; [38 32],[26.85245902 25.14754098] ; [36.14754098 33.85245902],0
d2,1,0.510605,0.432827,[13 39] ; [14 56],[11.50819672 40.49180328] ; [15.49180328 54.50819672],0
b3,1,0.529641,0.395081,[10 21] ; [11 32],[ 8.7972973 22.2027027] ; [12.2027027 30.7972973],0
b2,1,0.529641,0.395081,[10 21] ; [11 32],[ 8.7972973 22.2027027] ; [12.2027027 30.7972973],0
r2,1,0.54206,0.371736,[40 12] ; [57 13],[41.3442623 10.6557377] ; [55.6557377 14.3442623],0
n2,1,0.546328,0.363937,[16  8] ; [15  5],[16.90909091  7.09090909] ; [14.09090909  5.90909091],0
n3,1,0.554678,0.349004,[15  8] ; [14  5],[15.88095238  7.11904762] ; [13.11904762  5.88095238],0
n4,1,0.563603,0.333504,[30 22] ; [44 26],[31.54098361 20.45901639] ; [42.45901639 27.54098361],0
d3,1,0.567437,0.32699,[16 36] ; [25 45],[17.47540984 34.52459016] ; [23.52459016 46.47540984],0
a8,1,0.586607,0.295674,[ 7 44] ; [11 52],[ 8.05263158 42.94736842] ; [ 9.94736842 53.05263158],0
p6,1,0.599796,0.275304,[10 42] ; [16 53],[11.17355372 40.82644628] ; [14.82644628 54.17355372],0
s7,1,0.643297,0.214456,[10 37] ; [17 51],[11.03478261 35.96521739] ; [15.96521739 52.03478261],0
s1,1,0.662489,0.190515,[ 4 48] ; [ 4 66],[ 3.40983607 48.59016393] ; [ 4.59016393 65.40983607],0
a4,1,0.67372,0.177282,[13 39] ; [15 54],[12.03305785 39.96694215] ; [15.96694215 53.03305785],0
d4,1,0.674194,0.176735,[28 24] ; [35 35],[26.85245902 25.14754098] ; [36.14754098 33.85245902],0
r1,1,0.677189,0.173307,[30 22] ; [43 27],[31.1147541 20.8852459] ; [41.8852459 28.1147541],0
d5,1,0.677726,0.172697,[25 27] ; [31 39],[23.86885246 28.13114754] ; [32.13114754 37.86885246],0
n1,1,0.697298,0.151298,[11 13] ; [ 8 12],[10.36363636 13.63636364] ; [ 8.63636364 11.36363636],0
p12,1,0.754192,0.098042,[ 1 50] ; [ 2 68],[ 1.26446281 49.73553719] ; [ 1.73553719 68.26446281],0
s2,1,0.802695,0.062431,[14 38] ; [20 49],[14.61157025 37.38842975] ; [19.38842975 49.61157025],0
p4,1,0.806803,0.059806,[16 36] ; [23 47],[16.62295082 35.37704918] ; [22.37704918 47.62295082],0
s4,1,0.857509,0.032237,[ 9 43] ; [13 57],[ 9.37704918 42.62295082] ; [12.62295082 57.37704918],0
p9,1,0.875587,0.024513,[17 35] ; [21 46],[16.60504202 35.39495798] ; [21.39495798 45.60504202],0
v1,1,0.882739,0.021756,[18 34] ; [23 46],[17.61983471 34.38016529] ; [23.38016529 45.61983471],0
s3,1,0.915195,0.01134,[23 28] ; [30 38],[22.71428571 28.28571429] ; [30.28571429 37.71428571],0
