Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.5e-05,18.730045,[ 1 14] ; [35 15],[8.30769231 6.69230769] ; [27.69230769 22.30769231],1
d3,1,5.5e-05,16.282891,[ 1 14] ; [33 17],[7.84615385 7.15384615] ; [26.15384615 23.84615385],1
d5,1,0.000672,11.566176,[6 9] ; [42  8],[11.07692308  3.92307692] ; [36.92307692 13.07692308],1
s5,1,0.011653,6.362919,[ 1 13] ; [19 24],[4.9122807 9.0877193] ; [15.0877193 27.9122807],0
v3,1,0.020478,5.37071,[ 2 13] ; [22 25],[5.80645161 9.19354839] ; [18.19354839 28.80645161],0
p7,1,0.044512,4.037029,[13  2] ; [28 20],[9.76190476 5.23809524] ; [31.23809524 16.76190476],0
u3,1,0.046708,3.955881,[2 5] ; [11  4],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
p6,1,0.054573,3.695095,[ 5 10] ; [29 18],[8.22580645 6.77419355] ; [25.77419355 21.22580645],0
b2,1,0.078546,3.094737,[1 9] ; [15 23],[3.33333333 6.66666667] ; [12.66666667 25.33333333],0
b3,1,0.078546,3.094737,[1 9] ; [15 23],[3.33333333 6.66666667] ; [12.66666667 25.33333333],0
v4,1,0.080023,3.064433,[11  3] ; [47  3],[12.6875  1.3125] ; [45.3125  4.6875],0
a7,1,0.098058,2.736842,[6 9] ; [32 18],[8.76923077 6.23076923] ; [29.23076923 20.76923077],0
n4,1,0.128253,2.313519,[8 7] ; [37 13],[10.38461538  4.61538462] ; [34.61538462 15.38461538],0
b5,1,0.133206,2.254743,[7 8] ; [34 16],[9.46153846 5.53846154] ; [31.53846154 18.46153846],0
s7,1,0.136596,2.215891,[9 6] ; [38 10],[11.19047619  3.80952381] ; [35.80952381 12.19047619],0
v1,1,0.138138,2.198582,[ 5 10] ; [26 21],[7.5 7.5] ; [23.5 23.5],0
d2,1,0.143355,2.14157,[ 4 11] ; [24 26],[6.46153846 8.53846154] ; [21.53846154 28.46153846],0
u2,1,0.166337,1.915646,[3 4] ; [11  4],[4.45454545 2.54545455] ; [9.54545455 5.45454545],0
b4,1,0.171725,1.867816,[6 9] ; [30 20],[8.30769231 6.69230769] ; [27.69230769 22.30769231],0
p12,1,0.187083,1.740437,[ 2 13] ; [ 2 48],[ 0.92307692 14.07692308] ; [ 3.07692308 46.92307692],0
a3,1,0.231525,1.431466,[8 7] ; [35 15],[9.92307692 5.07692308] ; [33.07692308 16.92307692],0
a5,1,0.297453,1.085576,[8 7] ; [34 16],[9.69230769 5.30769231] ; [32.30769231 17.69230769],0
s1,1,0.362524,0.829129,[ 2 13] ; [ 3 46],[ 1.171875 13.828125] ; [ 3.828125 45.171875],0
a6,1,0.384902,0.754987,[10  5] ; [27 23],[8.53846154 6.46153846] ; [28.46153846 21.53846154],0
v2,1,0.412455,0.671713,[6 8] ; [26 21],[7.3442623 6.6557377] ; [24.6557377 22.3442623],0
a4,1,0.420755,0.648206,[ 4 11] ; [19 31],[5.30769231 9.69230769] ; [17.69230769 32.30769231],0
p2,1,0.461743,0.541667,[11  4] ; [41  9],[12.  3.] ; [40. 10.],0
s2,1,0.470661,0.520425,[10  5] ; [38 12],[11.07692308  3.92307692] ; [36.92307692 13.07692308],0
a8,1,0.524183,0.405655,[ 2 12] ; [ 4 43],[ 1.37704918 12.62295082] ; [ 4.62295082 42.37704918],0
s4,1,0.536347,0.382353,[ 3 12] ; [14 36],[ 3.92307692 11.07692308] ; [13.07692308 36.92307692],0
s3,1,0.536347,0.382353,[12  3] ; [36 14],[11.07692308  3.92307692] ; [36.92307692 13.07692308],0
p5,1,0.544727,0.366849,[ 1 14] ; [ 6 43],[ 1.640625 13.359375] ; [ 5.359375 43.640625],0
b1,1,0.54789,0.361111,[7 8] ; [19 31],[6. 9.] ; [20. 30.],0
p11,1,0.572154,0.319091,[12  3] ; [43  7],[12.69230769  2.30769231] ; [42.30769231  7.69230769],0
n1,1,0.595732,0.281481,[2 1] ; [8 8],[1.57894737 1.42105263] ; [8.42105263 7.57894737],0
s6,1,0.635256,0.225,[10  4] ; [38 11],[10.66666667  3.33333333] ; [37.33333333 11.66666667],0
p8,1,0.664567,0.188024,[7 8] ; [26 23],[7.734375 7.265625] ; [25.265625 23.734375],0
r4,1,0.694672,0.154074,[11  4] ; [34 16],[10.38461538  4.61538462] ; [34.61538462 15.38461538],0
p10,1,0.779965,0.078045,[13  2] ; [41  8],[12.65625  2.34375] ; [41.34375  7.65625],0
n5,1,0.8034,0.061976,[11  4] ; [35 15],[10.61538462  4.38461538] ; [35.38461538 14.61538462],0
p4,1,0.849749,0.035887,[10  5] ; [32 18],[9.69230769 5.30769231] ; [32.30769231 17.69230769],0
n2,1,0.860503,0.030882,[3 1] ; [12  5],[2.85714286 1.14285714] ; [12.14285714  4.85714286],0
n3,1,0.860503,0.030882,[3 1] ; [12  5],[2.85714286 1.14285714] ; [12.14285714  4.85714286],0
r3,1,0.865036,0.028889,[14  1] ; [46  4],[13.84615385  1.15384615] ; [46.15384615  3.84615385],0
r2,1,0.882448,0.021864,[12  2] ; [41  6],[12.16393443  1.83606557] ; [40.83606557  6.16393443],0
p3,1,0.89035,0.019006,[9 6] ; [29 21],[8.76923077 6.23076923] ; [29.23076923 20.76923077],0
p9,1,0.89035,0.019006,[13  2] ; [44  6],[13.15384615  1.84615385] ; [43.84615385  6.15384615],0
a2,1,0.947723,0.004299,[ 2 13] ; [ 7 43],[ 2.07692308 12.92307692] ; [ 6.92307692 43.07692308],0
p1,1,0.947723,0.004299,[ 2 13] ; [ 7 43],[ 2.07692308 12.92307692] ; [ 6.92307692 43.07692308],0
n6,1,1.0,0.0,[12  3] ; [40 10],[12.  3.] ; [40. 10.],0
